split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,OrSa,60000,60000,1.9351520548502603,1.9364,2097152,15659,0.01,0.007466793060302734,60000,15000,17639,16438,16512,0.9682,0.24205,0.8233459946708998
train,windows_nonoverlap,HoSa,60000,60000,1.8853976521809896,1.8868,2097152,15659,0.01,0.007466793060302734,60000,15000,16995,16137,15716,0.9434,0.23585,0.8326566637246249
train,windows_nonoverlap,DaRe,60000,60000,1.9019605143229166,1.9032,2097152,15659,0.01,0.007466793060302734,60000,15000,14457,15181,12852,0.9516,0.2379,0.9873417721518988
train,windows_nonoverlap,ScPo,60000,60000,1.9587229288736978,1.96,2097152,15659,0.01,0.007466793060302734,60000,15000,17448,16398,16336,0.98,0.245,0.842503438789546
train,windows_nonoverlap,EsCo,60000,60000,1.9824176839192709,1.9837333333333333,2097152,15659,0.01,0.007466793060302734,60000,15000,17715,16300,16612,0.9918666666666667,0.24796666666666667,0.8398532317245272
train,windows_nonoverlap,YeMi,44213,44213,1.8455632106047712,1.8468776151810553,2097152,15659,0.01,0.007466793060302734,44213,11054,12547,11797,11772,0.9234388075905277,0.2308597018976319,0.8135012353550649
train,windows_nonoverlap,BuEb,11364,11364,1.9583664611794922,1.9598732840549102,2097152,15659,0.01,0.007466793060302734,11364,2841,3535,3178,3392,0.9799366420274551,0.24498416050686378,0.7875530410183875
train,windows_nonoverlap,AgPh,26382,26382,1.9730925604460428,1.9743764688044878,2097152,15659,0.01,0.007466793060302734,26382,6596,7933,7240,7472,0.9871882344022439,0.24679705860056098,0.8207487709567629
train,windows_nonoverlap,GaGa,60000,60000,1.9153707397460937,1.9166666666666667,2097152,15659,0.01,0.007466793060302734,60000,15000,17079,16298,15948,0.9583333333333334,0.23958333333333334,0.8416769131682182
train,windows_nonoverlap,DrMe,60000,60000,1.8728250528971355,1.8738666666666666,2097152,15659,0.01,0.007466793060302734,60000,15000,17111,16264,15740,0.9369333333333333,0.23423333333333332,0.8213429957337385
train,windows_nonoverlap,EnIn,60000,60000,1.9070780924479167,1.9084,2097152,15659,0.01,0.007466793060302734,60000,15000,17354,16196,16260,0.9542,0.23855,0.8247666244093581
train,windows_nonoverlap,PlFa,60000,60000,1.8309031575520833,1.8321333333333334,2097152,15659,0.01,0.007466793060302734,60000,15000,16387,15862,15196,0.9160666666666667,0.22901666666666667,0.8385305425032038
train,windows_nonoverlap,HePy,60000,60000,1.9397633219401043,1.9410666666666667,2097152,15659,0.01,0.007466793060302734,60000,15000,17149,16132,16072,0.9705333333333334,0.24263333333333334,0.8489124730304974
train,windows_nonoverlap,AeCa,60000,60000,1.98017978515625,1.9814666666666667,2097152,15659,0.01,0.007466793060302734,60000,15000,17801,16386,16700,0.9907333333333334,0.24768333333333334,0.8348407392843099
train,windows_nonoverlap,HaHi,60000,60000,1.9000210774739583,1.9010666666666667,2097152,15659,0.01,0.007466793060302734,60000,15000,17222,15955,16148,0.9505333333333333,0.23763333333333334,0.8278945534781094
train,windows_nonoverlap,AnCa,60000,60000,1.9295250813802083,1.9309333333333334,2097152,15659,0.01,0.007466793060302734,60000,15000,17422,16298,16268,0.9654666666666667,0.24136666666666667,0.8312478475490759
train,windows_nonoverlap,WaMe,60000,60000,1.9697509114583334,1.9710666666666667,2097152,15659,0.01,0.007466793060302734,60000,15000,17805,16375,16700,0.9855333333333334,0.24638333333333334,0.8302723953945521
val,windows_nonoverlap,OrSa,60000,60000,1.9320861246744792,1.9333333333333333,2097152,15659,0.01,0.007466793060302734,60000,15000,17607,16481,16400,0.9666666666666667,0.24166666666666667,0.8235360935991367
val,windows_nonoverlap,HoSa,60000,60000,1.881771736653646,1.8832,2097152,15659,0.01,0.007466793060302734,60000,15000,17118,16105,15924,0.9416,0.2354,0.8250963897651595
