split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.9224,1.9206826904296874,96.12,80.0,1.6,3768.1319856078167,0.003768131985607817,3768.1319856078167,0.003768131985607817
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.468,1.4662419677734375,73.4,82.0,1.64,3971.5994760252493,0.003971599476025249,3971.5994760252493,0.003971599476025249
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.8684,1.8666551513671874,93.42,74.0,1.48,3926.8071885035592,0.003926807188503559,3926.8071885035592,0.003926807188503559
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.9528,1.9511256062825522,97.64,95.0,1.9,3802.2098215858337,0.0038022098215858336,3802.2098215858337,0.0038022098215858336
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.9670666666666667,1.9653764567057292,98.35333333333334,95.0,1.9,3887.050715709029,0.0038870507157090293,3887.050715709029,0.0038870507157090293
train,windows_nonoverlap,YeMi,YeMi,44213,44213,1.832040350123267,1.8304354263204543,91.60201750616335,94.0,1.88,3968.0769499313315,0.003968076949931332,3968.0769499313315,0.003968076949931332
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9493136219640972,1.9471516755213834,97.46568109820485,99.0,1.98,3784.2295687706587,0.0037842295687706587,3784.2295687706587,0.0037842295687706587
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9637631718596011,1.9620473394798064,98.18815859298006,99.0,1.98,3880.9671210666315,0.0038809671210666315,3880.9671210666315,0.0038809671210666315
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.8729333333333333,1.8710524007161458,93.64666666666666,91.0,1.82,4103.810485966908,0.0041038104859669085,4103.810485966908,0.0041038104859669085
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.8556,1.85388310546875,92.78,93.0,1.86,4104.980574121876,0.004104980574121876,4104.980574121876,0.004104980574121876
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.9085333333333334,1.9067302734375,95.42666666666668,79.0,1.58,4103.733758112808,0.004103733758112808,4103.733758112808,0.004103733758112808
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.8069333333333333,1.8051493896484374,90.34666666666666,87.0,1.74,4040.8267474980707,0.00404082674749807,4040.8267474980707,0.00404082674749807
train,windows_nonoverlap,HePy,HePy,60000,60000,1.9258666666666666,1.9240941609700521,96.29333333333334,91.0,1.82,3973.8003772690226,0.003973800377269023,3973.8003772690226,0.003973800377269023
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.9666666666666666,1.9649390950520833,98.33333333333333,97.0,1.94,3941.8176900807252,0.0039418176900807254,3941.8176900807252,0.0039418176900807254
train,windows_nonoverlap,HaHi,HaHi,60000,60000,1.8749333333333333,1.8731941772460938,93.74666666666667,93.0,1.86,3868.3118748943243,0.0038683118748943242,3868.3118748943243,0.0038683118748943242
train,windows_nonoverlap,AnCa,AnCa,60000,60000,1.9024,1.900651708984375,95.12,,,4151.261082986882,0.004151261082986882,4151.261082986882,0.004151261082986882
train,windows_nonoverlap,WaMe,WaMe,60000,60000,1.9646666666666666,1.9628950073242188,98.23333333333333,,,4111.873904181569,0.004111873904181568,4111.873904181569,0.004111873904181568
