split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,100000,100000,1.9203717529296875,1.922,2097152,19564,0.01,0.009328842163085938,100000,25000,28961,27292,27296,0.961,0.24025,0.8295638962742999
train,train_windows_nonoverlap,HoSa,100000,100000,1.4940441723632814,1.49576,2097152,19564,0.01,0.009328842163085938,100000,25000,27817,26629,25732,0.74788,0.18697,0.6721429341769422
train,train_windows_nonoverlap,DaRe,100000,100000,1.8823230541992189,1.88392,2097152,19564,0.01,0.009328842163085938,100000,25000,25261,25757,22812,0.94196,0.23549,0.9322275444360872
train,train_windows_nonoverlap,ScPo,100000,100000,1.945368955078125,1.94696,2097152,19564,0.01,0.009328842163085938,100000,25000,28686,27211,27084,0.97348,0.24337,0.8483929442933835
train,train_windows_nonoverlap,EsCo,100000,100000,1.9660819067382813,1.96768,2097152,19564,0.01,0.009328842163085938,100000,25000,28942,27112,27332,0.98384,0.24596,0.8498376062469767
train,train_windows_nonoverlap,YeMi,44213,44213,1.830554108935367,1.8322212923800691,2097152,19564,0.01,0.009328842163085938,44213,11054,12547,11797,11772,0.9161106461900346,0.22902766154750864,0.8070455088865864
train,train_windows_nonoverlap,BuEb,11364,11364,1.947274261442384,1.9493136219640972,2097152,19564,0.01,0.009328842163085938,11364,2841,3535,3178,3392,0.9746568109820486,0.24366420274551215,0.7833097595473834
train,train_windows_nonoverlap,AgPh,26382,26382,1.9620935357499905,1.9637631718596011,2097152,19564,0.01,0.009328842163085938,26382,6596,7933,7240,7472,0.9818815859298006,0.24547039648245014,0.8163368208748266
train,train_windows_nonoverlap,GaGa,100000,100000,1.878422373046875,1.88016,2097152,19564,0.01,0.009328842163085938,100000,25000,28307,27125,26668,0.94008,0.23502,0.8302540007771929
train,train_windows_nonoverlap,DrMe,100000,100000,1.843525146484375,1.8452,2097152,19564,0.01,0.009328842163085938,100000,25000,28156,26962,25948,0.9226,0.23065,0.8191859639153288
train,train_windows_nonoverlap,EnIn,100000,100000,1.9113654833984375,1.91304,2097152,19564,0.01,0.009328842163085938,100000,25000,28368,26926,26764,0.95652,0.23913,0.8429568527918782
train,train_windows_nonoverlap,PlFa,100000,100000,1.811270908203125,1.81296,2097152,19564,0.01,0.009328842163085938,100000,25000,27096,26409,25232,0.90648,0.22662,0.8363596102745793
train,train_windows_nonoverlap,HePy,100000,100000,1.914866337890625,1.91656,2097152,19564,0.01,0.009328842163085938,100000,25000,28131,26820,26420,0.95828,0.23957,0.8516227649212612
train,train_windows_nonoverlap,AeCa,100000,100000,1.9674182202148438,1.96904,2097152,19564,0.01,0.009328842163085938,100000,25000,29143,27237,27564,0.98452,0.24613,0.844559585492228
train,train_windows_nonoverlap,HaHi,100000,100000,1.8669842504882812,1.86864,2097152,19564,0.01,0.009328842163085938,100000,25000,28154,26428,26448,0.93432,0.23358,0.829651204091781
train,train_windows_nonoverlap,AnCa,100000,100000,1.897041708984375,1.89872,2097152,19564,0.01,0.009328842163085938,100000,25000,28582,26994,26824,0.94936,0.23734,0.8303827583793997
train,train_windows_nonoverlap,WaMe,100000,100000,1.9609512231445312,1.96256,2097152,19564,0.01,0.009328842163085938,100000,25000,29047,27262,27328,0.98128,0.24532,0.8445622611629429
val,train_windows_nonoverlap,OrSa,100000,100000,1.9108984814453125,1.91248,2097152,19564,0.01,0.009328842163085938,100000,25000,28605,27312,26748,0.95624,0.23906,0.835728019576997
val,train_windows_nonoverlap,HoSa,100000,100000,1.4609797229003907,1.4628,2097152,19564,0.01,0.009328842163085938,100000,25000,28037,26822,26196,0.7314,0.18285,0.6521739130434783
val,train_windows_nonoverlap,DaRe,100000,100000,1.6688694995117188,1.67048,2097152,19564,0.01,0.009328842163085938,100000,25000,21474,22519,19452,0.83524,0.20881,0.9723852100214213
val,train_windows_nonoverlap,ScPo,100000,100000,1.960635947265625,1.96232,2097152,19564,0.01,0.009328842163085938,100000,25000,29227,27287,27636,0.98116,0.24529,0.8392582201389126
val,train_windows_nonoverlap,EsCo,100000,100000,1.9601486499023437,1.96176,2097152,19564,0.01,0.009328842163085938,100000,25000,28911,27071,27332,0.98088,0.24522,0.8481892705198714
val,train_windows_nonoverlap,YeMi,14737,14737,1.8332732079544682,1.8348374838841013,2097152,19564,0.01,0.009328842163085938,14737,3685,4301,3989,4140,0.9174187419420506,0.22935468548551266,0.7858637526156708
val,train_windows_nonoverlap,BuEb,3788,3788,1.9824506523994356,1.983104540654699,2097152,19564,0.01,0.009328842163085938,3788,947,1245,1104,1312,0.9915522703273495,0.24788806758183737,0.7542168674698795
val,train_windows_nonoverlap,AgPh,8794,8794,1.9550290969872925,1.9567887195815328,2097152,19564,0.01,0.009328842163085938,8794,2199,2737,2486,2688,0.9783943597907664,0.2445985899476916,0.7858969674826453
val,train_windows_nonoverlap,GaGa,100000,100000,1.8985347412109375,1.90024,2097152,19564,0.01,0.009328842163085938,100000,25000,28747,27137,27092,0.95012,0.23753,0.8262775246112638
val,train_windows_nonoverlap,DrMe,100000,100000,1.918008955078125,1.91968,2097152,19564,0.01,0.009328842163085938,100000,25000,28761,27224,27116,0.95984,0.23996,0.8343242585445568
val,train_windows_nonoverlap,EnIn,100000,100000,1.9380951782226563,1.93976,2097152,19564,0.01,0.009328842163085938,100000,25000,28791,27188,27200,0.96988,0.24247,0.842172901253864
