split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.8344,1.8335869791666666,91.72,80.0,1.6,68387.5847478566,0.0683875847478566,68387.5847478566,0.0683875847478566
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.3753333333333333,1.3745030598958334,68.76666666666667,82.0,1.64,147954.48579002375,0.14795448579002377,147954.48579002375,0.14795448579002377
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.5364,1.5355024739583334,76.82,74.0,1.48,146348.10270171764,0.14634810270171764,146348.10270171764,0.14634810270171764
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.9173333333333333,1.9165134765625,95.86666666666666,95.0,1.9,143108.50104688914,0.14310850104688913,143108.50104688914,0.14310850104688913
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.8544,1.8535231119791666,92.72,95.0,1.9,141944.91586697183,0.14194491586697183,141944.91586697183,0.14194491586697183
train,windows_nonoverlap,YeMi,YeMi,44213,44213,1.7831859407866464,1.7822301627914867,89.15929703933232,94.0,1.88,138047.7964033777,0.1380477964033777,138047.7964033777,0.1380477964033777
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9408658922914466,1.9396286037596797,97.04329461457233,99.0,1.98,131124.26158995565,0.13112426158995566,131124.26158995565,0.13112426158995566
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.8952315973011902,1.8942132064475778,94.7615798650595,99.0,1.98,135378.84456799843,0.13537884456799842,135378.84456799843,0.13537884456799842
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.7218666666666667,1.720984375,86.09333333333333,91.0,1.82,143077.1764588329,0.1430771764588329,143077.1764588329,0.1430771764588329
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.7121333333333333,1.7113420572916667,85.60666666666667,93.0,1.86,145286.85239614788,0.1452868523961479,145286.85239614788,0.1452868523961479
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.806,1.8051497395833334,90.3,79.0,1.58,144250.68274026553,0.14425068274026553,144250.68274026553,0.14425068274026553
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.6668,1.665896484375,83.34,87.0,1.74,142641.90702839458,0.14264190702839458,142641.90702839458,0.14264190702839458
train,windows_nonoverlap,HePy,HePy,60000,60000,1.7732,1.772373828125,88.66000000000001,91.0,1.82,149324.0092695488,0.1493240092695488,149324.0092695488,0.1493240092695488
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.8728,1.871921484375,93.64,97.0,1.94,144061.45695804,0.14406145695804,144061.45695804,0.14406145695804
train,windows_nonoverlap,HaHi,HaHi,60000,60000,1.7610666666666666,1.7602542317708334,88.05333333333333,93.0,1.86,149650.15867938875,0.14965015867938875,149650.15867938875,0.14965015867938875
train,windows_nonoverlap,AnCa,AnCa,60000,60000,1.3865333333333334,1.3857499348958333,69.32666666666667,,,155617.2379559674,0.1556172379559674,155617.2379559674,0.1556172379559674
train,windows_nonoverlap,WaMe,WaMe,60000,60000,1.9169333333333334,1.9161302083333334,95.84666666666666,,,139458.49696516086,0.13945849696516086,139458.49696516086,0.13945849696516086
