split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,60000,60000,1.8335869791666666,1.8344,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,110012.21875,0,3,0.17136874049901962,0.2253175526857376,0.003354303538799286,0.5689098387956619,0.8773522302508354,60000,15000,17639,16438,16512,0.9172,0.2293,0.7799761891263677
train,train_windows_nonoverlap,HoSa,60000,60000,1.3745030598958334,1.3753333333333333,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,82467.18359375,0,3,0.04284384846687317,0.20213092118501663,0.0014914944767951965,0.3937360346317291,0.4055301174521446,60000,15000,16995,16137,15716,0.6876666666666666,0.17191666666666666,0.606943218593704
train,train_windows_nonoverlap,DaRe,60000,60000,1.5355024739583334,1.5364,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,92127.1484375,0,3,0.042668551206588745,0.20534028857946396,0.0014807134866714478,0.3996927961707115,0.4099813997745514,60000,15000,14457,15181,12852,0.7682,0.19205,0.7970533305665076
train,train_windows_nonoverlap,ScPo,60000,60000,1.9165134765625,1.9173333333333333,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,114987.80859375,0,3,0.04238354414701462,0.19040388613939285,0.0014070570468902588,0.4090791493654251,0.4192623049020767,60000,15000,17448,16398,16336,0.9586666666666667,0.23966666666666667,0.8241632278771206
train,train_windows_nonoverlap,EsCo,60000,60000,1.8535231119791666,1.8544,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,111208.38671875,0,3,0.042347267270088196,0.21233083307743073,0.0014305934309959412,0.41237355023622513,0.4226991832256317,60000,15000,17715,16300,16612,0.9272,0.2318,0.7850973751058425
train,train_windows_nonoverlap,YeMi,44213,44213,1.7822301627914867,1.7831859407866464,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,22104,78779.7421875,5,18,0.03185715526342392,0.14756015688180923,0.001149296760559082,0.3082423210144043,0.32027313113212585,44213,11054,12547,11797,11772,0.8915929703933232,0.2228982425983308,0.7854467203315534
train,train_windows_nonoverlap,BuEb,11364,11364,1.9396286037596797,1.9408658922914466,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,5682,22038.939453125,0,3,0.008867591619491577,0.04193444550037384,0.0003978163003921509,0.08072204887866974,0.08666588366031647,11364,2841,3535,3178,3392,0.9704329461457233,0.24260823653643082,0.7799151343705799
train,train_windows_nonoverlap,AgPh,26382,26382,1.8942132064475778,1.8952315973011902,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,13191,49970.1328125,0,3,0.01882006973028183,0.09589817374944687,0.0006905794143676758,0.1897558718919754,0.1948753520846367,26382,6596,7933,7240,7472,0.9476157986505951,0.23690394966264877,0.7878482289171814
train,train_windows_nonoverlap,GaGa,60000,60000,1.720984375,1.7218666666666667,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,103256.0625,0,3,0.042670443654060364,0.20879609882831573,0.0014734640717506409,0.40874356776475906,0.4193540960550308,60000,15000,17079,16298,15948,0.8609333333333333,0.21523333333333333,0.7561332630716084
train,train_windows_nonoverlap,DrMe,60000,60000,1.7113420572916667,1.7121333333333333,base_prefix_exact_gpu_cpu,2,32768,56,0.01,0.001708984375,30000,102677.5234375,0,3,0.04240439832210541,0.1926504522562027,0.001381807029247284,0.40306948870420456,0.41297611594200134,60000,15000,17111,16264,15740,0.8560666666666666,0.21401666666666666,0.7504529250189936
