split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,50000,50000,1.8397118212890624,2.00176,50000,12500,14847,13709,13892,1.00088,0.25022,0.8426618172021284
train,train_windows_nonoverlap,HoSa,50000,50000,1.3887976171875,1.56848,50000,12500,14230,13435,13124,0.78424,0.19606,0.6888966971187632
train,train_windows_nonoverlap,DaRe,50000,50000,1.5230243115234374,1.69808,50000,12500,12070,12750,10736,0.84904,0.21226,0.8792874896437448
train,train_windows_nonoverlap,ScPo,50000,50000,1.918037216796875,2.07568,50000,12500,14597,13621,13620,1.03784,0.25946,0.8887442625196958
train,train_windows_nonoverlap,EsCo,50000,50000,1.8498507202148438,2.01504,50000,12500,14837,13577,13884,1.00752,0.25188,0.84882388623037
train,train_windows_nonoverlap,YeMi,50000,50000,1.7855246630859376,1.95168,50000,12500,14127,13320,13256,0.97584,0.24396,0.8634529624124018
train,train_windows_nonoverlap,BuEb,17046,17046,1.948625972093893,2.103015370174821,17046,4262,5260,4717,4976,1.0515076850874105,0.26287692127185264,0.8519011406844107
train,train_windows_nonoverlap,AgPh,39573,39573,1.9069227948782945,2.065044348419377,39573,9894,11794,10857,11048,1.0325221742096884,0.2581305435524221,0.8661183652704765
train,train_windows_nonoverlap,GaGa,50000,50000,1.7225945910644531,1.8888,50000,12500,14255,13578,13268,0.9444,0.2361,0.8281304805331463
train,train_windows_nonoverlap,DrMe,50000,50000,1.7026810546875,1.86752,50000,12500,14252,13522,13128,0.93376,0.23344,0.8189727757507719
train,train_windows_nonoverlap,EnIn,50000,50000,1.7927435546875,1.96,50000,12500,14559,13469,13604,0.98,0.245,0.8414039425784738
train,train_windows_nonoverlap,PlFa,50000,50000,1.6477309375,1.81984,50000,12500,13674,13225,12668,0.90992,0.22748,0.8317975720345181
train,train_windows_nonoverlap,HePy,50000,50000,1.7699788061523438,1.93744,50000,12500,14390,13461,13476,0.96872,0.24218,0.8414871438498958
train,train_windows_nonoverlap,AeCa,50000,50000,1.8711758740234374,2.03216,50000,12500,14947,13676,13968,1.01608,0.25402,0.8497357329229945
train,train_windows_nonoverlap,HaHi,50000,50000,1.764024521484375,1.93264,50000,12500,14458,13274,13548,0.96632,0.24158,0.8354544196984368
train,train_windows_nonoverlap,AnCa,50000,50000,1.3237329626464844,1.50144,50000,12500,14621,13610,13636,0.75072,0.18768,0.6418165652144177
train,train_windows_nonoverlap,WaMe,50000,50000,1.9184956884765625,2.07648,50000,12500,14957,13693,13984,1.03824,0.25956,0.8676873704619911
val,train_windows_nonoverlap,OrSa,50000,50000,1.8406808374023438,1.99936,50000,12500,14448,13618,13148,0.99968,0.24992,0.8648947951273532
val,train_windows_nonoverlap,HoSa,50000,50000,1.5953142700195313,1.76352,50000,12500,14427,13454,13448,0.88176,0.22044,0.7639841962986068
