metric,value
best_val_bits_per_base,1.6829326135337026
compression_compare.best_val_bpb,1.6829326135337026
compression_compare.checkpoint_step,18500
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,1
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,600000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.attn_dropout,0.0
config.model.eos_id,258
config.model.ff_dropout,0.0
config.model.global_dim,64
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,dnagpt
config.model.initializer_range,0.02
config.model.input_causal_conv_kernel_size,1
config.model.local_dim,128
config.model.local_heads,4
config.model.local_layers,2
config.model.pad_id,257
config.model.patch_size,8
config.model.pretrained_weight_path,third_party/DNAGPT/checkpoints/dna_gpt0.1b_m.pth
config.model.seq_length,512
config.model.variant,dna_gpt0.1b_m
config.model.vocab_size,259
config.output.output_dir,outputs/dna_dnagpt_quick_20260406_233136
config.output.run_name,dna_dnagpt_quick
config.output.wandb_enabled,False
config.output.wandb_entity,
config.output.wandb_group,
config.output.wandb_mode,online
config.output.wandb_name,
config.output.wandb_project,
config.train.batch_size,32
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.gpu_ids,
config.train.grad_clip_norm,1.0
config.train.init_from,pretrained
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.1
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,4
config.train.persistent_workers,False
config.train.pin_memory,True
config.train.prefetch_factor,2
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,17
dataset.total_size_bytes,685597124
dataset.total_test_bytes,137119434
dataset.total_train_bytes,411358271
dataset.total_val_bytes,137119419
device,cuda:0
model_parameters,117170688
test.bases,137119434
test.bits_per_base,1.6820274471298209
test.bits_per_token,10.092161591526471
test.elapsed_seconds,108.74318408966064
test.loss_nats_per_base,1.1658925826024777
test.loss_nats_per_token,6.995353352921944
test.tokens,22853246
validation.bases,137119419
validation.bits_per_base,1.6829326135337026
validation.bits_per_token,10.097592809208427
validation.elapsed_seconds,108.92421913146973
validation.loss_nats_per_base,1.166519996143266
validation.loss_nats_per_token,6.999117986145199
validation.tokens,22853243
