split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,60000,60000,1.8335370198567709,1.8353333333333333,2097152,19564,0.01,0.009328842163085938,60000,15000,17639,16438,16512,0.9176666666666666,0.22941666666666666,0.7803730370202392
train,train_windows_nonoverlap,HoSa,60000,60000,1.3744531036376952,1.3764,2097152,19564,0.01,0.009328842163085938,60000,15000,16995,16137,15716,0.6882,0.17205,0.607413945278023
train,train_windows_nonoverlap,DaRe,60000,60000,1.5354523885091145,1.5373333333333334,2097152,19564,0.01,0.009328842163085938,60000,15000,14457,15181,12852,0.7686666666666667,0.19216666666666668,0.7975375250743585
train,train_windows_nonoverlap,ScPo,60000,60000,1.916463505045573,1.9182666666666666,2097152,19564,0.01,0.009328842163085938,60000,15000,17448,16398,16336,0.9591333333333333,0.23978333333333332,0.8245644199908299
train,train_windows_nonoverlap,EsCo,60000,60000,1.8534731404622395,1.8553333333333333,2097152,19564,0.01,0.009328842163085938,60000,15000,17715,16300,16612,0.9276666666666666,0.23191666666666666,0.7854925204628845
train,train_windows_nonoverlap,YeMi,44213,44213,1.7825702798985876,1.7840906520706579,2097152,19564,0.01,0.009328842163085938,44213,11054,12547,11797,11772,0.8920453260353289,0.22301133150883223,0.7858452219654101
train,train_windows_nonoverlap,BuEb,11364,11364,1.9393646981421595,1.9415698697641675,2097152,19564,0.01,0.009328842163085938,11364,2841,3535,3178,3392,0.9707849348820837,0.24269623372052093,0.7801980198019802
train,train_windows_nonoverlap,AgPh,26382,26382,1.8940994925517398,1.8961413084678949,2097152,19564,0.01,0.009328842163085938,26382,6596,7933,7240,7472,0.9480706542339474,0.23701766355848686,0.7882263960670617
train,train_windows_nonoverlap,GaGa,60000,60000,1.7209343627929687,1.7228,2097152,19564,0.01,0.009328842163085938,60000,15000,17079,16298,15948,0.8614,0.21535,0.7565431231336729
train,train_windows_nonoverlap,DrMe,60000,60000,1.7112921223958333,1.7132,2097152,19564,0.01,0.009328842163085938,60000,15000,17111,16264,15740,0.8566,0.21415,0.750920460522471
