split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.9189333333333334,1.9177129557291666,95.94666666666667,80.0,1.6,34611.22935673323,0.034611229356733234,34611.22935673323,0.034611229356733234
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.6633333333333333,1.6620540364583334,83.16666666666667,82.0,1.64,46892.794788352825,0.04689279478835282,46892.794788352825,0.04689279478835282
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.8886666666666667,1.8875049479166666,94.43333333333334,74.0,1.48,48654.475617802585,0.04865447561780258,48654.475617802585,0.04865447561780258
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.9398666666666666,1.9386916666666667,96.99333333333333,95.0,1.9,49446.66488075542,0.04944666488075542,49446.66488075542,0.04944666488075542
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.9146666666666667,1.9134388020833333,95.73333333333333,95.0,1.9,48979.32873366355,0.04897932873366355,48979.32873366355,0.04897932873366355
train,windows_nonoverlap,YeMi,YeMi,44213,44213,1.8372876755705336,1.8359989037443738,91.86438377852669,94.0,1.88,51109.585764549796,0.0511095857645498,51109.585764549796,0.0511095857645498
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9535374868004225,1.9518767118202218,97.67687434002113,99.0,1.98,54502.917964483866,0.054502917964483866,54502.917964483866,0.054502917964483866
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9373815480251686,1.9360243845235388,96.86907740125844,99.0,1.98,50815.45224777085,0.05081545224777085,50815.45224777085,0.05081545224777085
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.8818666666666666,1.8805849609375,94.09333333333333,91.0,1.82,48894.48239449171,0.048894482394491706,48894.48239449171,0.048894482394491706
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.8944,1.8931873046875,94.72,93.0,1.86,46578.11561923707,0.04657811561923707,46578.11561923707,0.04657811561923707
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.8841333333333334,1.8828893229166668,94.20666666666668,79.0,1.58,45711.51931792527,0.04571151931792527,45711.51931792527,0.04571151931792527
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.8465333333333334,1.845355078125,92.32666666666667,87.0,1.74,47400.84933786546,0.04740084933786546,47400.84933786546,0.04740084933786546
train,windows_nonoverlap,HePy,HePy,60000,60000,1.9061333333333332,1.9048515625,95.30666666666666,91.0,1.82,48940.238479587526,0.048940238479587526,48940.238479587526,0.048940238479587526
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.9438666666666666,1.9426575520833333,97.19333333333333,97.0,1.94,45414.52742229632,0.04541452742229632,45414.52742229632,0.04541452742229632
train,windows_nonoverlap,HaHi,HaHi,60000,60000,1.806,1.8048440755208333,90.3,93.0,1.86,44610.124114764985,0.04461012411476498,44610.124114764985,0.04461012411476498
train,windows_nonoverlap,AnCa,AnCa,60000,60000,1.8368,1.835548828125,91.84,,,47150.259117109395,0.0471502591171094,47150.259117109395,0.0471502591171094
train,windows_nonoverlap,WaMe,WaMe,60000,60000,1.9502666666666666,1.9489839192708334,97.51333333333334,,,46506.2429762947,0.0465062429762947,46506.2429762947,0.0465062429762947
