split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,60000,60000,1.9177129557291666,1.9189333333333334,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,115059.77734375,0,3,0.15307557582855225,1.061971127986908,0.03452476114034653,1.4062753692269325,1.7335414290428162,60000,15000,17639,16438,16512,0.9594666666666667,0.23986666666666667,0.8159192697998753
train,train_windows_nonoverlap,HoSa,60000,60000,1.6620540364583334,1.6633333333333333,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,99720.2421875,0,3,0.03766930103302002,1.0757355988025665,0.006433375179767609,1.2634137943387032,1.279514268040657,60000,15000,16995,16137,15716,0.8316666666666667,0.20791666666666667,0.7340394233598118
train,train_windows_nonoverlap,DaRe,60000,60000,1.8875049479166666,1.8886666666666667,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,113247.296875,0,3,0.037202008068561554,1.022058516740799,0.008714094758033752,1.21489567309618,1.23318562656641,60000,15000,14457,15181,12852,0.9443333333333334,0.23608333333333334,0.979802171958221
train,train_windows_nonoverlap,ScPo,60000,60000,1.9386916666666667,1.9398666666666666,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,116318.5,0,3,0.03773823380470276,1.00515815615654,0.006643474102020264,1.1975078657269478,1.2134286537766457,60000,15000,17448,16398,16336,0.9699333333333333,0.24248333333333333,0.8338491517652453
train,train_windows_nonoverlap,EsCo,60000,60000,1.9134388020833333,1.9146666666666667,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,114803.328125,0,3,0.03719507157802582,1.017311729490757,0.006336390972137451,1.2095107734203339,1.2250065803527832,60000,15000,17715,16300,16612,0.9573333333333334,0.23933333333333334,0.8106124753034152
train,train_windows_nonoverlap,YeMi,44213,44213,1.8359989037443738,1.8372876755705336,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,14736,81157.01953125,5,18,0.027907557785511017,0.7034383192658424,0.00478653609752655,0.8500194028019905,0.8650627732276917,44213,11054,12547,11797,11772,0.9186438377852668,0.2296609594463167,0.809277118036184
train,train_windows_nonoverlap,BuEb,11364,11364,1.9518767118202218,1.9535374868004225,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,3788,22178.126953125,0,3,0.007669225335121155,0.15770497918128967,0.001357831060886383,0.2021433562040329,0.20850259810686111,11364,2841,3535,3178,3392,0.9767687434002112,0.2441921858500528,0.785007072135785
train,train_windows_nonoverlap,AgPh,26382,26382,1.9360243845235388,1.9373815480251686,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,8794,51073.1953125,0,3,0.016427382826805115,0.4262084737420082,0.0030132532119750977,0.5115313157439232,0.5191727876663208,26382,6596,7933,7240,7472,0.9686907740125843,0.24217269350314607,0.8053699735282995
train,train_windows_nonoverlap,GaGa,60000,60000,1.8805849609375,1.8818666666666666,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,112832.09765625,0,3,0.03715265542268753,1.0086556300520897,0.01290372759103775,1.2051201984286308,1.2271323278546333,60000,15000,17079,16298,15948,0.9409333333333333,0.23523333333333332,0.8263949879969553
train,train_windows_nonoverlap,DrMe,60000,60000,1.8931873046875,1.8944,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,113588.23828125,0,3,0.03725560009479523,1.050036445260048,0.011669039726257324,1.2670119255781174,1.2881585955619812,60000,15000,17111,16264,15740,0.9472,0.2368,0.8303430541756764
train,train_windows_nonoverlap,EnIn,60000,60000,1.8828893229166668,1.8841333333333334,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,112970.359375,0,3,0.03713399916887283,1.0987210869789124,0.007914617657661438,1.2951448485255241,1.3125794306397438,60000,15000,17354,16196,16260,0.9420666666666667,0.23551666666666668,0.8142791287311283
train,train_windows_nonoverlap,PlFa,60000,60000,1.845355078125,1.8465333333333334,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,110718.3046875,0,3,0.03705386072397232,1.0519466325640678,0.006365470588207245,1.2507107704877853,1.265800103545189,60000,15000,16387,15862,15196,0.9232666666666667,0.23081666666666667,0.8451211326051138
train,train_windows_nonoverlap,HePy,60000,60000,1.9048515625,1.9061333333333332,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,114288.09375,0,3,0.03711741417646408,1.016389660537243,0.010213956236839294,1.2070983722805977,1.2259850353002548,60000,15000,17149,16132,16072,0.9530666666666666,0.23826666666666665,0.8336346142632224
train,train_windows_nonoverlap,AeCa,60000,60000,1.9426575520833333,1.9438666666666666,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,116556.453125,0,3,0.03744178265333176,1.0795828700065613,0.021158918738365173,1.2903033047914505,1.321163147687912,60000,15000,17801,16386,16700,0.9719333333333333,0.24298333333333333,0.8189989326442335
train,train_windows_nonoverlap,HaHi,60000,60000,1.8048440755208333,1.806,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,108287.64453125,0,3,0.03712131828069687,1.1074645966291428,0.01322539895772934,1.3218167126178741,1.3449861705303192,60000,15000,17222,15955,16148,0.903,0.22575,0.786494019277668
train,train_windows_nonoverlap,AnCa,60000,60000,1.835548828125,1.8368,base_prefix_exact_gpu_cpu,4,262144,1406,0.01,0.00536346435546875,20000,110129.9296875,0,3,0.037611059844493866,1.0676559507846832,0.007014386355876923,1.256659857928753,1.2725274711847305,60000,15000,17422,16298,16268,0.9184,0.2296,0.7907243714843302
