metric,value
best_val_bits_per_base,1.8209613297470657
compression_compare.arithmetic.effective_uniform_mass,0.009328842163085938
compression_compare.arithmetic.frequency_total,2097152
compression_compare.arithmetic.target_uniform_mass,0.01
compression_compare.arithmetic.vocab_size,19564
compression_compare.best_val_bpb,1.8209613297470657
compression_compare.checkpoint_step,18500
config.arithmetic.frequency_total,
config.arithmetic.target_uniform_mass,0.01
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,1
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,600000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.attn_dropout,0.0
config.model.eos_id,258
config.model.ff_dropout,0.0
config.model.global_dim,64
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,dnagpt
config.model.initializer_range,0.02
config.model.input_causal_conv_kernel_size,1
config.model.local_dim,128
config.model.local_heads,4
config.model.local_layers,2
config.model.pad_id,257
config.model.patch_size,8
config.model.pretrained_weight_path,
config.model.seq_length,512
config.model.variant,dna_gpt0.1b_m
config.model.vocab_size,259
config.output.output_dir,outputs/dna_dnagpt_quick_20260408_153935
config.output.run_name,dna_dnagpt_quick
config.output.wandb_enabled,False
config.output.wandb_entity,
config.output.wandb_group,
config.output.wandb_mode,online
config.output.wandb_name,
config.output.wandb_project,
config.train.batch_size,32
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.gpu_ids,
config.train.grad_clip_norm,1.0
config.train.init_from,scratch
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.1
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,4
config.train.persistent_workers,False
config.train.pin_memory,True
config.train.prefetch_factor,2
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,17
dataset.total_size_bytes,685597124
dataset.total_test_bytes,137119434
dataset.total_train_bytes,411358271
dataset.total_val_bytes,137119419
device,cuda:0
model_parameters,117170688
test.bases,137119434
test.bits_per_base,1.8240116691556256
test.bits_per_token,10.944066662740804
test.elapsed_seconds,107.38226890563965
test.loss_nats_per_base,1.2643085457836616
test.loss_nats_per_token,7.585848951138877
test.tokens,22853246
validation.bases,137119419
validation.bits_per_base,1.8209613297470657
validation.bits_per_token,10.92576487093692
validation.elapsed_seconds,107.43478083610535
validation.loss_nats_per_base,1.2621942116228675
validation.loss_nats_per_token,7.573163115750821
validation.tokens,22853243
