metric,value
best_val_bits_per_base,1.8626738839215022
compression.aggregate.source_count,8
compression.aggregate.total_arithmetic_bits_per_base,1.9218836523071554
compression.aggregate.total_arithmetic_coded_bytes,126680
compression.aggregate.total_sample_bases,527316
compression.aggregate.total_sample_bytes,527321
compression.aggregate.total_theoretical_bits,1011350.3814644164
compression.aggregate.total_theoretical_bits_per_base,1.917920907889039
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,4
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,100000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.eos_id,626
config.model.global_dim,128
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,megabyte_in_action
config.model.initializer_range,0.02
config.model.local_dim,128
config.model.local_heads,2
config.model.local_layers,2
config.model.pad_id,625
config.model.patch_size,4
config.model.seq_length,1024
config.model.vocab_size,627
config.output.output_dir,outputs/dna_megabyte
config.output.run_name,dna_megabyte_quick
config.train.batch_size,16
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.grad_clip_norm,1.0
config.train.learning_rate,0.0001
config.train.log_interval,25
config.train.lr_min_ratio,0.2
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,0
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,8
dataset.total_size_bytes,311010616
dataset.total_test_bytes,62202127
dataset.total_train_bytes,186606368
dataset.total_val_bytes,62202121
device,cuda
model_parameters,11323251
test.bases,62202112
test.bits_per_base,1.8613146518996577
test.bits_per_token,7.445258607598631
test.elapsed_seconds,16.353594303131104
test.loss_nats_per_base,1.2901650030991638
test.loss_nats_per_token,5.160660012396655
test.tokens,15550528
validation.bases,62202112
validation.bits_per_base,1.8626738839215022
validation.bits_per_token,7.450695535686009
validation.elapsed_seconds,16.353789567947388
validation.loss_nats_per_base,1.291107150942832
validation.loss_nats_per_token,5.164428603771328
validation.tokens,15550528
