split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,100000,99999,1.9177611820063514,1.918579185791858,100000,25000,28961,27292,27296,0.959289592895929,0.23982,0.8280791409136424
train,train_windows_nonoverlap,HoSa,100000,99999,1.6710247986268925,1.6719367193671937,100000,25000,27817,26629,25732,0.8359683596835968,0.20899,0.7513031599381673
train,train_windows_nonoverlap,DaRe,100000,99999,1.8760872276691516,1.8768187681876818,100000,25000,25261,25757,22812,0.9384093840938409,0.2346,0.9287043268279166
train,train_windows_nonoverlap,ScPo,100000,99999,1.941575509505095,1.9424194241942419,100000,25000,28686,27211,27084,0.9712097120971209,0.2428,0.8464059122917102
train,train_windows_nonoverlap,EsCo,100000,99999,1.9211571852046645,1.922019220192202,100000,25000,28942,27112,27332,0.961009610096101,0.24025,0.8301084928477644
train,train_windows_nonoverlap,YeMi,66320,66318,1.8364661731637715,1.8373292318827468,66320,16580,18567,17526,17460,0.9186646159413734,0.22965922798552474,0.8203263855227015
train,train_windows_nonoverlap,BuEb,17046,17046,1.968975750588481,1.9692596503578552,17046,4262,5260,4717,4976,0.9846298251789276,0.2461574562947319,0.7977186311787072
train,train_windows_nonoverlap,AgPh,39573,39573,1.9399874297777209,1.9407171556364187,39573,9894,11794,10857,11048,0.9703585778182093,0.24258964445455233,0.813973206715279
train,train_windows_nonoverlap,GaGa,100000,99999,1.8688998266935795,1.8696986969869698,100000,25000,28307,27125,26668,0.9348493484934849,0.23371,0.8256261702052495
train,train_windows_nonoverlap,DrMe,100000,99999,1.8767671783163145,1.8776187761877619,100000,25000,28156,26962,25948,0.9388093880938809,0.2347,0.8335701093905384
train,train_windows_nonoverlap,EnIn,100000,99999,1.8899467803271783,1.8908189081890818,100000,25000,28368,26926,26764,0.9454094540945409,0.23635,0.8331570783981952
train,train_windows_nonoverlap,PlFa,100000,99999,1.8418592193734438,1.8427384273842737,100000,25000,27096,26409,25232,0.9213692136921369,0.23034,0.850088573959256
train,train_windows_nonoverlap,HePy,100000,99999,1.8925667674645497,1.893458934589346,100000,25000,28131,26820,26420,0.946729467294673,0.23668,0.841349401016672
train,train_windows_nonoverlap,AeCa,100000,99999,1.964298959395844,1.965059650596506,100000,25000,29143,27237,27564,0.982529825298253,0.24563,0.8428439076279037
train,train_windows_nonoverlap,HaHi,100000,99999,1.8040363191717854,1.8048180481804819,100000,25000,28154,26428,26448,0.9024090240902409,0.2256,0.8013070966825317
train,train_windows_nonoverlap,AnCa,100000,99999,1.8222583177980218,1.8230582305823058,100000,25000,28582,26994,26824,0.9115291152911529,0.22788,0.7972850045483171
train,train_windows_nonoverlap,WaMe,100000,99999,1.947911993768375,1.9486594865948659,100000,25000,29047,27262,27328,0.9743297432974329,0.24358,0.8385719695665645
val,train_windows_nonoverlap,OrSa,100000,99999,1.9112150203533285,1.912019120191202,100000,25000,28646,27242,26560,0.956009560095601,0.239,0.834322418487747
val,train_windows_nonoverlap,HoSa,100000,99999,1.7238232685061226,1.7245772457724577,100000,25000,28142,26738,26152,0.8622886228862289,0.21557,0.766008101769597
val,train_windows_nonoverlap,DaRe,100000,99999,1.7828611415996973,1.7836978369783698,100000,25000,27298,26167,25180,0.8918489184891849,0.22296,0.8167631328302439
val,train_windows_nonoverlap,ScPo,100000,99999,1.9479472236128612,1.948739487394874,100000,25000,29228,27334,27616,0.974369743697437,0.24359,0.8334131654577802
val,train_windows_nonoverlap,EsCo,100000,99999,1.9307294195988836,1.9316193161931619,100000,25000,29027,27197,27448,0.9658096580965809,0.24145,0.831811761463465
val,train_windows_nonoverlap,YeMi,3684,3684,1.865425631743689,1.8631921824104234,3684,921,1161,1064,1216,0.9315960912052117,0.23289902280130292,0.7390180878552972
val,train_windows_nonoverlap,BuEb,947,945,2.0050454437417327,1.9978835978835978,947,237,352,322,436,0.9989417989417989,0.249208025343189,0.6704545454545454
val,train_windows_nonoverlap,AgPh,2198,2196,1.958374468138092,1.9562841530054644,2198,550,733,672,812,0.9781420765027322,0.2443130118289354,0.732605729877217
val,train_windows_nonoverlap,GaGa,100000,99999,1.8144681202671402,1.8152181521815218,100000,25000,27989,26680,26360,0.9076090760907609,0.2269,0.8106756225660081
