split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,GaGa,100000,,,,100000,25000,28307,27125,26668,0.23935,0.8455505705302575
train,train_windows_nonoverlap,DrMe,100000,,,,100000,25000,28156,26962,25948,0.23834,0.8464980821139366
train,train_windows_nonoverlap,EnIn,100000,,,,100000,25000,28368,26926,26764,0.24062,0.848209249858996
train,train_windows_nonoverlap,PlFa,100000,,,,100000,25000,27096,26409,25232,0.23444,0.8652199586654857
train,train_windows_nonoverlap,HePy,100000,,,,100000,25000,28131,26820,26420,0.24414,0.8678681881198678
train,train_windows_nonoverlap,AeCa,100000,,,,100000,25000,29143,27237,27564,0.25023,0.8586281439796863
train,train_windows_nonoverlap,HaHi,100000,,,,100000,25000,28154,26428,26448,0.23583,0.837642963699652
train,train_windows_nonoverlap,AnCa,100000,,,,100000,25000,28582,26994,26824,0.24044,0.8412287453642152
train,train_windows_nonoverlap,WaMe,100000,,,,100000,25000,29047,27262,27328,0.24613,0.8473508451819465
val,train_windows_nonoverlap,GaGa,100000,,,,100000,25000,27989,26680,26360,0.23353,0.8343634999464076
val,train_windows_nonoverlap,DrMe,100000,,,,100000,25000,28925,27193,27156,0.24155,0.8350907519446845
val,train_windows_nonoverlap,EnIn,100000,,,,100000,25000,28906,27258,27344,0.2443,0.845153255379506
val,train_windows_nonoverlap,PlFa,100000,,,,100000,25000,27676,26456,26052,0.23294,0.8416678710796358
val,train_windows_nonoverlap,HePy,83391,,,,83391,20848,23585,22287,22204,0.2445587653343886,0.8647021411914352
val,train_windows_nonoverlap,AeCa,79552,,,,79552,19888,22659,21204,21200,0.24187952534191473,0.849198993777307
val,train_windows_nonoverlap,HaHi,100000,,,,100000,25000,28863,26883,27128,0.24315,0.8424280220351315
val,train_windows_nonoverlap,AnCa,100000,,,,100000,25000,28374,26949,26460,0.23803,0.8389018115175865
val,train_windows_nonoverlap,WaMe,100000,,,,100000,25000,29181,27284,27592,0.24695,0.8462698331105857
test,train_windows_nonoverlap,GaGa,100000,,,,100000,25000,28654,26977,26932,0.2393,0.8351364556431912
test,train_windows_nonoverlap,DrMe,100000,,,,100000,25000,28496,27297,26756,0.24587,0.8628228523301515
test,train_windows_nonoverlap,EnIn,100000,,,,100000,25000,28549,27024,26992,0.24073,0.8432169252863498
test,train_windows_nonoverlap,PlFa,100000,,,,100000,25000,27665,26635,26216,0.23265,0.8409542743538767
test,train_windows_nonoverlap,HePy,83392,,,,83392,20848,23353,22256,21912,0.2433806600153492,0.8690960476170085
test,train_windows_nonoverlap,AeCa,79553,,,,79553,19889,23022,21473,21420,0.24302037635287166,0.8397619668143514
test,train_windows_nonoverlap,HaHi,100000,,,,100000,25000,28615,26684,26944,0.24199,0.8456753450987244
test,train_windows_nonoverlap,AnCa,100000,,,,100000,25000,28439,26999,26440,0.23957,0.8423995217834663
test,train_windows_nonoverlap,WaMe,100000,,,,100000,25000,28831,27201,27236,0.24707,0.856959522735944
