metric,value
compression.aggregate.source_count,8
compression.aggregate.total_arithmetic_bits_per_byte,1.8872576083649761
compression.aggregate.total_arithmetic_coded_bytes,20937
compression.aggregate.total_sample_bytes,88751
compression.aggregate.total_theoretical_bits,166649.2469242402
compression.aggregate.total_theoretical_bits_per_byte,1.877716836139764
compression_compare.best_val_bpb,1.7533513055987335
compression_compare.checkpoint_step,60000
compression_compare.overlap_stride_patches,1
compression_compare.overlap_stride_tokens,4
config.data.compression_sample_bytes,16384
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.test_ratio,0.05
config.data.train_ratio,0.9
config.data.train_samples_per_epoch,1000000
config.data.val_ratio,0.05
config.model.eos_id,258
config.model.global_dim,128
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,megabyte
config.model.initializer_range,0.02
config.model.local_dim,128
config.model.local_heads,2
config.model.local_layers,2
config.model.pad_id,257
config.model.patch_size,4
config.model.seq_length,1024
config.model.vocab_size,259
config.output.output_dir,outputs/dna_megabyte
config.output.run_name,dna_megabyte_quick
config.train.batch_size,16
config.train.device,auto
config.train.dtype,float16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,5000
config.train.grad_clip_norm,1.0
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.5
config.train.lr_scheduler,linear
config.train.lr_warmup_steps,0
config.train.num_workers,0
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,8
dataset.total_size_bytes,311010616
dataset.total_test_bytes,15550536
dataset.total_train_bytes,279909552
dataset.total_val_bytes,15550528
device,cuda
model_parameters,11376387
test.bits_per_byte,1.7460004682098118
test.elapsed_seconds,15.398034572601318
test.loss_nats,1.2102353017959755
test.tokens,15550536
validation.bits_per_byte,1.7533513055987335
validation.elapsed_seconds,17.03778910636902
validation.loss_nats,1.215330514006861
validation.tokens,15550528
