split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.9268,1.9267406697591145,96.34,80.0,1.6,76951.32052507812,0.07695132052507812,76951.32052507812,0.07695132052507812
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.4616,1.4611778523763022,73.08,82.0,1.64,108759.6637381676,0.1087596637381676,108759.6637381676,0.1087596637381676
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.4064,1.4066679565429687,70.32000000000001,74.0,1.48,106468.52977181369,0.10646852977181369,106468.52977181369,0.10646852977181369
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.95,1.949848116048177,97.5,95.0,1.9,107636.79702314417,0.10763679702314417,107636.79702314417,0.10763679702314417
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.9542666666666666,1.9538540934244792,97.71333333333332,95.0,1.9,98099.2144096849,0.09809921440968489,98099.2144096849,0.09809921440968489
train,windows_nonoverlap,YeMi,YeMi,44213,44211,1.8261518626586144,1.8261483174259516,91.30759313293072,94.0,1.88,102037.79288262893,0.10203779288262893,102042.40882856467,0.10204240882856468
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9577613516367476,1.9604871589421637,97.88806758183738,99.0,1.98,90178.90538344692,0.09017890538344692,90178.90538344692,0.09017890538344692
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9549692972481236,1.9552511851860406,97.74846486240618,99.0,1.98,103960.39779320064,0.10396039779320064,103960.39779320064,0.10396039779320064
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.9088,1.9089764404296874,95.44,91.0,1.82,103411.2139989291,0.10341121399892911,103411.2139989291,0.10341121399892911
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.8974666666666666,1.897431376139323,94.87333333333333,93.0,1.86,101393.42088701254,0.10139342088701254,101393.42088701254,0.10139342088701254
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.9166666666666667,1.9166323933919271,95.83333333333334,79.0,1.58,104717.89420769832,0.10471789420769832,104717.89420769832,0.10471789420769832
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.8588,1.8586762817382811,92.94,87.0,1.74,104913.64451746015,0.10491364451746016,104913.64451746015,0.10491364451746016
train,windows_nonoverlap,HePy,HePy,60000,60000,1.9308,1.9304290445963541,96.54,91.0,1.82,105692.26292497104,0.10569226292497104,105692.26292497104,0.10569226292497104
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.9773333333333334,1.9769303385416668,98.86666666666667,97.0,1.94,106162.36297400558,0.10616236297400558,106162.36297400558,0.10616236297400558
train,windows_nonoverlap,HaHi,HaHi,60000,60000,1.8696,1.8690479166666667,93.47999999999999,93.0,1.86,101886.73498900814,0.10188673498900813,101886.73498900814,0.10188673498900813
train,windows_nonoverlap,AnCa,AnCa,60000,60000,1.9182666666666666,1.9183237874348957,95.91333333333333,,,101747.79772576035,0.10174779772576036,101747.79772576035,0.10174779772576036
train,windows_nonoverlap,WaMe,WaMe,60000,60000,1.9568,1.9566177815755208,97.84,,,102268.89613695368,0.10226889613695368,102268.89613695368,0.10226889613695368
