split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.9267406697591145,1.9268,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2721886929939501,0.00977918399439659,0.5062471539858961,0.7797137149900664,60000,15000,17639,16438,16512,0.9634,0.24085,0.8192641306196496
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.4611778523763022,1.4616,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2657047699613031,0.003820102007011883,0.47379202299634926,0.5516751149989432,60000,15000,16995,16137,15716,0.7308,0.1827,0.6450132391879965
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.4066679565429687,1.4064,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.26967510701797437,0.00387176001095213,0.48275111700058915,0.5635468070104253,60000,15000,14457,15181,12852,0.7032,0.1758,0.7296119526872795
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.949848116048177,1.95,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2515922939928714,0.0036164959747111425,0.4816325210122159,0.5574301879969425,60000,15000,17448,16398,16336,0.975,0.24375,0.8382049518569463
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.9538540934244792,1.9542666666666666,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.28172103098768275,0.003948783036321402,0.5296253129927209,0.6116256930399686,60000,15000,17715,16300,16612,0.9771333333333333,0.24428333333333332,0.8273779283093423
train,windows_nonoverlap,YeMi,YeMi,44213,44211,1.8261483174259516,1.8261518626586144,model_symbol,3,32768,127,0.01,0.003875732421875,14738,,,,0.0,0.19584074096928816,0.003079470989177935,0.3652836590044899,0.43328063799708616,44213,11054,12547,11797,11772,0.9130759313293072,0.2282586569560989,0.8043356977763609
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9604871589421637,1.9577613516367476,model_symbol,3,32768,127,0.01,0.003875732421875,3789,,,,0.0,0.05206133298634086,0.0008057049999479204,0.09208768099779263,0.12601616699248552,11364,2841,3535,3178,3392,0.9788806758183738,0.24472016895459345,0.7867043847241867
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9552511851860406,1.9549692972481236,model_symbol,3,32768,127,0.01,0.003875732421875,8795,,,,0.0,0.11035831100889482,0.0015747689903946593,0.21383546400466003,0.2537697100051446,26382,6596,7933,7240,7472,0.9774846486240618,0.24437116215601545,0.812681205092651
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.9089764404296874,1.9088,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2712612569303019,0.0040242480172310024,0.5015279709914466,0.5802078679844271,60000,15000,17079,16298,15948,0.9544,0.2386,0.8382223783593887
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.897431376139323,1.8974666666666666,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.26743378497485537,0.0036877659731544554,0.511190326011274,0.5917543709947495,60000,15000,17111,16264,15740,0.9487333333333333,0.23718333333333333,0.8316872187481736
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.9166323933919271,1.9166666666666667,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2667980860278476,0.0038895150064490736,0.4955910110002151,0.5729679770010989,60000,15000,17354,16196,16260,0.9583333333333334,0.23958333333333334,0.8283392877722715
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.8586762817382811,1.8588,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2659908280184027,0.003990906028775498,0.49139235701295547,0.5718989200686337,60000,15000,16387,15862,15196,0.9294,0.23235,0.8507353389882224
train,windows_nonoverlap,HePy,HePy,60000,60000,1.9304290445963541,1.9308,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2609355570602929,0.004576077975798398,0.48729346800246276,0.5676858299702872,60000,15000,17149,16132,16072,0.9654,0.24135,0.8444224153011838
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.9769303385416668,1.9773333333333334,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.25387794300331734,0.0038559920067200437,0.4862509030208457,0.5651720470341388,60000,15000,17801,16386,16700,0.9886666666666667,0.24716666666666667,0.8330992640862873
