split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_overlap,OrSa,OrSa,60000,60000,1.9228,1.922788650004069,96.14,80.0,1.6,70874.47712783376,0.07087447712783376,70874.47712783376,0.07087447712783376
train,windows_overlap,HoSa,HoSa,60000,60000,1.4510666666666667,1.4507030832926433,72.55333333333334,82.0,1.64,89595.0554767903,0.0895950554767903,89595.0554767903,0.0895950554767903
train,windows_overlap,DaRe,DaRe,60000,60000,1.3934666666666666,1.3935850362141926,69.67333333333333,74.0,1.48,90142.74075200605,0.09014274075200605,90142.74075200605,0.09014274075200605
train,windows_overlap,ScPo,ScPo,60000,60000,1.9464,1.946297708129883,97.32,95.0,1.9,87961.5486006801,0.08796154860068009,87961.5486006801,0.08796154860068009
train,windows_overlap,EsCo,EsCo,60000,60000,1.9490666666666667,1.948740269470215,97.45333333333333,95.0,1.9,88924.05196090548,0.08892405196090547,88924.05196090548,0.08892405196090547
train,windows_overlap,YeMi,YeMi,44213,44211,1.8203614485082897,1.8203970885886713,91.01807242541449,94.0,1.88,91753.15710491332,0.09175315710491332,91757.3077985011,0.09175730779850111
train,windows_overlap,BuEb,BuEb,11364,11364,1.9479056670186554,1.9502277528681582,97.39528335093277,99.0,1.98,89045.04454370374,0.08904504454370374,89045.04454370374,0.08904504454370374
train,windows_overlap,AgPh,AgPh,26382,26382,1.9461754226366461,1.94644572680429,97.3087711318323,99.0,1.98,86144.2577721478,0.0861442577721478,86144.2577721478,0.0861442577721478
train,windows_overlap,GaGa,GaGa,60000,60000,1.9068,1.9070199391682943,95.34,91.0,1.82,88810.90304363593,0.08881090304363592,88810.90304363593,0.08881090304363592
train,windows_overlap,DrMe,DrMe,60000,60000,1.8946666666666667,1.8945464553833007,94.73333333333333,93.0,1.86,89076.4077919547,0.08907640779195469,89076.4077919547,0.08907640779195469
train,windows_overlap,EnIn,EnIn,60000,60000,1.912,1.9119148701985678,95.6,79.0,1.58,91692.18635608057,0.09169218635608056,91692.18635608057,0.09169218635608056
train,windows_overlap,PlFa,PlFa,60000,60000,1.8526666666666667,1.8526008140563965,92.63333333333334,87.0,1.74,86998.71018714222,0.08699871018714223,86998.71018714222,0.08699871018714223
train,windows_overlap,HePy,HePy,60000,60000,1.9229333333333334,1.9224143580118815,96.14666666666668,91.0,1.82,87226.97033830317,0.08722697033830318,87226.97033830317,0.08722697033830318
train,windows_overlap,AeCa,AeCa,60000,60000,1.972,1.9715570831298828,98.6,97.0,1.94,87676.58717907258,0.08767658717907258,87676.58717907258,0.08767658717907258
train,windows_overlap,HaHi,HaHi,60000,60000,1.8617333333333332,1.8611133476257324,93.08666666666666,93.0,1.86,90182.75462507745,0.09018275462507745,90182.75462507745,0.09018275462507745
train,windows_overlap,AnCa,AnCa,60000,60000,1.916,1.915925283050537,95.8,,,87621.89114220794,0.08762189114220793,87621.89114220794,0.08762189114220793
train,windows_overlap,WaMe,WaMe,60000,60000,1.9509333333333334,1.9507504572550456,97.54666666666667,,,89979.92358667888,0.08997992358667888,89979.92358667888,0.08997992358667888
