split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_overlap,OrSa,OrSa,60000,60000,1.922788650004069,1.9228,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.25137459495454095,0.00939164002193138,0.5276254380005412,0.8465670920122648,60000,15000,17639,16438,16512,0.9614,0.24035,0.8175633539316288
train,windows_overlap,HoSa,HoSa,60000,60000,1.4507030832926433,1.4510666666666667,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.26448372898448724,0.004575514030875638,0.5241887399897678,0.6696798130287789,60000,15000,16995,16137,15716,0.7255333333333334,0.18138333333333334,0.6403648131803472
train,windows_overlap,DaRe,DaRe,60000,60000,1.3935850362141926,1.3934666666666666,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.26374664100876544,0.004820268048206344,0.5176992569759022,0.6656110020558117,60000,15000,14457,15181,12852,0.6967333333333333,0.17418333333333333,0.7229024002213461
train,windows_overlap,ScPo,ScPo,60000,60000,1.946297708129883,1.9464,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2574694639770314,0.00422283195075579,0.536651371003245,0.6821162309497595,60000,15000,17448,16398,16336,0.9732,0.2433,0.8366574965612105
train,windows_overlap,EsCo,EsCo,60000,60000,1.948740269470215,1.9490666666666667,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2528291930066189,0.004356483041192405,0.5317204659950221,0.6747330860089278,60000,15000,17715,16300,16612,0.9745333333333334,0.24363333333333334,0.8251764041772509
train,windows_overlap,YeMi,YeMi,44213,44211,1.8203970885886713,1.8203614485082897,model_symbol,3,32768,127,0.01,0.003875732421875,14738,,,,0.0,0.18362584995338693,0.0031162879313342273,0.375723007004126,0.4818471799226245,44213,11054,12547,11797,11772,0.9101807242541449,0.2275348879288897,0.801785287319678
train,windows_overlap,BuEb,BuEb,11364,11364,1.9502277528681582,1.9479056670186554,model_symbol,3,32768,127,0.01,0.003875732421875,3789,,,,0.0,0.04869490000419319,0.0008120240090647712,0.09644700000353623,0.12762080201355275,11364,2841,3535,3178,3392,0.9739528335093277,0.24348820837733193,0.7827439886845827
train,windows_overlap,AgPh,AgPh,26382,26382,1.94644572680429,1.9461754226366461,model_symbol,3,32768,127,0.01,0.003875732421875,8795,,,,0.0,0.11698620203242172,0.002025101988692768,0.23978083398833405,0.30625372697249986,26382,6596,7933,7240,7472,0.9730877113183231,0.24327192782958076,0.8090255893104752
train,windows_overlap,GaGa,GaGa,60000,60000,1.9070199391682943,1.9068,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.25301820394815877,0.0041978500375989825,0.5333725969976513,0.6755927250342211,60000,15000,17079,16298,15948,0.9534,0.23835,0.8373441067978219
train,windows_overlap,DrMe,DrMe,60000,60000,1.8945464553833007,1.8946666666666667,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2489369049144443,0.004402189995744266,0.5229499819979537,0.6735790259990608,60000,15000,17111,16264,15740,0.9473333333333334,0.23683333333333334,0.8304599380515458
train,windows_overlap,EnIn,EnIn,60000,60000,1.9119148701985678,1.912,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.24365423401468433,0.004210531013086438,0.5079348030121764,0.6543632820248604,60000,15000,17354,16196,16260,0.956,0.239,0.8263224616803042
train,windows_overlap,PlFa,PlFa,60000,60000,1.8526008140563965,1.8526666666666667,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2649339440249605,0.004210603015962988,0.5452945589786395,0.6896653970034095,60000,15000,16387,15862,15196,0.9263333333333333,0.23158333333333334,0.8479282357966681
train,windows_overlap,HePy,HePy,60000,60000,1.9224143580118815,1.9229333333333334,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.26033375806582626,0.004957313052727841,0.5410506750195054,0.6878606441023294,60000,15000,17149,16132,16072,0.9614666666666667,0.24036666666666667,0.8409819814566447
train,windows_overlap,AeCa,AeCa,60000,60000,1.9715570831298828,1.972,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2534069320099661,0.004548479060758837,0.5407488770142663,0.6843332060525427,60000,15000,17801,16386,16700,0.986,0.2465,0.8308521993146453
train,windows_overlap,HaHi,HaHi,60000,60000,1.8611133476257324,1.8617333333333332,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.25127007195260376,0.004462815020815469,0.5225698699941859,0.6653156720421975,60000,15000,17222,15955,16148,0.9308666666666666,0.23271666666666666,0.8107653001974219
train,windows_overlap,AnCa,AnCa,60000,60000,1.915925283050537,1.916,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.25489993403607514,0.0043433879618532956,0.5382393800246064,0.684760385993286,60000,15000,17422,16298,16268,0.958,0.2395,0.824819194122374
train,windows_overlap,WaMe,WaMe,60000,60000,1.9507504572550456,1.9509333333333334,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2476209770247806,0.004374697993625887,0.5186246170051163,0.6668154140206752,60000,15000,17805,16375,16700,0.9754666666666667,0.24386666666666668,0.8217916315641673
val,windows_overlap,OrSa,OrSa,60000,60000,1.9294998067220053,1.9297333333333333,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2422624099708628,0.0038997810188448057,0.5006512150139315,0.652934357029153,60000,15000,17607,16481,16400,0.9648666666666667,0.24121666666666666,0.8220026125972625
val,windows_overlap,HoSa,HoSa,60000,60000,1.380932469177246,1.3809333333333333,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2579436259693466,0.0042420010577188805,0.5088570820080349,0.6549387800623663,60000,15000,17118,16105,15924,0.6904666666666667,0.17261666666666667,0.6050356350040893
val,windows_overlap,DaRe,DaRe,60000,60000,1.5223866284688314,1.5230666666666666,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2500438529677922,0.00424701401789207,0.5039587280043634,0.6446126380178612,60000,15000,10082,11576,8944,0.7615333333333333,0.19038333333333332,1.1330093235469152
val,windows_overlap,ScPo,ScPo,60000,60000,1.949172221883138,1.9492,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.23582780802098569,0.004061439074575901,0.49119159001566004,0.647542034072103,60000,15000,17884,16418,16756,0.9746,0.24365,0.8174345783940953
val,windows_overlap,EsCo,EsCo,60000,60000,1.9509347785949707,1.9510666666666667,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2532710550149204,0.0045421129470923916,0.5258110889844829,0.6621690759493504,60000,15000,17640,16281,16536,0.9755333333333334,0.24388333333333334,0.8295351473922903
val,windows_overlap,YeMi,YeMi,14737,14736,1.8350823451072205,1.8322475570032573,model_symbol,3,32768,127,0.01,0.003875732421875,4913,,,,0.0,0.059228108992101625,0.0011366939870640635,0.11412703199312091,0.15243825598736294,14737,3685,4301,3989,4140,0.9161237785016286,0.22901540340639207,0.7847012322715647
val,windows_overlap,BuEb,BuEb,3788,3786,1.9964551567968338,1.98837823560486,model_symbol,3,32768,127,0.01,0.003875732421875,1263,,,,0.0,0.018174946992076002,0.0003760919935302809,0.030866152999806218,0.08390514798520599,3788,947,1245,1104,1312,0.99418911780243,0.24841605068637804,0.7558232931726908
val,windows_overlap,AgPh,AgPh,8794,8793,1.9521191728327931,1.9497327419538268,model_symbol,3,32768,127,0.01,0.003875732421875,2932,,,,0.0,0.04385985800763592,0.0006968330126255751,0.07921388300019316,0.11637019400950521,8794,2199,2737,2486,2688,0.9748663709769134,0.24368887878098705,0.782974059188893
val,windows_overlap,GaGa,GaGa,60000,60000,1.9128337890625,1.9125333333333334,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.25217547605279833,0.004089967012987472,0.5236471120006172,0.6745453300245572,60000,15000,17534,16325,16420,0.9562666666666667,0.23906666666666668,0.8180677540777918
val,windows_overlap,DrMe,DrMe,60000,60000,1.8998702346801757,1.9,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2603557050024392,0.004502147043240257,0.5239579430053709,0.6722102970379638,60000,15000,17705,16452,16524,0.95,0.2375,0.8048573849195143
val,windows_overlap,EnIn,EnIn,60000,60000,1.9243227900187174,1.9246666666666667,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2238438449712703,0.0037768680485896766,0.45897277400945313,0.606066794032813,60000,15000,17543,16349,16496,0.9623333333333334,0.24058333333333334,0.8228353189306276
val,windows_overlap,PlFa,PlFa,60000,60000,1.8495332768758137,1.8493333333333333,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2525271939957747,0.004473488050280139,0.5139254799869377,0.6595863340480719,60000,15000,16964,15950,15940,0.9246666666666666,0.23116666666666666,0.8176137703371846
val,windows_overlap,HePy,HePy,60000,60000,1.9082078051249187,1.9084,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2631581809546333,0.004557723994366825,0.5347464490187122,0.677987593007856,60000,15000,17069,16102,15984,0.9542,0.23855,0.8385376999238385
val,windows_overlap,AeCa,AeCa,60000,60000,1.966454768371582,1.9665333333333332,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.2688641989225289,0.004686336993472651,0.5488058480113978,0.6997892100189347,60000,15000,17702,16309,16648,0.9832666666666666,0.24581666666666666,0.8331826912213309
val,windows_overlap,HaHi,HaHi,60000,60000,1.8578543762207032,1.8584,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.26555195401306264,0.004411886009620503,0.5435134519939311,0.6866089570103213,60000,15000,17253,15947,16216,0.9292,0.2323,0.8078595026951835
val,windows_overlap,AnCa,AnCa,60000,60000,1.9109096603393554,1.9110666666666667,model_symbol,3,32768,127,0.01,0.003875732421875,20001,,,,0.0,0.25428723004006315,0.004434921997017227,0.5325351979845436,0.6693554509693058,60000,15000,17523,16321,16352,0.9555333333333333,0.23888333333333334,0.8179535467671061
