split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,homo_sapiens,homo_sapiens:1,100000,99999,1.4508401761454444,1.4511345113451135,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4328739149932517,0.022291334040346555,0.6801638670149259,1.3955142810591497,100000,25000,25528,24236,23696,0.7255672556725568,0.18139,0.7105531181447822
train,windows_nonoverlap,homo_sapiens,homo_sapiens:10,100000,99999,1.1604440019200302,1.160811608116081,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4327273489761865,0.0062249570328276604,0.651121831004275,0.7936952030286193,100000,25000,25055,23856,22812,0.5804058040580405,0.1451,0.5791259229694672
train,windows_nonoverlap,homo_sapiens,homo_sapiens:11,100000,99999,0.533575818870524,0.5343253432534325,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.41018046996032353,0.005671149032423273,0.58545019000303,0.7214982970617712,100000,25000,11959,10816,10888,0.26716267162671625,0.06679,0.5584915126682833
train,windows_nonoverlap,homo_sapiens,homo_sapiens:12,100000,99999,1.4336371134898178,1.4340943409434095,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.43239006395742763,0.005235734046436846,0.6738431289995788,0.8244559880549787,100000,25000,25542,24089,23792,0.7170471704717047,0.17926,0.7018244460104925
train,windows_nonoverlap,homo_sapiens,homo_sapiens:13,100000,99999,0.002344996651718226,0.0038400384003840038,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.40425585297634825,0.005141753994394094,0.5466513879800914,0.6789634589658817,100000,25000,133,47,148,0.0019200192001920019,0.00048,0.3609022556390977
train,windows_nonoverlap,homo_sapiens,homo_sapiens:14,100000,99999,0.002344996651718226,0.0038400384003840038,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.45048699803010095,0.006549814032041468,0.5853720850282116,0.7404673130513402,100000,25000,133,47,148,0.0019200192001920019,0.00048,0.3609022556390977
train,windows_nonoverlap,homo_sapiens,homo_sapiens:15,100000,99999,0.002344996651718226,0.0038400384003840038,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4112239520181902,0.005550514964852482,0.5456160050089238,0.6865908649488119,100000,25000,133,47,148,0.0019200192001920019,0.00048,0.3609022556390977
train,windows_nonoverlap,homo_sapiens,homo_sapiens:16,100000,99999,1.4778630537960957,1.4781747817478175,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.42881556002248544,0.005422858041129075,0.6784856590093113,0.8149691460130271,100000,25000,25104,23735,23072,0.7390873908739087,0.18477,0.7360181644359465
train,windows_nonoverlap,homo_sapiens,homo_sapiens:17,100000,99999,0.5845547222142449,0.5855258552585526,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4145388410106534,0.00556140104890801,0.5905870859860443,0.7279455410316586,100000,25000,10589,10280,9200,0.2927629276292763,0.07319,0.6911889696855227
train,windows_nonoverlap,homo_sapiens,homo_sapiens:18,100000,99999,1.1832427430910357,1.1836118361183612,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.4241360829764744,0.006316119965049438,0.6462542430090252,0.7902149449801072,100000,25000,24810,23625,22624,0.5918059180591806,0.14795,0.5963321241434906
