split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,GaGa,100000,99999,1.8253732910433274,1.8260982609826097,100000,25000,28307,27125,26668,0.9130491304913049,0.22826,0.8063729819479281
train,train_windows_nonoverlap,DrMe,100000,99999,1.8464601626582464,1.84729847298473,100000,25000,28156,26962,25948,0.923649236492365,0.23091,0.8201093905384288
train,train_windows_nonoverlap,EnIn,100000,99999,1.860442318201896,1.8612186121861218,100000,25000,28368,26926,26764,0.9306093060930609,0.23265,0.8201142131979695
train,train_windows_nonoverlap,PlFa,100000,99999,1.792483932070477,1.7932179321793218,100000,25000,27096,26409,25232,0.8966089660896609,0.22415,0.8272438736344848
train,train_windows_nonoverlap,HePy,100000,99999,1.8000316549237112,1.8008180081800818,100000,25000,28131,26820,26420,0.9004090040900409,0.2251,0.8001848494543387
train,train_windows_nonoverlap,AeCa,100000,99999,1.9024257595755103,1.903059030590306,100000,25000,29143,27237,27564,0.951529515295153,0.23788,0.8162509007308788
train,train_windows_nonoverlap,HaHi,100000,99999,1.7700749039114279,1.7708977089770899,100000,25000,28154,26428,26448,0.8854488544885449,0.22136,0.7862470696881437
train,train_windows_nonoverlap,AnCa,100000,99999,1.7156586964789946,1.7163371633716338,100000,25000,28582,26994,26824,0.8581685816858169,0.21454,0.7506122734588202
train,train_windows_nonoverlap,WaMe,100000,99999,1.9230565667203756,1.923779237792378,100000,25000,29047,27262,27328,0.961889618896189,0.24047,0.8278651840121183
val,train_windows_nonoverlap,GaGa,100000,99999,1.856710580395989,1.8573785737857378,100000,25000,28747,27137,27092,0.9286892868928689,0.23217,0.8076321007409469
val,train_windows_nonoverlap,DrMe,100000,99999,1.8925625008070766,1.89329893298933,100000,25000,28761,27224,27116,0.946649466494665,0.23666,0.8228503876777581
val,train_windows_nonoverlap,EnIn,100000,99999,1.878514827939009,1.87929879298793,100000,25000,28791,27188,27200,0.939649396493965,0.23491,0.8159146955645862
val,train_windows_nonoverlap,PlFa,100000,99999,1.804015069693577,1.8047380473804737,100000,25000,27624,26452,26008,0.9023690236902369,0.22559,0.8166449464233999
val,train_windows_nonoverlap,HePy,100000,99999,1.8042243504272195,1.8049780497804977,100000,25000,28041,26785,26308,0.9024890248902488,0.22562,0.8046075389608074
val,train_windows_nonoverlap,AeCa,100000,99999,1.8826515773867891,1.8834588345883458,100000,25000,28956,27068,27432,0.9417294172941729,0.23543,0.8130611962978312
val,train_windows_nonoverlap,HaHi,100000,99999,1.784643259661962,1.7854578545785458,100000,25000,28340,26538,26704,0.8927289272892729,0.22318,0.7875088214537755
val,train_windows_nonoverlap,AnCa,100000,99999,1.805138107329759,1.805858058580586,100000,25000,28663,27003,26952,0.902929029290293,0.22573,0.7875309632627429
val,train_windows_nonoverlap,WaMe,100000,99999,1.919518934619915,1.920339203392034,100000,25000,29139,27207,27496,0.960169601696017,0.24004,0.8237756958028759
test,train_windows_nonoverlap,GaGa,100000,99999,1.8239624756893462,1.824658246582466,100000,25000,28422,26895,26800,0.912329123291233,0.22808,0.8024769544718879
test,train_windows_nonoverlap,DrMe,100000,99999,1.8798184447986885,1.8804988049880498,100000,25000,28667,27152,26728,0.9402494024940249,0.23506,0.8199672096836084
test,train_windows_nonoverlap,EnIn,100000,99999,1.8703414314457405,1.8712187121871218,100000,25000,28651,27161,26864,0.9356093560935609,0.2339,0.8163763917489791
test,train_windows_nonoverlap,PlFa,100000,99999,1.808321416342744,1.8090580905809057,100000,25000,27534,26576,25948,0.9045290452904529,0.22613,0.8212755139100748
test,train_windows_nonoverlap,HePy,100000,99999,1.8101231450149402,1.8109781097810977,100000,25000,28072,26762,26408,0.9054890548905489,0.22637,0.8063907096038757
test,train_windows_nonoverlap,AeCa,100000,99999,1.878722162433896,1.8793787937879378,100000,25000,28952,27179,27368,0.9396893968939689,0.23492,0.811411992263056
test,train_windows_nonoverlap,HaHi,100000,99999,1.9267894381545843,1.927459274592746,100000,25000,29089,27064,27476,0.963729637296373,0.24093,0.8282512289869023
test,train_windows_nonoverlap,AnCa,100000,99999,1.7098332949352244,1.7104171041710416,100000,25000,27659,26863,25828,0.8552085520855208,0.2138,0.7729852850789978
test,train_windows_nonoverlap,WaMe,100000,99999,1.9287511937411714,1.929539295392954,100000,25000,29187,27236,27612,0.964769647696477,0.24119,0.8263610511529106
