split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,OrSa,100000,99999,1.9227422698365486,1.923459234592346,100000,25000,28961,27292,27296,0.961729617296173,0.24043,0.83018542177411
train,windows_nonoverlap,HoSa,100000,99999,1.8801869879363229,1.880978809788098,100000,25000,27817,26629,25732,0.940489404894049,0.23512,0.8452385232052342
train,windows_nonoverlap,DaRe,100000,99999,1.9200219794222124,1.920739207392074,100000,25000,25261,25757,22812,0.960369603696037,0.24009,0.9504374331974189
train,windows_nonoverlap,ScPo,100000,99999,1.9357475502143777,1.936419364193642,100000,25000,28686,27211,27084,0.968209682096821,0.24205,0.8437913965000349
train,windows_nonoverlap,EsCo,100000,99999,1.9451680277118029,1.945939459394594,100000,25000,28942,27112,27332,0.972969729697297,0.24324,0.8404394996890332
train,windows_nonoverlap,YeMi,44213,44211,1.8129586842478402,1.8134853317047794,44213,11054,12547,11797,11772,0.9067426658523897,0.22667541220907877,0.7987566749023671
train,windows_nonoverlap,BuEb,11364,11364,1.9538017301330206,1.9528335093277016,11364,2841,3535,3178,3392,0.9764167546638508,0.2441041886659627,0.7847241867043847
train,windows_nonoverlap,AgPh,26382,26382,1.9341129509435926,1.9343491774694868,26382,6596,7933,7240,7472,0.9671745887347434,0.24179364718368584,0.804109416362032
val,windows_nonoverlap,OrSa,100000,99999,1.9226228211550143,1.92329923299233,100000,25000,28605,27312,26748,0.961649616496165,0.24041,0.8404474742177941
val,windows_nonoverlap,HoSa,100000,99999,1.8664570844027872,1.8672186721867219,100000,25000,28037,26822,26196,0.9336093360933609,0.2334,0.8324713771088205
val,windows_nonoverlap,DaRe,100000,99999,1.9059366014237815,1.9065790657906578,100000,25000,21474,22519,19452,0.9532895328953289,0.23832,1.1098072087175188
val,windows_nonoverlap,ScPo,100000,99999,1.9413667107633152,1.94209942099421,100000,25000,29227,27287,27636,0.971049710497105,0.24276,0.8306018407636774
val,windows_nonoverlap,EsCo,100000,99999,1.9486333641320233,1.9492994929949299,100000,25000,28911,27071,27332,0.9746497464974649,0.24366,0.8427934004358203
val,windows_nonoverlap,YeMi,14737,14736,1.826375698977442,1.8257328990228012,14737,3685,4301,3989,4140,0.9128664495114006,0.22820112641650267,0.7819111834457103
val,windows_nonoverlap,BuEb,3788,3786,1.9805931273962598,1.9778129952456418,3788,947,1245,1104,1312,0.9889064976228209,0.2470960929250264,0.7518072289156627
val,windows_nonoverlap,AgPh,8794,8793,1.9418909145827095,1.940634595701126,8794,2199,2737,2486,2688,0.970317297850563,0.24255173982260633,0.7793204238217026
test,windows_nonoverlap,OrSa,100000,99999,1.923587665244854,1.9242592425924259,100000,25000,29064,27383,27280,0.9621296212962129,0.24053,0.8275873933388385
test,windows_nonoverlap,HoSa,100000,99999,1.8886290752767858,1.889378893788938,100000,25000,28409,26828,26684,0.944689446894469,0.23617,0.8313210602273927
test,windows_nonoverlap,DaRe,100000,99999,1.8754795184981017,1.876258762587626,100000,25000,28364,26792,26380,0.938129381293813,0.23453,0.8268579890001411
test,windows_nonoverlap,ScPo,100000,99999,1.9392319796084778,1.939939399393994,100000,25000,25995,26652,24348,0.969969699696997,0.24249,0.9328332371609925
test,windows_nonoverlap,EsCo,100000,99999,1.949095548480466,1.949859498594986,100000,25000,28961,27126,27268,0.974929749297493,0.24373,0.841580055937295
test,windows_nonoverlap,YeMi,14739,14739,1.831855587430307,1.8313318406947554,14739,3685,4285,3974,4104,0.9156659203473777,0.22891648008684443,0.7873978996499417
test,windows_nonoverlap,BuEb,3788,3786,1.9575336686751548,1.954569466455362,3788,947,1244,1114,1300,0.977284733227681,0.2441921858500528,0.7435691318327974
test,windows_nonoverlap,AgPh,8794,8793,1.9419674551749408,1.941544410326396,8794,2199,2758,2486,2684,0.970772205163198,0.2426654537184444,0.7737490935460478
