split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,GaGa,100000,100000,1.8363974536132812,1.84016,100000,25000,28307,27125,26668,0.92008,0.23002,0.8125905253117603
train,train_windows_nonoverlap,DrMe,100000,100000,1.857126513671875,1.86104,100000,25000,28156,26962,25948,0.93052,0.23263,0.8262182128143202
train,train_windows_nonoverlap,EnIn,100000,100000,1.8734792309570312,1.87744,100000,25000,28368,26926,26764,0.93872,0.23468,0.8272701635645798
train,train_windows_nonoverlap,PlFa,100000,100000,1.798828896484375,1.8028,100000,25000,27096,26409,25232,0.9014,0.22535,0.8316725715972837
train,train_windows_nonoverlap,HePy,100000,100000,1.8429003466796876,1.84696,100000,25000,28131,26820,26420,0.92348,0.23087,0.820696029291529
train,train_windows_nonoverlap,AeCa,100000,100000,1.922103525390625,1.92592,100000,25000,29143,27237,27564,0.96296,0.24074,0.8260645781148132
train,train_windows_nonoverlap,HaHi,100000,100000,1.7880057690429687,1.792,100000,25000,28154,26428,26448,0.896,0.224,0.7956240676280457
train,train_windows_nonoverlap,AnCa,100000,100000,1.767769794921875,1.77152,100000,25000,28582,26994,26824,0.88576,0.22144,0.7747533412637324
train,train_windows_nonoverlap,WaMe,100000,100000,1.9329004565429688,1.93672,100000,25000,29047,27262,27328,0.96836,0.24209,0.8334423520501256
val,train_windows_nonoverlap,GaGa,100000,100000,1.8597285595703126,1.86352,100000,25000,28747,27137,27092,0.93176,0.23294,0.8103106411103768
val,train_windows_nonoverlap,DrMe,100000,100000,1.900355927734375,1.90416,100000,25000,28761,27224,27116,0.95208,0.23802,0.8275790132471055
val,train_windows_nonoverlap,EnIn,100000,100000,1.8907447583007813,1.89464,100000,25000,28791,27188,27200,0.94732,0.23683,0.8225834462158313
val,train_windows_nonoverlap,PlFa,100000,100000,1.807657197265625,1.81152,100000,25000,27624,26452,26008,0.90576,0.22644,0.819721980886186
val,train_windows_nonoverlap,HePy,100000,100000,1.8404895849609375,1.84456,100000,25000,28041,26785,26308,0.92228,0.23057,0.8222602617595663
val,train_windows_nonoverlap,AeCa,100000,100000,1.9013269921875,1.9052,100000,25000,28956,27068,27432,0.9526,0.23815,0.8224547589446056
val,train_windows_nonoverlap,HaHi,100000,100000,1.799103603515625,1.80304,100000,25000,28340,26538,26704,0.90152,0.22538,0.795271700776288
val,train_windows_nonoverlap,AnCa,100000,100000,1.8148411279296874,1.81848,100000,25000,28663,27003,26952,0.90924,0.22731,0.793043296235565
val,train_windows_nonoverlap,WaMe,100000,100000,1.9323914111328124,1.93624,100000,25000,29139,27207,27496,0.96812,0.24203,0.8306050310580322
test,train_windows_nonoverlap,GaGa,100000,100000,1.8281366821289062,1.832,100000,25000,28422,26895,26800,0.916,0.229,0.805713883611287
test,train_windows_nonoverlap,DrMe,100000,100000,1.8896190893554687,1.89344,100000,25000,28667,27152,26728,0.94672,0.23668,0.8256183067638748
test,train_windows_nonoverlap,EnIn,100000,100000,1.8852242602539062,1.88912,100000,25000,28651,27161,26864,0.94456,0.23614,0.8241946179889009
test,train_windows_nonoverlap,PlFa,100000,100000,1.8109003833007813,1.8148,100000,25000,27534,26576,25948,0.9074,0.22685,0.823890462700661
test,train_windows_nonoverlap,HePy,100000,100000,1.8486861181640626,1.85272,100000,25000,28072,26762,26408,0.92636,0.23159,0.8249857509261898
test,train_windows_nonoverlap,AeCa,100000,100000,1.89491083984375,1.8988,100000,25000,28952,27179,27368,0.9494,0.23735,0.8198051948051948
test,train_windows_nonoverlap,HaHi,100000,100000,1.9327710620117187,1.93648,100000,25000,29089,27064,27476,0.96824,0.24206,0.8321358589157414
test,train_windows_nonoverlap,AnCa,100000,100000,1.7308632861328126,1.73448,100000,25000,27659,26863,25828,0.86724,0.21681,0.7838678187931596
test,train_windows_nonoverlap,WaMe,100000,100000,1.93894697265625,1.9428,100000,25000,29187,27236,27612,0.9714,0.24285,0.8320485147497173
