split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,GaGa,100000,100000,1.846204756882226,1.85008,100000,25000,28307,27125,26668,0.92504,0.23126,0.8169710672271876
train,train_windows_nonoverlap,DrMe,100000,100000,1.860863019138929,1.8648,100000,25000,28156,26962,25948,0.9324,0.2331,0.8278874840176161
train,train_windows_nonoverlap,EnIn,100000,100000,1.8761797085163148,1.88016,100000,25000,28368,26926,26764,0.94008,0.23502,0.8284686971235194
train,train_windows_nonoverlap,PlFa,100000,100000,1.8068477371730993,1.8108,100000,25000,27096,26409,25232,0.9054,0.22635,0.8353631532329495
train,train_windows_nonoverlap,HePy,100000,100000,1.8489007128492665,1.85296,100000,25000,28131,26820,26420,0.92648,0.23162,0.8233621271906437
train,train_windows_nonoverlap,AeCa,100000,100000,1.9253440005713145,1.9292,100000,25000,29143,27237,27564,0.9646,0.24115,0.827471433963559
train,train_windows_nonoverlap,HaHi,100000,100000,1.7899220837105325,1.79408,100000,25000,28154,26428,26448,0.89704,0.22426,0.7965475598493997
train,train_windows_nonoverlap,AnCa,100000,100000,1.784002175530323,1.78792,100000,25000,28582,26994,26824,0.89396,0.22349,0.7819256874956266
train,train_windows_nonoverlap,WaMe,100000,100000,1.9362784884611157,1.94016,100000,25000,29047,27262,27328,0.97008,0.24252,0.8349227114676214
val,train_windows_nonoverlap,GaGa,100000,100000,1.8636334179168326,1.86744,100000,25000,28747,27137,27092,0.93372,0.23343,0.812015166800014
val,train_windows_nonoverlap,DrMe,100000,100000,1.9035490599886171,1.90736,100000,25000,28761,27224,27116,0.95368,0.23842,0.8289697854733841
val,train_windows_nonoverlap,EnIn,100000,100000,1.8935517811028846,1.89752,100000,25000,28791,27188,27200,0.94876,0.23719,0.8238338369629398
val,train_windows_nonoverlap,PlFa,100000,100000,1.8115303620894434,1.81544,100000,25000,27624,26452,26008,0.90772,0.22693,0.8214958007529685
val,train_windows_nonoverlap,HePy,100000,100000,1.846206175246468,1.85016,100000,25000,28041,26785,26308,0.92508,0.23127,0.8247566063977747
val,train_windows_nonoverlap,AeCa,100000,100000,1.9044610234667565,1.90832,100000,25000,28956,27068,27432,0.95416,0.23854,0.8238016300594004
val,train_windows_nonoverlap,HaHi,100000,100000,1.8015808948093062,1.80568,100000,25000,28340,26538,26704,0.90284,0.22571,0.7964361326746647
val,train_windows_nonoverlap,AnCa,100000,100000,1.8233595611078641,1.82704,100000,25000,28663,27003,26952,0.91352,0.22838,0.7967763318564003
val,train_windows_nonoverlap,WaMe,100000,100000,1.9362262173578393,1.94008,100000,25000,29139,27207,27496,0.97004,0.24251,0.832252307903497
test,train_windows_nonoverlap,GaGa,100000,100000,1.8325333641077295,1.83648,100000,25000,28422,26895,26800,0.91824,0.22956,0.8076841883048342
test,train_windows_nonoverlap,DrMe,100000,100000,1.892911719001206,1.8968,100000,25000,28667,27152,26728,0.9484,0.2371,0.8270834060069069
test,train_windows_nonoverlap,EnIn,100000,100000,1.8882781768892627,1.89224,100000,25000,28651,27161,26864,0.94612,0.23653,0.8255558270217445
test,train_windows_nonoverlap,PlFa,100000,100000,1.8141837360644109,1.81816,100000,25000,27534,26576,25948,0.90908,0.22727,0.8254158494951697
test,train_windows_nonoverlap,HePy,100000,100000,1.852011876120962,1.856,100000,25000,28072,26762,26408,0.928,0.232,0.8264462809917356
test,train_windows_nonoverlap,AeCa,100000,100000,1.90010835361505,1.904,100000,25000,28952,27179,27368,0.952,0.238,0.8220502901353965
test,train_windows_nonoverlap,HaHi,100000,100000,1.9356352218862394,1.93944,100000,25000,29089,27064,27476,0.96972,0.24243,0.8334078173880161
test,train_windows_nonoverlap,AnCa,100000,100000,1.7474438993897268,1.75096,100000,25000,27659,26863,25828,0.87548,0.21887,0.7913156657869048
test,train_windows_nonoverlap,WaMe,100000,100000,1.942074457537363,1.946,100000,25000,29187,27236,27612,0.973,0.24325,0.8334189879055744
