metric,value
best_val_bits_per_base,1.8108136084565072
compression.aggregate.source_count,9
compression.aggregate.total_arithmetic_bits_per_base,1.8622101599028078
compression.aggregate.total_arithmetic_coded_bytes,966434
compression.aggregate.total_sample_bases,4151772
compression.aggregate.total_sample_bytes,4151776
compression.aggregate.total_theoretical_bits,7714654.879653132
compression.aggregate.total_theoretical_bits_per_base,1.8581595712994672
compression_compare.best_val_bpb,1.8108136084565072
compression_compare.checkpoint_step,31000
compression_compare.overlap_stride_patches,1
compression_compare.overlap_stride_tokens,4
config.data.compression_sample_bytes,500000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,4
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,500000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.eos_id,626
config.model.global_dim,128
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,megabyte_in_action
config.model.initializer_range,0.02
config.model.local_dim,128
config.model.local_heads,2
config.model.local_layers,2
config.model.pad_id,625
config.model.patch_size,4
config.model.seq_length,1024
config.model.vocab_size,627
config.output.output_dir,outputs/dna_megabyte_quick_20260322_124055
config.output.run_name,dna_megabyte_quick
config.train.batch_size,16
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.grad_clip_norm,1.0
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.2
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,0
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,9
dataset.total_size_bytes,374586508
dataset.total_test_bytes,74917307
dataset.total_train_bytes,224751903
dataset.total_val_bytes,74917298
device,cuda
model_parameters,11323251
test.bases,74917288
test.bits_per_base,1.8109873343788723
test.bits_per_token,7.243949337515489
test.elapsed_seconds,20.285969495773315
test.loss_nats_per_base,1.2552807648544861
test.loss_nats_per_token,5.021123059417945
test.tokens,18729322
validation.bases,74917284
validation.bits_per_base,1.8108136084565072
validation.bits_per_token,7.243254433826029
validation.elapsed_seconds,19.740257740020752
validation.loss_nats_per_base,1.2551603472212087
validation.loss_nats_per_token,5.020641388884835
validation.tokens,18729321
