split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,100000,100000,1.925604406527203,1.92928,100000,25000,28961,27292,27296,0.96464,0.24116,0.8327060529677842
train,train_windows_nonoverlap,HoSa,100000,100000,1.880565200860087,1.88448,100000,25000,27817,26629,25732,0.94224,0.23556,0.8468202897508718
train,train_windows_nonoverlap,DaRe,100000,100000,1.9205472386982125,1.92424,100000,25000,25261,25757,22812,0.96212,0.24053,0.952179248644155
train,train_windows_nonoverlap,ScPo,100000,100000,1.9418688008004212,1.9456,100000,25000,28686,27211,27084,0.9728,0.2432,0.8478003207139371
train,train_windows_nonoverlap,EsCo,100000,100000,1.9577241778694996,1.9616,100000,25000,28942,27112,27332,0.9808,0.2452,0.8472116647087278
train,train_windows_nonoverlap,YeMi,44213,44212,1.8305649118602347,1.834253143942821,44213,11054,12547,11797,11772,0.9171265719714105,0.22927645715061182,0.8079222124810712
train,train_windows_nonoverlap,BuEb,11364,11364,1.9581464396408879,1.9605772615276311,11364,2841,3535,3178,3392,0.9802886307638156,0.2450721576909539,0.7878359264497878
train,train_windows_nonoverlap,AgPh,26382,26380,1.9516081997145578,1.955117513267627,26382,6596,7933,7240,7472,0.9775587566338135,0.24437116215601545,0.812681205092651
val,train_windows_nonoverlap,OrSa,100000,100000,1.924505074884867,1.92824,100000,25000,28605,27312,26748,0.96412,0.24103,0.8426149274602343
val,train_windows_nonoverlap,HoSa,100000,100000,1.8662431586643338,1.87032,100000,25000,28037,26822,26196,0.93516,0.23379,0.8338623961194136
val,train_windows_nonoverlap,DaRe,100000,100000,1.9059955044232437,1.90968,100000,25000,21474,22519,19452,0.95484,0.23871,1.1116233584800224
val,train_windows_nonoverlap,ScPo,100000,100000,1.9502574024566266,1.954,100000,25000,29227,27287,27636,0.977,0.24425,0.8356998665617409
val,train_windows_nonoverlap,EsCo,100000,100000,1.9595258285312511,1.96328,100000,25000,28911,27071,27332,0.98164,0.24541,0.8488464598249801
val,train_windows_nonoverlap,YeMi,14737,14736,1.8433460847054692,1.8463626492942453,14737,3685,4301,3989,4140,0.9231813246471227,0.2307796702178191,0.7907463380609161
val,train_windows_nonoverlap,BuEb,3788,3788,1.986187979737787,1.9852164730728616,3788,947,1245,1104,1312,0.9926082365364308,0.2481520591341077,0.7550200803212851
val,train_windows_nonoverlap,AgPh,8794,8792,1.9494629347202965,1.9517743403093721,8794,2199,2737,2486,2688,0.9758871701546861,0.24391630657266317,0.783704786262331
test,train_windows_nonoverlap,OrSa,100000,100000,1.9244903632576045,1.92816,100000,25000,29064,27383,27280,0.96408,0.24102,0.8292733278282411
test,train_windows_nonoverlap,HoSa,100000,100000,1.8880515436388694,1.892,100000,25000,28409,26828,26684,0.946,0.2365,0.8324826639445246
test,train_windows_nonoverlap,DaRe,100000,100000,1.8768159044196242,1.88064,100000,25000,28364,26792,26380,0.94032,0.23508,0.828797066704273
test,train_windows_nonoverlap,ScPo,100000,100000,1.9415392205265993,1.94528,100000,25000,25995,26652,24348,0.97264,0.24316,0.9354106558953645
test,train_windows_nonoverlap,EsCo,100000,100000,1.9605057966242827,1.96432,100000,25000,28961,27126,27268,0.98216,0.24554,0.8478298401298298
test,train_windows_nonoverlap,YeMi,14739,14736,1.8550568227194346,1.8577633007600434,14739,3685,4285,3974,4104,0.9288816503800217,0.232173146075039,0.7985997666277713
test,train_windows_nonoverlap,BuEb,3788,3788,1.9673046616909837,1.9662090813093982,3788,947,1244,1114,1300,0.9831045406546991,0.24577613516367477,0.7483922829581994
test,train_windows_nonoverlap,AgPh,8794,8792,1.951102807449124,1.953594176524113,8794,2199,2758,2486,2684,0.9767970882620565,0.2441437343643393,0.7784626540971719
