split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,sliding_token,GaGa,100000,100000,1.8469129940873588,1.85088,100000,25000,28307,27125,26668,0.92544,0.23136,0.8173243367364963
train,sliding_token,DrMe,100000,100000,1.859827121251674,1.86384,100000,25000,28156,26962,25948,0.93192,0.23298,0.827461287114647
train,sliding_token,EnIn,100000,100000,1.8741999068412658,1.87816,100000,25000,28368,26926,26764,0.93908,0.23477,0.8275874224478286
train,sliding_token,PlFa,100000,100000,1.8075280530518558,1.81152,100000,25000,27096,26409,25232,0.90576,0.22644,0.8356953055801595
train,sliding_token,HePy,100000,100000,1.8442631053422165,1.84832,100000,25000,28131,26820,26420,0.92416,0.23104,0.8213003448153283
train,sliding_token,AeCa,100000,100000,1.9210997253702167,1.92504,100000,25000,29143,27237,27564,0.96252,0.24063,0.8256871289846618
train,sliding_token,HaHi,100000,100000,1.7878987356499356,1.79208,100000,25000,28154,26428,26448,0.89604,0.22401,0.7956595865596363
train,sliding_token,AnCa,100000,100000,1.786194625000966,1.79016,100000,25000,28582,26994,26824,0.89508,0.22377,0.782905325029739
train,sliding_token,WaMe,100000,100000,1.9333361153848205,1.93728,100000,25000,29047,27262,27328,0.96864,0.24216,0.8336833407925087
val,sliding_token,GaGa,100000,100000,1.8658098285840576,1.86968,100000,25000,28747,27137,27092,0.93484,0.23371,0.8129891814798066
val,sliding_token,DrMe,100000,100000,1.9023443013483488,1.90624,100000,25000,28761,27224,27116,0.95312,0.23828,0.8284830151941865
val,sliding_token,EnIn,100000,100000,1.8908588073950812,1.89488,100000,25000,28791,27188,27200,0.94744,0.23686,0.822687645444757
val,sliding_token,PlFa,100000,100000,1.8112368074170686,1.8152,100000,25000,27624,26452,26008,0.9076,0.2269,0.8213871995366349
val,sliding_token,HePy,100000,100000,1.8428847807607396,1.84688,100000,25000,28041,26785,26308,0.92344,0.23086,0.8232944616811098
val,sliding_token,AeCa,100000,100000,1.900038435638532,1.904,100000,25000,28956,27068,27432,0.952,0.238,0.8219367315927615
val,sliding_token,HaHi,100000,100000,1.7988291939724521,1.80296,100000,25000,28340,26538,26704,0.90148,0.22537,0.7952364149611856
val,sliding_token,AnCa,100000,100000,1.8258562951224766,1.82968,100000,25000,28663,27003,26952,0.91484,0.22871,0.7979276419076858
val,sliding_token,WaMe,100000,100000,1.9342602536751674,1.93824,100000,25000,29139,27207,27496,0.96912,0.24228,0.8314629877483785
test,sliding_token,GaGa,100000,100000,1.8318408331708065,1.83576,100000,25000,28422,26895,26800,0.91788,0.22947,0.8073675321933713
test,sliding_token,DrMe,100000,100000,1.892578903253039,1.89656,100000,25000,28667,27152,26728,0.94828,0.23707,0.826978756060976
test,sliding_token,EnIn,100000,100000,1.8859094074323823,1.88992,100000,25000,28651,27161,26864,0.94496,0.23624,0.8245436459460402
test,sliding_token,PlFa,100000,100000,1.814209486006013,1.81816,100000,25000,27534,26576,25948,0.90908,0.22727,0.8254158494951697
test,sliding_token,HePy,100000,100000,1.847580896775938,1.8516,100000,25000,28072,26762,26408,0.9258,0.23145,0.8244870333428327
test,sliding_token,AeCa,100000,100000,1.895325409188411,1.89928,100000,25000,28952,27179,27368,0.94964,0.23741,0.8200124343741365
test,sliding_token,HaHi,100000,100000,1.9313097536963046,1.9352,100000,25000,29089,27064,27476,0.9676,0.2419,0.8315858228196226
test,sliding_token,AnCa,100000,100000,1.7515172792467586,1.7552,100000,25000,27659,26863,25828,0.8776,0.2194,0.7932318594309267
test,sliding_token,WaMe,100000,100000,1.9403844878876542,1.94432,100000,25000,29187,27236,27612,0.97216,0.24304,0.8326994894987494
