split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,GaGa,100000,100000,1.8030535286775173,1.8068,100000,25000,28307,27125,26668,0.9034,0.22585,0.7978591867735896
train,train_windows_nonoverlap,DrMe,100000,100000,1.7914690742016837,1.79536,100000,25000,28156,26962,25948,0.89768,0.22442,0.7970592413695127
train,train_windows_nonoverlap,EnIn,100000,100000,1.858402547969826,1.86232,100000,25000,28368,26926,26764,0.93116,0.23279,0.8206077270163564
train,train_windows_nonoverlap,PlFa,100000,100000,1.769900790835926,1.77376,100000,25000,27096,26409,25232,0.88688,0.22172,0.818275760259817
train,train_windows_nonoverlap,HePy,100000,100000,1.799075283020591,1.80304,100000,25000,28131,26820,26420,0.90152,0.22538,0.8011801926700082
train,train_windows_nonoverlap,AeCa,100000,100000,1.8992077994105208,1.90312,100000,25000,29143,27237,27564,0.95156,0.23789,0.8162852142881653
train,train_windows_nonoverlap,HaHi,100000,100000,1.7677314476491328,1.77176,100000,25000,28154,26428,26448,0.88588,0.22147,0.7866377779356397
train,train_windows_nonoverlap,AnCa,100000,100000,1.6347748070870296,1.63848,100000,25000,28582,26994,26824,0.81924,0.20481,0.7165698691484151
train,train_windows_nonoverlap,WaMe,100000,100000,1.9207074633019712,1.92456,100000,25000,29047,27262,27328,0.96228,0.24057,0.828209453644094
val,train_windows_nonoverlap,GaGa,100000,100000,1.8533146155932345,1.85712,100000,25000,28747,27137,27092,0.92856,0.23214,0.8075277420252548
val,train_windows_nonoverlap,DrMe,100000,100000,1.8812275487097052,1.88504,100000,25000,28761,27224,27116,0.94252,0.23563,0.8192691491950905
val,train_windows_nonoverlap,EnIn,100000,100000,1.8797650117298623,1.88368,100000,25000,28791,27188,27200,0.94184,0.23546,0.8178250147615574
val,train_windows_nonoverlap,PlFa,100000,100000,1.8020399614626794,1.80584,100000,25000,27624,26452,26008,0.90292,0.22573,0.8171517520996235
val,train_windows_nonoverlap,HePy,100000,100000,1.8084845958605238,1.81248,100000,25000,28041,26785,26308,0.90624,0.22656,0.8079597731892586
val,train_windows_nonoverlap,AeCa,100000,100000,1.8801287314902944,1.884,100000,25000,28956,27068,27432,0.942,0.2355,0.8133029423953585
val,train_windows_nonoverlap,HaHi,100000,100000,1.7827729116841577,1.7868,100000,25000,28340,26538,26704,0.8934,0.22335,0.7881086803105152
val,train_windows_nonoverlap,AnCa,100000,100000,1.7728429122672087,1.77624,100000,25000,28663,27003,26952,0.88812,0.22203,0.7746223354149949
val,train_windows_nonoverlap,WaMe,100000,100000,1.9206119154613075,1.92448,100000,25000,29139,27207,27496,0.96224,0.24056,0.8255602457187962
test,train_windows_nonoverlap,GaGa,100000,100000,1.8202621891237676,1.82408,100000,25000,28422,26895,26800,0.91204,0.22801,0.8022306663851946
test,train_windows_nonoverlap,DrMe,100000,100000,1.876312609078899,1.88016,100000,25000,28667,27152,26728,0.94008,0.23502,0.8198276764223672
test,train_windows_nonoverlap,EnIn,100000,100000,1.8710725613126542,1.87504,100000,25000,28651,27161,26864,0.93752,0.23438,0.818051725943248
test,train_windows_nonoverlap,PlFa,100000,100000,1.8052498825286574,1.80912,100000,25000,27534,26576,25948,0.90456,0.22614,0.8213118326432775
test,train_windows_nonoverlap,HePy,100000,100000,1.812590339517901,1.81648,100000,25000,28072,26762,26408,0.90824,0.22706,0.8088486748361357
test,train_windows_nonoverlap,AeCa,100000,100000,1.8760117442349251,1.87984,100000,25000,28952,27179,27368,0.93992,0.23498,0.8116192318319978
test,train_windows_nonoverlap,HaHi,100000,100000,1.9241566309051128,1.92784,100000,25000,29089,27064,27476,0.96392,0.24098,0.8284231152669393
test,train_windows_nonoverlap,AnCa,100000,100000,1.6610187406038661,1.66448,100000,25000,27659,26863,25828,0.83224,0.20806,0.7522325463682707
test,train_windows_nonoverlap,WaMe,100000,100000,1.927986797780085,1.93184,100000,25000,29187,27236,27612,0.96592,0.24148,0.8273546441909069
