metric,value
best_val_bits_per_base,1.8414539242647816
compression.aggregate.source_count,9
compression.aggregate.total_arithmetic_bits_per_base,1.8636444444444444
compression.aggregate.total_arithmetic_coded_bytes,209660
compression.aggregate.total_sample_bases,900000
compression.aggregate.total_sample_bytes,900000
compression.aggregate.total_theoretical_bits,1673716.8210140644
compression.aggregate.total_theoretical_bits_per_base,1.8596853566822937
compression_compare.best_val_bpb,1.8414539242647816
compression_compare.checkpoint_step,62500
compression_compare.overlap_stride_patches,1
compression_compare.overlap_stride_tokens,4
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.test_ratio,0.1
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,4
config.data.train_ratio,0.8
config.data.train_samples_per_epoch,1000000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.1
config.model.eos_id,626
config.model.global_dim,128
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,megabyte_in_action
config.model.initializer_range,0.02
config.model.local_dim,128
config.model.local_heads,2
config.model.local_layers,2
config.model.pad_id,625
config.model.patch_size,4
config.model.seq_length,256
config.model.vocab_size,627
config.output.output_dir,outputs/dna_megabyte_quick_20260322_151655
config.output.run_name,dna_megabyte_quick
config.train.batch_size,16
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.grad_clip_norm,1.0
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.2
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,0
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,9
dataset.total_size_bytes,374586508
dataset.total_test_bytes,37458658
dataset.total_train_bytes,299669204
dataset.total_val_bytes,37458646
device,cuda
model_parameters,11323251
test.bases,37458648
test.bits_per_base,1.8347558640770574
test.bits_per_token,7.3390234563082295
test.elapsed_seconds,9.129803895950317
test.loss_nats_per_base,1.2717558542008385
test.loss_nats_per_token,5.087023416803354
test.tokens,9364662
validation.bases,37458632
validation.bits_per_base,1.8414539242647816
validation.bits_per_token,7.365815697059126
validation.elapsed_seconds,9.196372032165527
validation.loss_nats_per_base,1.2763985957351804
validation.loss_nats_per_token,5.105594382940722
validation.tokens,9364658
