split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,GaGa,100000,100000,1.8668120678710938,1.87056,100000,25000,28307,27125,26668,0.93528,0.23382,0.8260147666654891
train,train_windows_nonoverlap,DrMe,100000,100000,1.8762848327636719,1.88008,100000,25000,28156,26962,25948,0.94004,0.23501,0.8346711180565421
train,train_windows_nonoverlap,EnIn,100000,100000,1.8877559509277344,1.89168,100000,25000,28368,26926,26764,0.94584,0.23646,0.8335448392554992
train,train_windows_nonoverlap,PlFa,100000,100000,1.828892216796875,1.83288,100000,25000,27096,26409,25232,0.91644,0.22911,0.8455491585473871
train,train_windows_nonoverlap,HePy,100000,100000,1.872870517578125,1.87664,100000,25000,28131,26820,26420,0.93832,0.23458,0.8338843268991504
train,train_windows_nonoverlap,AeCa,100000,100000,1.9439906774902345,1.94768,100000,25000,29143,27237,27564,0.97384,0.24346,0.8353978656967368
train,train_windows_nonoverlap,HaHi,100000,100000,1.805560743408203,1.8096,100000,25000,28154,26428,26448,0.9048,0.2262,0.8034382325779641
train,train_windows_nonoverlap,AnCa,100000,100000,1.8435808337402344,1.84728,100000,25000,28582,26994,26824,0.92364,0.23091,0.8078860821496047
train,train_windows_nonoverlap,WaMe,100000,100000,1.9484532287597656,1.95216,100000,25000,29047,27262,27328,0.97608,0.24402,0.8400867559472579
val,train_windows_nonoverlap,GaGa,100000,100000,1.8467194653320314,1.85064,100000,25000,28424,26895,26796,0.92532,0.23133,0.8138544891640866
val,train_windows_nonoverlap,DrMe,100000,100000,1.9052109326171875,1.90888,100000,25000,28667,27158,26720,0.95444,0.23861,0.8323507866187603
val,train_windows_nonoverlap,EnIn,100000,100000,1.9008841723632812,1.90472,100000,25000,28651,27161,26864,0.95236,0.23809,0.8310006631531186
val,train_windows_nonoverlap,PlFa,100000,100000,1.8264733935546875,1.83048,100000,25000,27534,26576,25948,0.91524,0.22881,0.8310089344083679
val,train_windows_nonoverlap,HePy,100000,100000,1.8726384851074218,1.87648,100000,25000,28072,26762,26408,0.93824,0.23456,0.835565688230265
val,train_windows_nonoverlap,AeCa,100000,100000,1.917207977294922,1.92096,100000,25000,28948,27179,27312,0.96048,0.24012,0.8294873566394915
val,train_windows_nonoverlap,HaHi,100000,100000,1.945842459716797,1.9496,100000,25000,29089,27064,27476,0.9748,0.2437,0.8377737289009591
val,train_windows_nonoverlap,AnCa,100000,100000,1.7939443518066407,1.79768,100000,25000,27659,26863,25828,0.89884,0.22471,0.812429950468202
val,train_windows_nonoverlap,WaMe,100000,100000,1.955402205810547,1.9592,100000,25000,29187,27236,27612,0.9796,0.2449,0.8390721896734847
test,train_windows_nonoverlap,GaGa,100000,100000,1.8150194604492187,1.81912,100000,25000,27989,26680,26360,0.90956,0.22739,0.8124263103362035
test,train_windows_nonoverlap,DrMe,100000,100000,1.8970453881835938,1.9008,100000,25000,28923,27209,27160,0.9504,0.2376,0.8214915465200705
test,train_windows_nonoverlap,EnIn,100000,100000,1.914438533935547,1.91824,100000,25000,28905,27258,27300,0.95912,0.23978,0.8295450614080608
test,train_windows_nonoverlap,PlFa,100000,100000,1.825085869140625,1.82912,100000,25000,27676,26456,26052,0.91456,0.22864,0.8261309437780026
test,train_windows_nonoverlap,HePy,100000,100000,1.8656366467285157,1.86944,100000,25000,28095,26672,26452,0.93472,0.23368,0.8317494216052679
test,train_windows_nonoverlap,AeCa,100000,100000,1.8566688806152343,1.86064,100000,25000,28451,26738,26736,0.93032,0.23258,0.817475659906506
test,train_windows_nonoverlap,HaHi,100000,100000,1.8770870568847655,1.88096,100000,25000,28863,26883,27128,0.94048,0.23512,0.8146069362159166
test,train_windows_nonoverlap,AnCa,100000,100000,1.8125679907226562,1.81608,100000,25000,28374,26949,26460,0.90804,0.22701,0.8000634383590611
test,train_windows_nonoverlap,WaMe,100000,100000,1.9561339636230468,1.95984,100000,25000,29181,27284,27592,0.97992,0.24498,0.8395188650149069
