split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.892,1.8912547444661458,94.6,80.0,1.6,76482.88925662477,0.07648288925662476,76482.88925662477,0.07648288925662476
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.5468,1.5460327270507812,77.34,82.0,1.64,157126.65558977704,0.15712665558977704,157126.65558977704,0.15712665558977704
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.7473333333333334,1.746656201171875,87.36666666666667,74.0,1.48,149424.48056848618,0.14942448056848617,149424.48056848618,0.14942448056848617
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.9317333333333333,1.9309295369466146,96.58666666666666,95.0,1.9,145942.58501364724,0.14594258501364724,145942.58501364724,0.14594258501364724
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.8813333333333333,1.8804862915039062,94.06666666666666,95.0,1.9,129347.51592814605,0.12934751592814606,129347.51592814605,0.12934751592814606
train,windows_nonoverlap,YeMi,YeMi,44213,44211,1.8203614485082897,1.8196033816792625,91.01807242541449,94.0,1.88,120244.771997013,0.120244771997013,120250.2115831792,0.12025021158317921
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9535374868004225,1.953496968565756,97.67687434002113,99.0,1.98,97719.18940541576,0.09771918940541575,97719.18940541576,0.09771918940541575
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9143355318019861,1.9135933191309416,95.7167765900993,99.0,1.98,120713.69445895108,0.12071369445895108,120713.69445895108,0.12071369445895108
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.8065333333333333,1.8058535074869793,90.32666666666667,91.0,1.82,128481.74609986876,0.12848174609986876,128481.74609986876,0.12848174609986876
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.8210666666666666,1.8204020385742188,91.05333333333333,93.0,1.86,127240.29438996875,0.12724029438996876,127240.29438996875,0.12724029438996876
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.8557333333333332,1.8550527994791666,92.78666666666666,79.0,1.58,126730.19545157232,0.12673019545157233,126730.19545157232,0.12673019545157233
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.7761333333333333,1.7754197347005207,88.80666666666667,87.0,1.74,142301.24760965217,0.14230124760965218,142301.24760965217,0.14230124760965218
train,windows_nonoverlap,HePy,HePy,60000,60000,1.8294666666666666,1.828780135091146,91.47333333333333,91.0,1.82,132321.6187480686,0.1323216187480686,132321.6187480686,0.1323216187480686
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.9069333333333334,1.9061166788736978,95.34666666666666,97.0,1.94,132500.66077045308,0.13250066077045308,132500.66077045308,0.13250066077045308
train,windows_nonoverlap,HaHi,HaHi,60000,60000,1.7804,1.7795149943033854,89.02,93.0,1.86,124171.83729137122,0.12417183729137123,124171.83729137122,0.12417183729137123
train,windows_nonoverlap,AnCa,AnCa,60000,60000,1.5356,1.5348145345052084,76.78,,,136960.50361065715,0.13696050361065715,136960.50361065715,0.13696050361065715
train,windows_nonoverlap,WaMe,WaMe,60000,60000,1.9333333333333333,1.9326343994140625,96.66666666666667,,,139214.43813623267,0.13921443813623266,139214.43813623267,0.13921443813623266
