split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,train_windows_nonoverlap,OrSa,60000,60000,1.8912547444661458,1.892,32768,127,0.01,0.003875732421875,60000,15000,17639,16438,16512,0.946,0.2365,0.8044673734338681
train,train_windows_nonoverlap,HoSa,60000,60000,1.5460327270507812,1.5468,32768,127,0.01,0.003875732421875,60000,15000,16995,16137,15716,0.7734,0.19335,0.68261253309797
train,train_windows_nonoverlap,DaRe,60000,60000,1.746656201171875,1.7473333333333334,32768,127,0.01,0.003875732421875,60000,15000,14457,15181,12852,0.8736666666666667,0.21841666666666668,0.9064812893408037
train,train_windows_nonoverlap,ScPo,60000,60000,1.9309295369466146,1.9317333333333333,32768,127,0.01,0.003875732421875,60000,15000,17448,16398,16336,0.9658666666666667,0.24146666666666666,0.8303530490600642
train,train_windows_nonoverlap,EsCo,60000,60000,1.8804862915039062,1.8813333333333333,32768,127,0.01,0.003875732421875,60000,15000,17715,16300,16612,0.9406666666666667,0.23516666666666666,0.7965001411233418
train,train_windows_nonoverlap,YeMi,44213,44211,1.8196033816792625,1.8203614485082897,32768,127,0.01,0.003875732421875,44213,11054,12547,11797,11772,0.9101807242541449,0.2275348879288897,0.801785287319678
train,train_windows_nonoverlap,BuEb,11364,11364,1.953496968565756,1.9535374868004225,32768,127,0.01,0.003875732421875,11364,2841,3535,3178,3392,0.9767687434002112,0.2441921858500528,0.785007072135785
train,train_windows_nonoverlap,AgPh,26382,26382,1.9135933191309416,1.9143355318019861,32768,127,0.01,0.003875732421875,26382,6596,7933,7240,7472,0.9571677659009931,0.23929194147524827,0.7957897390646665
train,train_windows_nonoverlap,GaGa,60000,60000,1.8058535074869793,1.8065333333333333,32768,127,0.01,0.003875732421875,60000,15000,17079,16298,15948,0.9032666666666667,0.22581666666666667,0.7933134258446045
train,train_windows_nonoverlap,DrMe,60000,60000,1.8204020385742188,1.8210666666666666,32768,127,0.01,0.003875732421875,60000,15000,17111,16264,15740,0.9105333333333333,0.22763333333333333,0.7981999883116124
train,train_windows_nonoverlap,EnIn,60000,60000,1.8550527994791666,1.8557333333333332,32768,127,0.01,0.003875732421875,60000,15000,17354,16196,16260,0.9278666666666666,0.23196666666666665,0.8020053013714418
train,train_windows_nonoverlap,PlFa,60000,60000,1.7754197347005207,1.7761333333333333,32768,127,0.01,0.003875732421875,60000,15000,16387,15862,15196,0.8880666666666667,0.22201666666666667,0.8129004698846647
train,train_windows_nonoverlap,HePy,60000,60000,1.828780135091146,1.8294666666666666,32768,127,0.01,0.003875732421875,60000,15000,17149,16132,16072,0.9147333333333333,0.22868333333333332,0.8001049623884775
train,train_windows_nonoverlap,AeCa,60000,60000,1.9061166788736978,1.9069333333333334,32768,127,0.01,0.003875732421875,60000,15000,17801,16386,16700,0.9534666666666667,0.23836666666666667,0.8034380091006124
train,train_windows_nonoverlap,HaHi,60000,60000,1.7795149943033854,1.7804,32768,127,0.01,0.003875732421875,60000,15000,17222,15955,16148,0.8902,0.22255,0.7753454883288816
train,train_windows_nonoverlap,AnCa,60000,60000,1.5348145345052084,1.5356,32768,127,0.01,0.003875732421875,60000,15000,17422,16298,16268,0.7678,0.19195,0.6610607278154058
train,train_windows_nonoverlap,WaMe,60000,60000,1.9326343994140625,1.9333333333333333,32768,127,0.01,0.003875732421875,60000,15000,17805,16375,16700,0.9666666666666667,0.24166666666666667,0.8143779837124403
