split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.9257333333333333,1.9252852864583334,96.28666666666666,80.0,1.6,94130.95459164749,0.09413095459164748,94130.95459164749,0.09413095459164748
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.5057333333333334,1.505014998372396,75.28666666666666,82.0,1.64,141936.94905550577,0.14193694905550577,141936.94905550577,0.14193694905550577
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.4994666666666667,1.498865694173177,74.97333333333333,74.0,1.48,135971.8181182209,0.1359718181182209,135971.8181182209,0.1359718181182209
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.9485333333333332,1.9479994384765624,97.42666666666666,95.0,1.9,135692.54176006018,0.13569254176006018,135692.54176006018,0.13569254176006018
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.9562666666666666,1.955672412109375,97.81333333333333,95.0,1.9,134357.34680861008,0.13435734680861008,134357.34680861008,0.13435734680861008
train,windows_nonoverlap,YeMi,YeMi,60000,60000,1.8365333333333334,1.835939265950521,91.82666666666667,94.0,1.88,135718.94239209505,0.13571894239209506,135718.94239209505,0.13571894239209506
train,windows_nonoverlap,BuEb,BuEb,18561,18561,1.9636873013307472,1.9644762187879872,98.18436506653737,99.0,1.98,126969.7107573791,0.1269697107573791,126969.7107573791,0.1269697107573791
train,windows_nonoverlap,AgPh,AgPh,43090,43089,1.9594792174336837,1.9589761451905867,97.97396087168418,99.0,1.98,132192.9169110223,0.1321929169110223,132195.98481505606,0.13219598481505607
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.9022666666666668,1.9017623372395833,95.11333333333334,91.0,1.82,138456.31354688862,0.13845631354688862,138456.31354688862,0.13845631354688862
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.8981333333333332,1.8975027506510416,94.90666666666667,93.0,1.86,137708.67580932038,0.1377086758093204,137708.67580932038,0.1377086758093204
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.9117333333333333,1.9112423421223959,95.58666666666666,79.0,1.58,137513.37254498134,0.13751337254498133,137513.37254498134,0.13751337254498133
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.8568,1.8562157470703124,92.84,87.0,1.74,136981.67995802977,0.13698167995802976,136981.67995802977,0.13698167995802976
train,windows_nonoverlap,HePy,HePy,60000,60000,1.942,1.9415592895507812,97.1,91.0,1.82,137319.72871924887,0.13731972871924888,137319.72871924887,0.13731972871924888
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.9784,1.9778296630859376,98.92,97.0,1.94,136716.36053453624,0.13671636053453626,136716.36053453624,0.13671636053453626
train,windows_nonoverlap,HaHi,HaHi,60000,60000,1.8757333333333333,1.8751346394856772,93.78666666666666,93.0,1.86,137261.7477775167,0.13726174777751668,137261.7477775167,0.13726174777751668
train,windows_nonoverlap,AnCa,AnCa,60000,60000,1.914,1.9134939575195313,95.7,,,138179.93275348988,0.1381799327534899,138179.93275348988,0.1381799327534899
train,windows_nonoverlap,WaMe,WaMe,60000,60000,1.9574666666666667,1.9569573323567708,97.87333333333333,,,137900.9470318337,0.1379009470318337,137900.9470318337,0.1379009470318337
