split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,DaRe,DaRe,0,1,20,38.190738360087074,1.9095369180043538
train,windows_nonoverlap,DaRe,DaRe,1,2,20,38.190738360087074,1.9095369180043538
train,windows_nonoverlap,DaRe,DaRe,2,3,20,38.19073836008708,1.909536918004354
train,windows_nonoverlap,DaRe,DaRe,3,4,20,35.854941527048744,1.7927470763524371
train,windows_nonoverlap,DaRe,DaRe,4,5,20,35.854941527048744,1.7927470763524371
train,windows_nonoverlap,DaRe,DaRe,5,6,20,35.854941527048744,1.7927470763524371
train,windows_nonoverlap,DaRe,DaRe,6,7,20,37.82033749421437,1.8910168747107186
train,windows_nonoverlap,DaRe,DaRe,7,8,20,37.82033749421438,1.891016874710719
train,windows_nonoverlap,DaRe,DaRe,8,9,20,37.82033749421437,1.8910168747107186
train,windows_nonoverlap,DaRe,DaRe,9,10,20,37.04983286062877,1.8524916430314384
train,windows_nonoverlap,DaRe,DaRe,10,11,20,37.04983286062876,1.852491643031438
train,windows_nonoverlap,DaRe,DaRe,11,12,20,37.04983286062877,1.8524916430314384
train,windows_nonoverlap,DaRe,DaRe,12,13,20,35.36938606699308,1.768469303349654
train,windows_nonoverlap,DaRe,DaRe,13,14,20,35.36938606699308,1.768469303349654
train,windows_nonoverlap,DaRe,DaRe,14,15,20,35.36938606699308,1.768469303349654
train,windows_nonoverlap,DaRe,DaRe,15,16,20,33.7271117468675,1.686355587343375
train,windows_nonoverlap,DaRe,DaRe,16,17,20,33.7271117468675,1.686355587343375
train,windows_nonoverlap,DaRe,DaRe,17,18,20,33.7271117468675,1.686355587343375
train,windows_nonoverlap,DaRe,DaRe,18,19,20,39.09503418703874,1.954751709351937
train,windows_nonoverlap,DaRe,DaRe,19,20,20,39.09503418703874,1.954751709351937
train,windows_nonoverlap,DaRe,DaRe,20,21,20,39.09503418703874,1.954751709351937
train,windows_nonoverlap,DaRe,DaRe,21,22,20,32.546635230382286,1.6273317615191143
train,windows_nonoverlap,DaRe,DaRe,22,23,20,32.546635230382286,1.6273317615191143
train,windows_nonoverlap,DaRe,DaRe,23,24,20,32.546635230382286,1.6273317615191143
train,windows_nonoverlap,DaRe,DaRe,24,25,20,37.54468934237957,1.8772344671189785
train,windows_nonoverlap,DaRe,DaRe,25,26,20,37.54468934237957,1.8772344671189785
train,windows_nonoverlap,DaRe,DaRe,26,27,20,37.54468934237957,1.8772344671189785
train,windows_nonoverlap,DaRe,DaRe,27,28,20,33.46850759784381,1.6734253798921905
train,windows_nonoverlap,DaRe,DaRe,28,29,20,33.46850759784381,1.6734253798921905
train,windows_nonoverlap,DaRe,DaRe,29,30,20,33.468507597843804,1.67342537989219
train,windows_nonoverlap,DaRe,DaRe,30,31,20,34.31421861052513,1.7157109305262566
