split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,PlFa,PlFa,0,1,20,39.392984231313065,1.9696492115656532
train,windows_nonoverlap,PlFa,PlFa,1,2,20,39.39298423131307,1.9696492115656536
train,windows_nonoverlap,PlFa,PlFa,2,3,20,39.392984231313065,1.9696492115656532
train,windows_nonoverlap,PlFa,PlFa,3,4,20,40.47233327229818,2.023616663614909
train,windows_nonoverlap,PlFa,PlFa,4,5,20,40.47233327229818,2.023616663614909
train,windows_nonoverlap,PlFa,PlFa,5,6,20,40.47233327229818,2.023616663614909
train,windows_nonoverlap,PlFa,PlFa,6,7,20,38.15779892603556,1.907889946301778
train,windows_nonoverlap,PlFa,PlFa,7,8,20,38.15779892603556,1.907889946301778
train,windows_nonoverlap,PlFa,PlFa,8,9,20,38.15779892603556,1.907889946301778
train,windows_nonoverlap,PlFa,PlFa,9,10,20,36.97388490041097,1.8486942450205486
train,windows_nonoverlap,PlFa,PlFa,10,11,20,36.97388490041097,1.8486942450205486
train,windows_nonoverlap,PlFa,PlFa,11,12,20,36.973884900410965,1.8486942450205484
train,windows_nonoverlap,PlFa,PlFa,12,13,20,37.16725420951843,1.8583627104759217
train,windows_nonoverlap,PlFa,PlFa,13,14,20,37.16725420951843,1.8583627104759217
train,windows_nonoverlap,PlFa,PlFa,14,15,20,37.16725420951843,1.8583627104759217
train,windows_nonoverlap,PlFa,PlFa,15,16,20,36.537287076314286,1.8268643538157143
train,windows_nonoverlap,PlFa,PlFa,16,17,20,36.537287076314286,1.8268643538157143
train,windows_nonoverlap,PlFa,PlFa,17,18,20,36.537287076314286,1.8268643538157143
train,windows_nonoverlap,PlFa,PlFa,18,19,20,38.471302926540375,1.9235651463270187
train,windows_nonoverlap,PlFa,PlFa,19,20,20,38.471302926540375,1.9235651463270187
train,windows_nonoverlap,PlFa,PlFa,20,21,20,38.471302926540375,1.9235651463270187
train,windows_nonoverlap,PlFa,PlFa,21,22,20,37.10194317499796,1.8550971587498981
train,windows_nonoverlap,PlFa,PlFa,22,23,20,37.10194317499796,1.8550971587498981
train,windows_nonoverlap,PlFa,PlFa,23,24,20,37.10194317499796,1.8550971587498981
train,windows_nonoverlap,PlFa,PlFa,24,25,20,37.15846220652262,1.857923110326131
train,windows_nonoverlap,PlFa,PlFa,25,26,20,37.15846220652262,1.857923110326131
train,windows_nonoverlap,PlFa,PlFa,26,27,20,37.15846220652262,1.857923110326131
train,windows_nonoverlap,PlFa,PlFa,27,28,20,39.53639737764994,1.976819868882497
train,windows_nonoverlap,PlFa,PlFa,28,29,20,39.53639737764994,1.976819868882497
train,windows_nonoverlap,PlFa,PlFa,29,30,20,39.53639737764994,1.976819868882497
train,windows_nonoverlap,PlFa,PlFa,30,31,20,37.967566172281906,1.8983783086140953
train,windows_nonoverlap,PlFa,PlFa,31,32,20,37.9675661722819,1.8983783086140948
train,windows_nonoverlap,PlFa,PlFa,32,33,20,37.9675661722819,1.8983783086140948
train,windows_nonoverlap,PlFa,PlFa,33,34,20,38.164963245391846,1.9082481622695924
train,windows_nonoverlap,PlFa,PlFa,34,35,20,38.164963245391846,1.9082481622695924
train,windows_nonoverlap,PlFa,PlFa,35,36,20,38.164963245391846,1.9082481622695924
train,windows_nonoverlap,PlFa,PlFa,36,37,20,38.152876138687134,1.9076438069343566
train,windows_nonoverlap,PlFa,PlFa,37,38,20,38.152876138687134,1.9076438069343566
train,windows_nonoverlap,PlFa,PlFa,38,39,20,38.152876138687134,1.9076438069343566
train,windows_nonoverlap,PlFa,PlFa,39,40,20,39.14819963773092,1.957409981886546
train,windows_nonoverlap,PlFa,PlFa,40,41,20,39.14819963773092,1.957409981886546
train,windows_nonoverlap,PlFa,PlFa,41,42,20,39.14819963773092,1.957409981886546
train,windows_nonoverlap,PlFa,PlFa,42,43,20,40.58757495880127,2.0293787479400636
train,windows_nonoverlap,PlFa,PlFa,43,44,20,40.58757495880127,2.0293787479400636
train,windows_nonoverlap,PlFa,PlFa,44,45,20,40.58757495880127,2.0293787479400636
train,windows_nonoverlap,PlFa,PlFa,45,46,20,37.176328341166176,1.8588164170583088
train,windows_nonoverlap,PlFa,PlFa,46,47,20,37.176328341166176,1.8588164170583088
