split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,WaMe,WaMe,0,1,20,39.272759119669594,1.9636379559834798
train,windows_nonoverlap,WaMe,WaMe,1,2,20,39.272759119669594,1.9636379559834798
train,windows_nonoverlap,WaMe,WaMe,2,3,20,39.272759119669594,1.9636379559834798
train,windows_nonoverlap,WaMe,WaMe,3,4,20,42.24349037806193,2.1121745189030965
train,windows_nonoverlap,WaMe,WaMe,4,5,20,42.24349037806193,2.1121745189030965
train,windows_nonoverlap,WaMe,WaMe,5,6,20,42.24349037806193,2.1121745189030965
train,windows_nonoverlap,WaMe,WaMe,6,7,20,43.20583709081014,2.160291854540507
train,windows_nonoverlap,WaMe,WaMe,7,8,20,43.20583709081014,2.160291854540507
train,windows_nonoverlap,WaMe,WaMe,8,9,20,43.20583709081014,2.160291854540507
train,windows_nonoverlap,WaMe,WaMe,9,10,20,41.40776379903157,2.0703881899515784
train,windows_nonoverlap,WaMe,WaMe,10,11,20,41.40776379903158,2.070388189951579
train,windows_nonoverlap,WaMe,WaMe,11,12,20,41.40776379903157,2.0703881899515784
train,windows_nonoverlap,WaMe,WaMe,12,13,20,39.525544961293534,1.9762772480646766
train,windows_nonoverlap,WaMe,WaMe,13,14,20,39.52554496129354,1.976277248064677
train,windows_nonoverlap,WaMe,WaMe,14,15,20,39.52554496129354,1.976277248064677
train,windows_nonoverlap,WaMe,WaMe,15,16,20,44.80628363291422,2.240314181645711
train,windows_nonoverlap,WaMe,WaMe,16,17,20,44.80628363291422,2.240314181645711
train,windows_nonoverlap,WaMe,WaMe,17,18,20,44.80628363291422,2.240314181645711
train,windows_nonoverlap,WaMe,WaMe,18,19,20,40.9264349937439,2.046321749687195
train,windows_nonoverlap,WaMe,WaMe,19,20,20,40.9264349937439,2.046321749687195
train,windows_nonoverlap,WaMe,WaMe,20,21,20,40.9264349937439,2.046321749687195
train,windows_nonoverlap,WaMe,WaMe,21,22,20,42.868074099222824,2.143403704961141
train,windows_nonoverlap,WaMe,WaMe,22,23,20,42.86807409922282,2.1434037049611407
train,windows_nonoverlap,WaMe,WaMe,23,24,20,42.86807409922282,2.1434037049611407
train,windows_nonoverlap,WaMe,WaMe,24,25,20,40.79609203338623,2.0398046016693114
train,windows_nonoverlap,WaMe,WaMe,25,26,20,40.79609203338623,2.0398046016693114
train,windows_nonoverlap,WaMe,WaMe,26,27,20,40.79609203338623,2.0398046016693114
train,windows_nonoverlap,WaMe,WaMe,27,28,20,40.32264407475789,2.0161322037378944
train,windows_nonoverlap,WaMe,WaMe,28,29,20,40.322644074757896,2.016132203737895
train,windows_nonoverlap,WaMe,WaMe,29,30,20,40.322644074757896,2.016132203737895
train,windows_nonoverlap,WaMe,WaMe,30,31,20,41.5133113861084,2.07566556930542
train,windows_nonoverlap,WaMe,WaMe,31,32,20,41.5133113861084,2.07566556930542
train,windows_nonoverlap,WaMe,WaMe,32,33,20,41.5133113861084,2.07566556930542
train,windows_nonoverlap,WaMe,WaMe,33,34,20,38.52228546142578,1.926114273071289
train,windows_nonoverlap,WaMe,WaMe,34,35,20,38.52228546142578,1.926114273071289
train,windows_nonoverlap,WaMe,WaMe,35,36,20,38.52228546142578,1.926114273071289
train,windows_nonoverlap,WaMe,WaMe,36,37,20,38.95349232355753,1.9476746161778766
train,windows_nonoverlap,WaMe,WaMe,37,38,20,38.95349232355753,1.9476746161778766
train,windows_nonoverlap,WaMe,WaMe,38,39,20,38.95349232355753,1.9476746161778766
train,windows_nonoverlap,WaMe,WaMe,39,40,20,42.34570105870564,2.1172850529352822
train,windows_nonoverlap,WaMe,WaMe,40,41,20,42.34570105870565,2.1172850529352827
train,windows_nonoverlap,WaMe,WaMe,41,42,20,42.34570105870565,2.1172850529352827
train,windows_nonoverlap,WaMe,WaMe,42,43,20,39.72276560465495,1.9861382802327476
train,windows_nonoverlap,WaMe,WaMe,43,44,20,39.72276560465495,1.9861382802327476
train,windows_nonoverlap,WaMe,WaMe,44,45,20,39.72276560465495,1.9861382802327476
train,windows_nonoverlap,WaMe,WaMe,45,46,20,39.751632054646805,1.9875816027323403
train,windows_nonoverlap,WaMe,WaMe,46,47,20,39.75163205464681,1.9875816027323405
train,windows_nonoverlap,WaMe,WaMe,47,48,20,39.751632054646805,1.9875816027323403
train,windows_nonoverlap,WaMe,WaMe,48,49,20,40.99596548080444,2.049798274040222
train,windows_nonoverlap,WaMe,WaMe,49,50,20,40.99596548080444,2.049798274040222
train,windows_nonoverlap,WaMe,WaMe,50,51,20,40.99596548080444,2.049798274040222
train,windows_nonoverlap,WaMe,WaMe,51,52,20,41.12019729614258,2.056009864807129
train,windows_nonoverlap,WaMe,WaMe,52,53,20,41.12019729614258,2.056009864807129
train,windows_nonoverlap,WaMe,WaMe,53,54,20,41.12019729614258,2.056009864807129
train,windows_nonoverlap,WaMe,WaMe,54,55,20,40.75786558787028,2.037893279393514
train,windows_nonoverlap,WaMe,WaMe,55,56,20,40.75786558787028,2.037893279393514
train,windows_nonoverlap,WaMe,WaMe,56,57,20,40.75786558787028,2.037893279393514
train,windows_nonoverlap,WaMe,WaMe,57,58,20,38.04741414388021,1.9023707071940106
train,windows_nonoverlap,WaMe,WaMe,58,59,20,38.04741414388021,1.9023707071940106
train,windows_nonoverlap,WaMe,WaMe,59,60,20,38.047414143880204,1.9023707071940101
train,windows_nonoverlap,WaMe,WaMe,60,61,20,40.56013242403667,2.0280066212018335
train,windows_nonoverlap,WaMe,WaMe,61,62,20,40.56013242403666,2.028006621201833
train,windows_nonoverlap,WaMe,WaMe,62,63,20,40.56013242403666,2.028006621201833
train,windows_nonoverlap,WaMe,WaMe,63,64,20,38.98166084289551,1.9490830421447753
train,windows_nonoverlap,WaMe,WaMe,64,65,20,38.98166084289551,1.9490830421447753
train,windows_nonoverlap,WaMe,WaMe,65,66,20,38.98166084289551,1.9490830421447753
train,windows_nonoverlap,WaMe,WaMe,66,67,20,39.355067888895675,1.9677533944447838
train,windows_nonoverlap,WaMe,WaMe,67,68,20,39.355067888895675,1.9677533944447838
train,windows_nonoverlap,WaMe,WaMe,68,69,20,39.35506788889567,1.9677533944447834
train,windows_nonoverlap,WaMe,WaMe,69,70,20,39.358170668284096,1.9679085334142048
train,windows_nonoverlap,WaMe,WaMe,70,71,20,39.3581706682841,1.9679085334142052
train,windows_nonoverlap,WaMe,WaMe,71,72,20,39.3581706682841,1.9679085334142052
train,windows_nonoverlap,WaMe,WaMe,72,73,20,43.02351665496826,2.151175832748413
train,windows_nonoverlap,WaMe,WaMe,73,74,20,43.02351665496826,2.151175832748413
train,windows_nonoverlap,WaMe,WaMe,74,75,20,43.02351665496826,2.151175832748413
train,windows_nonoverlap,WaMe,WaMe,75,76,20,39.8537015914917,1.992685079574585
train,windows_nonoverlap,WaMe,WaMe,76,77,20,39.8537015914917,1.992685079574585
train,windows_nonoverlap,WaMe,WaMe,77,78,20,39.8537015914917,1.992685079574585
train,windows_nonoverlap,WaMe,WaMe,78,79,20,38.55663665135702,1.927831832567851
train,windows_nonoverlap,WaMe,WaMe,79,80,20,38.55663665135702,1.927831832567851
train,windows_nonoverlap,WaMe,WaMe,80,81,20,38.55663665135702,1.927831832567851
train,windows_nonoverlap,WaMe,WaMe,81,82,20,39.33511336644491,1.9667556683222454
train,windows_nonoverlap,WaMe,WaMe,82,83,20,39.3351133664449,1.9667556683222451
train,windows_nonoverlap,WaMe,WaMe,83,84,20,39.33511336644491,1.9667556683222454
train,windows_nonoverlap,WaMe,WaMe,84,85,20,39.411789894104004,1.9705894947052003
train,windows_nonoverlap,WaMe,WaMe,85,86,20,39.411789894104004,1.9705894947052003
train,windows_nonoverlap,WaMe,WaMe,86,87,20,39.411789894104004,1.9705894947052003
train,windows_nonoverlap,WaMe,WaMe,87,88,20,41.76864401499431,2.0884322007497156
train,windows_nonoverlap,WaMe,WaMe,88,89,20,41.7686440149943,2.088432200749715
train,windows_nonoverlap,WaMe,WaMe,89,90,20,41.76864401499431,2.0884322007497156
train,windows_nonoverlap,WaMe,WaMe,90,91,20,39.881954193115234,1.9940977096557617
train,windows_nonoverlap,WaMe,WaMe,91,92,20,39.881954193115234,1.9940977096557617
train,windows_nonoverlap,WaMe,WaMe,92,93,20,39.881954193115234,1.9940977096557617
train,windows_nonoverlap,WaMe,WaMe,93,94,20,41.175846099853516,2.058792304992676
train,windows_nonoverlap,WaMe,WaMe,94,95,20,41.175846099853516,2.058792304992676
train,windows_nonoverlap,WaMe,WaMe,95,96,20,41.175846099853516,2.058792304992676
train,windows_nonoverlap,WaMe,WaMe,96,97,20,36.84752480189005,1.8423762400945027
train,windows_nonoverlap,WaMe,WaMe,97,98,20,36.84752480189005,1.8423762400945027
train,windows_nonoverlap,WaMe,WaMe,98,99,20,36.84752480189005,1.8423762400945027
train,windows_nonoverlap,WaMe,WaMe,99,100,20,39.42542521158854,1.971271260579427
train,windows_nonoverlap,WaMe,WaMe,100,101,20,39.425425211588546,1.9712712605794274
train,windows_nonoverlap,WaMe,WaMe,101,102,20,39.42542521158854,1.971271260579427
train,windows_nonoverlap,WaMe,WaMe,102,103,20,40.65885941187541,2.0329429705937705
train,windows_nonoverlap,WaMe,WaMe,103,104,20,40.658859411875405,2.03294297059377
train,windows_nonoverlap,WaMe,WaMe,104,105,20,40.658859411875405,2.03294297059377
train,windows_nonoverlap,WaMe,WaMe,105,106,20,38.98750003178914,1.9493750015894569
train,windows_nonoverlap,WaMe,WaMe,106,107,20,38.987500031789146,1.9493750015894573
train,windows_nonoverlap,WaMe,WaMe,107,108,20,38.987500031789146,1.9493750015894573
train,windows_nonoverlap,WaMe,WaMe,108,109,20,40.74381367365519,2.0371906836827596
train,windows_nonoverlap,WaMe,WaMe,109,110,20,40.74381367365519,2.0371906836827596
train,windows_nonoverlap,WaMe,WaMe,110,111,20,40.74381367365519,2.0371906836827596
train,windows_nonoverlap,WaMe,WaMe,111,112,20,40.24859984715779,2.0124299923578897
train,windows_nonoverlap,WaMe,WaMe,112,113,20,40.2485998471578,2.01242999235789
train,windows_nonoverlap,WaMe,WaMe,113,114,20,40.24859984715779,2.0124299923578897
train,windows_nonoverlap,WaMe,WaMe,114,115,20,39.606186866760254,1.9803093433380128
train,windows_nonoverlap,WaMe,WaMe,115,116,20,39.606186866760254,1.9803093433380128
train,windows_nonoverlap,WaMe,WaMe,116,117,20,39.60618686676026,1.980309343338013
train,windows_nonoverlap,WaMe,WaMe,117,118,20,38.19047276178996,1.9095236380894982
train,windows_nonoverlap,WaMe,WaMe,118,119,20,38.19047276178996,1.9095236380894982
train,windows_nonoverlap,WaMe,WaMe,119,120,20,38.19047276178996,1.9095236380894982
train,windows_nonoverlap,WaMe,WaMe,120,121,20,41.174369176228836,2.058718458811442
train,windows_nonoverlap,WaMe,WaMe,121,122,20,41.17436917622884,2.058718458811442
train,windows_nonoverlap,WaMe,WaMe,122,123,20,41.17436917622884,2.058718458811442
train,windows_nonoverlap,WaMe,WaMe,123,124,20,41.08256276448567,2.0541281382242835
train,windows_nonoverlap,WaMe,WaMe,124,125,20,41.08256276448567,2.0541281382242835
train,windows_nonoverlap,WaMe,WaMe,125,126,20,41.08256276448568,2.054128138224284
train,windows_nonoverlap,WaMe,WaMe,126,127,20,39.46056985855102,1.973028492927551
train,windows_nonoverlap,WaMe,WaMe,127,128,20,39.460569858551025,1.9730284929275512
