split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,homo_sapiens,homo_sapiens:1,100000,99999,1.4702213624604736,1.4708147081470815,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3662953299972287,0.021766577000107645,0.6031813439999496,1.2001775749995431,100000,25000,25528,24236,23696,0.7354073540735407,0.18385,0.7201895957380131
train,windows_nonoverlap,homo_sapiens,homo_sapiens:10,100000,99999,1.2033441294791596,1.2041720417204171,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.36907693000148356,0.003508667000915011,0.5826421749993642,0.6981054940001741,100000,25000,25055,23856,22812,0.6020860208602086,0.15052,0.6007583316703253
train,windows_nonoverlap,homo_sapiens,homo_sapiens:11,100000,99999,0.5443700923053161,0.5455254552545525,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.36510315600025933,0.0035299859996484884,0.5389425620005568,0.654071785999804,100000,25000,11959,10816,10888,0.27276272762727627,0.06819,0.5701981771051091
train,windows_nonoverlap,homo_sapiens,homo_sapiens:12,100000,99999,1.4637182590993618,1.4644146441464414,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.366989093000484,0.003386779998891143,0.5938290349999988,0.7101406770002541,100000,25000,25542,24089,23792,0.7322073220732207,0.18305,0.7166627515464725
train,windows_nonoverlap,homo_sapiens,homo_sapiens:13,100000,99999,0.0022105169381619353,0.0039200392003920035,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3646055849972072,0.0033850899994831707,0.5055218819998117,0.6224007539990453,100000,25000,133,47,148,0.0019600196001960018,0.00049,0.3684210526315789
train,windows_nonoverlap,homo_sapiens,homo_sapiens:14,100000,99999,0.0022105169381619353,0.0039200392003920035,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.36320269499947244,0.0035923680011364922,0.5044161449991407,0.6216057589999764,100000,25000,133,47,148,0.0019600196001960018,0.00049,0.3684210526315789
train,windows_nonoverlap,homo_sapiens,homo_sapiens:15,100000,99999,0.0022105169381619353,0.0039200392003920035,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3629136129998187,0.003472164001323108,0.5040436320009576,0.6215753770029551,100000,25000,133,47,148,0.0019600196001960018,0.00049,0.3684210526315789
train,windows_nonoverlap,homo_sapiens,homo_sapiens:16,100000,99999,1.479447476450129,1.4801748017480174,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3681777110009534,0.003409649999866815,0.5981126889996631,0.7156153589990026,100000,25000,25104,23735,23072,0.7400874008740087,0.18502,0.7370140216698534
train,windows_nonoverlap,homo_sapiens,homo_sapiens:17,100000,99999,0.6058786712582931,0.6069660696606967,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.36616631600190885,0.003476075999060413,0.5439181759998064,0.6611729709984502,100000,25000,10589,10280,9200,0.30348303483034833,0.07587,0.716498252903957
train,windows_nonoverlap,homo_sapiens,homo_sapiens:18,100000,99999,1.2173006569838876,1.2180921809218093,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3721377909992043,0.003383220001069276,0.58618142000023,0.7025507950006613,100000,25000,24810,23625,22624,0.6090460904609046,0.15226,0.6137041515517936
