split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,0,1,33,62.357974211374916,1.8896355821628763
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,1,2,33,62.35797421137492,1.8896355821628765
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,2,3,33,62.35797421137492,1.8896355821628765
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,3,4,33,32.51560252097746,0.9853212885144684
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,4,5,33,32.51560252097746,0.9853212885144684
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,5,6,33,32.51560252097746,0.9853212885144684
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,6,7,33,32.46932992502116,0.9839190886370047
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,7,8,33,32.46932992502116,0.9839190886370047
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,8,9,33,32.46932992502116,0.9839190886370047
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,9,10,33,32.46818027373714,0.9838842507193073
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,10,11,33,32.46818027373714,0.9838842507193073
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,11,12,33,32.46818027373714,0.9838842507193073
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,12,13,33,31.98645991211136,0.9692866640033746
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,13,14,33,31.986459912111364,0.9692866640033747
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,14,15,33,31.986459912111364,0.9692866640033747
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,15,16,33,30.88577708477775,0.9359326389326591
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,16,17,33,30.885777084777754,0.9359326389326592
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,17,18,33,30.88577708477775,0.9359326389326591
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,18,19,33,29.952825469275314,0.9076613778568277
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,19,20,33,29.952825469275314,0.9076613778568277
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,20,21,33,29.952825469275314,0.9076613778568277
train,windows_nonoverlap,homo_sapiens,homo_sapiens:nonchromosomal,21,22,33,31.760173876769844,0.962429511417268
