split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,mus_musculus,mus_musculus:8,0,1,33,61.396177768707275,1.860490235415372
train,windows_nonoverlap,mus_musculus,mus_musculus:8,1,2,33,61.396177768707275,1.860490235415372
train,windows_nonoverlap,mus_musculus,mus_musculus:8,2,3,33,61.396177768707275,1.860490235415372
train,windows_nonoverlap,mus_musculus,mus_musculus:8,3,4,33,0.0018571319087641305,5.627672450800395e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,4,5,33,0.0018571319087641305,5.627672450800395e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,5,6,33,0.0018571319087641305,5.627672450800395e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,6,7,33,0.0016968620911939076,5.1420063369512355e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,7,8,33,0.0016968620911939076,5.1420063369512355e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,8,9,33,0.0016968620911939076,5.1420063369512355e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,9,10,33,0.002056607307167723,6.232143355053705e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,10,11,33,0.002056607307167723,6.232143355053705e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,11,12,33,0.002056607307167723,6.232143355053705e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,12,13,33,0.0025802178424783047,7.818841946903953e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,13,14,33,0.0025802178424783047,7.818841946903953e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,14,15,33,0.0025802178424783047,7.818841946903953e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,15,16,33,0.005799743114039303,0.00017574979133452433
train,windows_nonoverlap,mus_musculus,mus_musculus:8,16,17,33,0.005799743114039303,0.00017574979133452433
train,windows_nonoverlap,mus_musculus,mus_musculus:8,17,18,33,0.005799743114039303,0.00017574979133452433
train,windows_nonoverlap,mus_musculus,mus_musculus:8,18,19,33,0.006253604951780288,0.00018950318035697842
train,windows_nonoverlap,mus_musculus,mus_musculus:8,19,20,33,0.006253604951780288,0.00018950318035697842
train,windows_nonoverlap,mus_musculus,mus_musculus:8,20,21,33,0.006253604951780288,0.00018950318035697842
train,windows_nonoverlap,mus_musculus,mus_musculus:8,21,22,33,0.005254231858998538,0.00015921914724237993
train,windows_nonoverlap,mus_musculus,mus_musculus:8,22,23,33,0.005254231858998538,0.00015921914724237993
train,windows_nonoverlap,mus_musculus,mus_musculus:8,23,24,33,0.005254231858998538,0.00015921914724237993
train,windows_nonoverlap,mus_musculus,mus_musculus:8,24,25,33,0.0047938080097083,0.0001452669093851
train,windows_nonoverlap,mus_musculus,mus_musculus:8,25,26,33,0.0047938080097083,0.0001452669093851
train,windows_nonoverlap,mus_musculus,mus_musculus:8,26,27,33,0.0047938080097083,0.0001452669093851
train,windows_nonoverlap,mus_musculus,mus_musculus:8,27,28,33,0.0021840293047716832,6.618270620520252e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,28,29,33,0.0021840293047716832,6.618270620520252e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,29,30,33,0.0021840293047716832,6.618270620520252e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,30,31,33,0.0018672777077881628,5.658417296327766e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,31,32,33,0.0018672777077881628,5.658417296327766e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,32,33,33,0.0018672777077881628,5.658417296327766e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,33,34,33,0.0024471242213621736,7.415527943521738e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,34,35,33,0.0024471242213621736,7.415527943521738e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,35,36,33,0.0024471242213621736,7.415527943521738e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,36,37,33,0.001605548735824413,4.865299199467918e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,37,38,33,0.001605548735824413,4.865299199467918e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,38,39,33,0.001605548735824413,4.865299199467918e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,39,40,33,0.0018686534021981067,5.66258606726699e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,40,41,33,0.0018686534021981067,5.66258606726699e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,41,42,33,0.0018686534021981067,5.66258606726699e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,42,43,33,0.0015199097542790696,4.605787134178999e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,43,44,33,0.0015199097542790696,4.605787134178999e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,44,45,33,0.0015199097542790696,4.605787134178999e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,45,46,33,0.0018653862207429484,5.652685517402874e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,46,47,33,0.0018653862207429484,5.652685517402874e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,47,48,33,0.0018653862207429484,5.652685517402874e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,48,49,33,0.0016120834479806945,4.885101357517256e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,49,50,33,0.0016120834479806945,4.885101357517256e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,50,51,33,0.0016120834479806945,4.885101357517256e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,51,52,33,0.0025358535494888206,7.684404695420669e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,52,53,33,0.0025358535494888206,7.684404695420669e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,53,54,33,0.0025358535494888206,7.684404695420669e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,54,55,33,0.0017377893964294353,5.2660284740285916e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,55,56,33,0.0017377893964294353,5.2660284740285916e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,56,57,33,0.0017377893964294353,5.2660284740285916e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,57,58,33,0.0021759472001576805,6.593779394417214e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,58,59,33,0.0021759472001576805,6.593779394417214e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,59,60,33,0.0021759472001576805,6.593779394417214e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,60,61,33,0.00226055076927878,6.850153846299334e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,61,62,33,0.00226055076927878,6.850153846299334e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,62,63,33,0.00226055076927878,6.850153846299334e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,63,64,33,0.003676906984765081,0.00011142142378076003
train,windows_nonoverlap,mus_musculus,mus_musculus:8,64,65,33,0.003676906984765081,0.00011142142378076003
train,windows_nonoverlap,mus_musculus,mus_musculus:8,65,66,33,0.003676906984765081,0.00011142142378076003
train,windows_nonoverlap,mus_musculus,mus_musculus:8,66,67,33,0.0018273824098287155,5.5375224540264106e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,67,68,33,0.0018273824098287155,5.5375224540264106e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,68,69,33,0.0018273824098287155,5.5375224540264106e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,69,70,33,0.0021938307472737493,6.647971961435604e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,70,71,33,0.0021938307472737493,6.647971961435604e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,71,72,33,0.0021938307472737493,6.647971961435604e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,72,73,33,0.0039021502889227135,0.00011824697845220343
train,windows_nonoverlap,mus_musculus,mus_musculus:8,73,74,33,0.0039021502889227135,0.00011824697845220343
train,windows_nonoverlap,mus_musculus,mus_musculus:8,74,75,33,0.0039021502889227135,0.00011824697845220343
train,windows_nonoverlap,mus_musculus,mus_musculus:8,75,76,33,0.002322283864486963,7.037223831778675e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,76,77,33,0.002322283864486963,7.037223831778675e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,77,78,33,0.002322283864486963,7.037223831778675e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,78,79,33,0.003270428976975381,9.910390839319337e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,79,80,33,0.003270428976975381,9.910390839319337e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,80,81,33,0.003270428976975381,9.910390839319337e-05
train,windows_nonoverlap,mus_musculus,mus_musculus:8,81,82,33,0.0038247772026807083,0.00011590233947517298
train,windows_nonoverlap,mus_musculus,mus_musculus:8,82,83,33,0.0038247772026807083,0.00011590233947517298
train,windows_nonoverlap,mus_musculus,mus_musculus:8,83,84,33,0.0038247772026807083,0.00011590233947517298
train,windows_nonoverlap,mus_musculus,mus_musculus:8,84,85,33,0.003828387678368019,0.0001160117478293339
train,windows_nonoverlap,mus_musculus,mus_musculus:8,85,86,33,0.003828387678368019,0.0001160117478293339
train,windows_nonoverlap,mus_musculus,mus_musculus:8,86,87,33,0.003828387678368019,0.0001160117478293339
train,windows_nonoverlap,mus_musculus,mus_musculus:8,87,88,33,0.004001015797257423,0.00012124290294719465
train,windows_nonoverlap,mus_musculus,mus_musculus:8,88,89,33,0.004001015797257423,0.00012124290294719465
train,windows_nonoverlap,mus_musculus,mus_musculus:8,89,90,33,0.004001015797257423,0.00012124290294719465
train,windows_nonoverlap,mus_musculus,mus_musculus:8,90,91,33,0.006588834745343774,0.0001996616589498113
train,windows_nonoverlap,mus_musculus,mus_musculus:8,91,92,33,0.006588834745343774,0.0001996616589498113
train,windows_nonoverlap,mus_musculus,mus_musculus:8,92,93,33,0.006588834745343774,0.0001996616589498113
train,windows_nonoverlap,mus_musculus,mus_musculus:8,93,94,33,0.005751777265686541,0.00017429628077838004
train,windows_nonoverlap,mus_musculus,mus_musculus:8,94,95,33,0.005751777265686541,0.00017429628077838004
train,windows_nonoverlap,mus_musculus,mus_musculus:8,95,96,33,0.005751777265686541,0.00017429628077838004
train,windows_nonoverlap,mus_musculus,mus_musculus:8,96,97,33,0.003614147630287336,0.0001095196251602223
train,windows_nonoverlap,mus_musculus,mus_musculus:8,97,98,33,0.003614147630287336,0.0001095196251602223
