split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.8676,1.86704072265625,93.38,80.0,1.6,61330.50526932492,0.061330505269324924,61330.50526932492,0.061330505269324924
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.4676,1.466864278157552,73.38,82.0,1.64,141552.6539265514,0.1415526539265514,141552.6539265514,0.1415526539265514
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.2982666666666667,1.2976272705078125,64.91333333333333,74.0,1.48,142827.15153528072,0.14282715153528072,142827.15153528072,0.14282715153528072
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.9258666666666666,1.9253271565755208,96.29333333333334,95.0,1.9,137709.34364997142,0.13770934364997142,137709.34364997142,0.13770934364997142
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.8722666666666667,1.8715155029296875,93.61333333333334,95.0,1.9,138087.97225684335,0.13808797225684336,138087.97225684335,0.13808797225684336
train,windows_nonoverlap,YeMi,YeMi,44213,44211,1.8116758272828029,1.81107274013396,90.58379136414014,94.0,1.88,132070.7843124804,0.1320707843124804,132076.75887918606,0.13207675887918607
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9479056670186554,1.9488766867272747,97.39528335093277,99.0,1.98,114423.46202089106,0.11442346202089107,114423.46202089106,0.11442346202089107
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9103934500795998,1.9101622096149837,95.51967250397999,99.0,1.98,133048.9462120246,0.1330489462120246,133048.9462120246,0.1330489462120246
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.7593333333333334,1.7587446940104168,87.96666666666667,91.0,1.82,138122.1956015213,0.13812219560152128,138122.1956015213,0.13812219560152128
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.7565333333333333,1.755924141438802,87.82666666666667,93.0,1.86,138284.18431512653,0.13828418431512654,138284.18431512653,0.13828418431512654
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.8421333333333334,1.841621260579427,92.10666666666667,79.0,1.58,136313.90626237658,0.13631390626237658,136313.90626237658,0.13631390626237658
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.7177333333333333,1.7170836669921874,85.88666666666667,87.0,1.74,138846.14066935028,0.13884614066935028,138846.14066935028,0.13884614066935028
train,windows_nonoverlap,HePy,HePy,60000,60000,1.792,1.791316552734375,89.60000000000001,91.0,1.82,137472.90618095826,0.13747290618095825,137472.90618095826,0.13747290618095825
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.8941333333333332,1.8935248697916667,94.70666666666666,97.0,1.94,136012.2536518087,0.13601225365180872,136012.2536518087,0.13601225365180872
train,windows_nonoverlap,HaHi,HaHi,60000,60000,1.7738666666666667,1.77307470703125,88.69333333333333,93.0,1.86,138186.67061136226,0.13818667061136228,138186.67061136226,0.13818667061136228
train,windows_nonoverlap,AnCa,AnCa,60000,60000,1.4488,1.4481318094889324,72.44,,,142315.45600819768,0.14231545600819767,142315.45600819768,0.14231545600819767
train,windows_nonoverlap,WaMe,WaMe,60000,60000,1.932,1.9314687337239584,96.6,,,137871.22404419017,0.13787122404419017,137871.22404419017,0.13787122404419017
