metric,value
best_val_bits_per_base,1.7117047662569878
compression.aggregate.arithmetic_effective_uniform_mass,0.003875732421875
compression.aggregate.arithmetic_frequency_total,32768
compression.aggregate.arithmetic_target_uniform_mass,0.01
compression.aggregate.arithmetic_vocab_size,127
compression.aggregate.source_count,17
compression.aggregate.total_arithmetic_bits_per_base,1.8218459417194934
compression.aggregate.total_arithmetic_coded_bytes,325041
compression.aggregate.total_sample_bases,1427304
compression.aggregate.total_sample_bytes,1427321
compression.aggregate.total_theoretical_bits,2599545.6236155033
compression.aggregate.total_theoretical_bits_per_base,1.8212977919318543
compression_compare.arithmetic.coding_mode,model_symbol
compression_compare.arithmetic.effective_uniform_mass,0.003875732421875
compression_compare.arithmetic.frequency_total,32768
compression_compare.arithmetic.merge_size,3
compression_compare.arithmetic.target_uniform_mass,0.01
compression_compare.arithmetic.vocab_size,127
compression_compare.best_val_bpb,1.7117047662569878
compression_compare.checkpoint_step,17500
compression_compare.overlap_stride_patches,1
compression_compare.overlap_stride_tokens,32
config.arithmetic.coding_mode,model_symbol
config.arithmetic.frequency_total,
config.arithmetic.merge_size,1
config.arithmetic.target_uniform_mass,0.01
config.data.clean_cache_dir,
config.data.clean_cache_enabled,True
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.multi_sequence_mode,separate
config.data.sequence_source_mode,auto
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,3
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,600000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.attn_dropout,0.0
config.model.eos_id,126
config.model.ff_dropout,0.0
config.model.global_dim,32
config.model.global_heads,16
config.model.global_layers,24
config.model.implementation,megabyte_in_action
config.model.initializer_range,0.02
config.model.input_causal_conv_kernel_size,1
config.model.local_dim,768
config.model.local_heads,12
config.model.local_layers,12
config.model.pad_id,125
config.model.patch_size,32
config.model.pretrained_weight_path,outputs/dna_megabyte_large_b128_ensembl_all/best.pt
config.model.seq_length,1024
config.model.variant,dna_gpt0.1b_m
config.model.vocab_size,127
config.output.output_dir,outputs/dna_megabyte_large_20260413_125114
config.output.run_name,dna_megabyte_large
config.output.wandb_enabled,True
config.output.wandb_entity,
config.output.wandb_group,
config.output.wandb_mode,online
config.output.wandb_name,dna_megabyte_large_all_finetune
config.output.wandb_project,dna-compress
config.train.batch_size,32
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.grad_clip_norm,1.0
config.train.init_from,pretrained
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.1
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,4
config.train.persistent_workers,True
config.train.pin_memory,True
config.train.prefetch_factor,2
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,17
dataset.total_size_bytes,685597124
dataset.total_test_bytes,137119434
dataset.total_train_bytes,411358271
dataset.total_val_bytes,137119419
device,cuda:3
model_parameters,327219039
test.bases,137119416
test.bits_per_base,1.7120063961758147
test.bits_per_token,5.136019188527444
test.elapsed_seconds,121.339599609375
test.loss_nats_per_base,1.1866724066098586
test.loss_nats_per_token,3.560017219829576
test.tokens,45706472
validation.bases,137119395
validation.bits_per_base,1.7117047662569878
validation.bits_per_token,5.135114298770963
validation.elapsed_seconds,119.91715455055237
validation.loss_nats_per_base,1.1864633326820513
validation.loss_nats_per_token,3.5593899980461536
validation.tokens,45706465
