split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.9212,1.9206753011067708,96.06,80.0,1.6,30100.50457697671,0.03010050457697671,30100.50457697671,0.03010050457697671
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.6386666666666667,1.6378358032226563,81.93333333333334,82.0,1.64,134713.9851332006,0.1347139851332006,134713.9851332006,0.1347139851332006
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.8733333333333333,1.872733642578125,93.66666666666667,74.0,1.48,139363.3238711928,0.13936332387119282,139363.3238711928,0.13936332387119282
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.9418666666666666,1.9414934611002603,97.09333333333333,95.0,1.9,133591.49559912982,0.1335914955991298,133591.49559912982,0.1335914955991298
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.9246666666666667,1.923968416341146,96.23333333333333,95.0,1.9,146521.48375873233,0.14652148375873233,146521.48375873233,0.14652148375873233
train,windows_nonoverlap,YeMi,YeMi,44213,44211,1.83338988034652,1.8326674259870281,91.669494017326,94.0,1.88,134067.39760329362,0.13406739760329361,134073.4624920138,0.1340734624920138
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9648011263639564,1.9654376020904831,98.24005631819782,99.0,1.98,113077.36529168618,0.11307736529168617,113077.36529168618,0.11307736529168617
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9376847850807368,1.9370108766304914,96.88423925403684,99.0,1.98,129004.45560627828,0.12900445560627827,129004.45560627828,0.12900445560627827
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.8721333333333334,1.8716193155924479,93.60666666666667,91.0,1.82,132526.10297609837,0.13252610297609838,132526.10297609837,0.13252610297609838
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.8978666666666666,1.8972338297526041,94.89333333333333,93.0,1.86,139243.03464834858,0.13924303464834858,139243.03464834858,0.13924303464834858
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.8872,1.8867184977213542,94.36,79.0,1.58,141271.38221420167,0.14127138221420169,141271.38221420167,0.14127138221420169
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.8498666666666668,1.8493277872721354,92.49333333333334,87.0,1.74,144273.95704038176,0.14427395704038176,144273.95704038176,0.14427395704038176
train,windows_nonoverlap,HePy,HePy,60000,60000,1.894,1.8934659342447917,94.69999999999999,91.0,1.82,136366.27641406842,0.13636627641406843,136366.27641406842,0.13636627641406843
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.9636,1.9629978922526041,98.18,97.0,1.94,140243.27810645592,0.14024327810645593,140243.27810645592,0.14024327810645593
train,windows_nonoverlap,HaHi,HaHi,60000,60000,1.8112,1.810442948404948,90.56,93.0,1.86,133908.83602431483,0.13390883602431483,133908.83602431483,0.13390883602431483
train,windows_nonoverlap,AnCa,AnCa,60000,60000,1.7990666666666666,1.7985666015625,89.95333333333333,,,143850.19348885905,0.14385019348885905,143850.19348885905,0.14385019348885905
train,windows_nonoverlap,WaMe,WaMe,60000,60000,1.9496,1.9492248209635417,97.48,,,141420.26690761367,0.14142026690761367,141420.26690761367,0.14142026690761367
