split,mode,species,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,homo_sapiens,100000,99999,1.4734169857472348,1.4737747377473776,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.349114328622818,0.020250022411346436,0.6437924653291702,1.1801087632775307,100000,25000,25528,24236,23696,0.7368873688736888,0.18422,0.7216389846443121
train,windows_nonoverlap,homo_sapiens,100000,99999,1.2155088793224205,1.2162521625216252,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3383866399526596,0.004382982850074768,0.5862130001187325,0.7117547541856766,100000,25000,25055,23856,22812,0.6081260812608126,0.15203,0.6067850728397526
train,windows_nonoverlap,homo_sapiens,100000,99999,0.5488257459688702,0.5498454984549845,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3377547115087509,0.004414677619934082,0.5234687924385071,0.6591333895921707,100000,25000,11959,10816,10888,0.27492274922749227,0.06873,0.5747136048164563
train,windows_nonoverlap,homo_sapiens,100000,99999,1.4683706828427996,1.4688946889468895,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.33653779327869415,0.004489541053771973,0.5985727608203888,0.7354040294885635,100000,25000,25542,24089,23792,0.7344473444734447,0.18361,0.7188552188552189
train,windows_nonoverlap,homo_sapiens,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.33582693338394165,0.004382558166980743,0.47208867222070694,0.6081190705299377,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,homo_sapiens,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.34379487484693527,0.004448011517524719,0.4810248762369156,0.6161767095327377,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,homo_sapiens,100000,99999,0.0026219508582567513,0.004320043200432004,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.32793663442134857,0.004335425794124603,0.46190741658210754,0.5983070284128189,100000,25000,133,47,148,0.002160021600216002,0.00054,0.40601503759398494
train,windows_nonoverlap,homo_sapiens,100000,99999,1.4819336456208647,1.4824948249482495,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3266357257962227,0.004323013126850128,0.5921879932284355,0.7258864492177963,100000,25000,25104,23735,23072,0.7412474124741247,0.18531,0.7381692160611855
train,windows_nonoverlap,homo_sapiens,100000,99999,0.6085147608277688,0.6094460944609446,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3325028643012047,0.004427619278430939,0.5301399230957031,0.6627084538340569,100000,25000,10589,10280,9200,0.3047230472304723,0.07618,0.7194258192463877
train,windows_nonoverlap,homo_sapiens,100000,99999,1.2287616644381623,1.2292122921229212,model_symbol,3,32768,127,0.01,0.003875732421875,33334,,,,0.0,0.3277185931801796,0.0043486058712005615,0.5692544430494308,0.7072307541966438,100000,25000,24810,23625,22624,0.6146061460614606,0.15365,0.6193067311567916
