split,mode,species,source_name,sample_bytes,sample_bases,arithmetic_bits_per_base,theoretical_bits_per_base,vs_2bit_percent,paper_baseline_percent,paper_baseline_bpb,compression_bases_per_second,compression_mbases_per_second,compression_bytes_per_second,compression_mbytes_per_second
train,windows_nonoverlap,OrSa,OrSa,60000,60000,1.9121333333333332,1.911448201497396,95.60666666666665,80.0,1.6,71162.68237590708,0.07116268237590709,71162.68237590708,0.07116268237590709
train,windows_nonoverlap,HoSa,HoSa,60000,60000,1.6490666666666667,1.648363818359375,82.45333333333333,82.0,1.64,186449.89473640342,0.18644989473640342,186449.89473640342,0.18644989473640342
train,windows_nonoverlap,DaRe,DaRe,60000,60000,1.8864,1.8856283040364583,94.32000000000001,74.0,1.48,198258.9169092445,0.1982589169092445,198258.9169092445,0.1982589169092445
train,windows_nonoverlap,ScPo,ScPo,60000,60000,1.9306666666666668,1.930038240559896,96.53333333333333,95.0,1.9,186419.53522386972,0.18641953522386973,186419.53522386972,0.18641953522386973
train,windows_nonoverlap,EsCo,EsCo,60000,60000,1.8989333333333334,1.8981086018880209,94.94666666666667,95.0,1.9,191316.6194931872,0.1913166194931872,191316.6194931872,0.1913166194931872
train,windows_nonoverlap,YeMi,YeMi,44213,44211,1.8127615299359887,1.812115977305563,90.63807649679944,94.0,1.88,172625.66321875952,0.17262566321875952,172633.47239128305,0.17263347239128304
train,windows_nonoverlap,BuEb,BuEb,11364,11364,1.9472016895459345,1.9469622753321894,97.36008447729672,99.0,1.98,151488.55654418038,0.15148855654418036,151488.55654418038,0.15148855654418036
train,windows_nonoverlap,AgPh,AgPh,26382,26382,1.9182776135243726,1.9177222033192611,95.91388067621864,99.0,1.98,168527.64223289464,0.16852764223289463,168527.64223289464,0.16852764223289463
train,windows_nonoverlap,GaGa,GaGa,60000,60000,1.8702666666666667,1.8695948567708334,93.51333333333334,91.0,1.82,179606.3353765948,0.1796063353765948,179606.3353765948,0.1796063353765948
train,windows_nonoverlap,DrMe,DrMe,60000,60000,1.8928,1.8920719930013021,94.64,93.0,1.86,180899.9405481191,0.18089994054811911,180899.9405481191,0.18089994054811911
train,windows_nonoverlap,EnIn,EnIn,60000,60000,1.8749333333333333,1.874136189778646,93.74666666666667,79.0,1.58,183280.85104639726,0.18328085104639727,183280.85104639726,0.18328085104639727
train,windows_nonoverlap,PlFa,PlFa,60000,60000,1.8210666666666666,1.8204131754557291,91.05333333333333,87.0,1.74,185607.89978589458,0.1856078997858946,185607.89978589458,0.1856078997858946
train,windows_nonoverlap,HePy,HePy,60000,60000,1.8618666666666666,1.86112783203125,93.09333333333333,91.0,1.82,181975.85712651297,0.18197585712651299,181975.85712651297,0.18197585712651299
train,windows_nonoverlap,AeCa,AeCa,60000,60000,1.9242666666666666,1.923513232421875,96.21333333333332,97.0,1.94,182184.6428677595,0.1821846428677595,182184.6428677595,0.1821846428677595
train,windows_nonoverlap,HaHi,HaHi,60000,60000,1.8006666666666666,1.7998150065104166,90.03333333333333,93.0,1.86,192210.25654746662,0.19221025654746662,192210.25654746662,0.19221025654746662
train,windows_nonoverlap,AnCa,AnCa,60000,60000,1.8385333333333334,1.8377644449869792,91.92666666666666,,,193547.08312215487,0.19354708312215488,193547.08312215487,0.19354708312215488
train,windows_nonoverlap,WaMe,WaMe,60000,60000,1.936,1.9352365478515625,96.8,,,197306.65148465283,0.19730665148465282,197306.65148465283,0.19730665148465282
