metric,value
best_val_bits_per_base,1.811839407502005
compression.aggregate.arithmetic_effective_uniform_mass,0.003875732421875
compression.aggregate.arithmetic_frequency_total,32768
compression.aggregate.arithmetic_target_uniform_mass,0.01
compression.aggregate.arithmetic_vocab_size,127
compression.aggregate.source_count,17
compression.aggregate.total_arithmetic_bits_per_base,1.8773856165189757
compression.aggregate.total_arithmetic_coded_bytes,334950
compression.aggregate.total_sample_bases,1427304
compression.aggregate.total_sample_bytes,1427321
compression.aggregate.total_theoretical_bits,2678425.030148506
compression.aggregate.total_theoretical_bits_per_base,1.8765624072716858
compression_compare.arithmetic.effective_uniform_mass,0.003875732421875
compression_compare.arithmetic.frequency_total,32768
compression_compare.arithmetic.target_uniform_mass,0.01
compression_compare.arithmetic.vocab_size,127
compression_compare.best_val_bpb,1.811839407502005
compression_compare.checkpoint_step,18500
compression_compare.overlap_stride_patches,1
compression_compare.overlap_stride_tokens,4
config.arithmetic.frequency_total,
config.arithmetic.target_uniform_mass,0.01
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,3
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,600000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.attn_dropout,0.0
config.model.eos_id,126
config.model.ff_dropout,0.0
config.model.global_dim,128
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,megabyte_in_action
config.model.initializer_range,0.02
config.model.input_causal_conv_kernel_size,1
config.model.local_dim,128
config.model.local_heads,2
config.model.local_layers,2
config.model.pad_id,125
config.model.patch_size,4
config.model.pretrained_weight_path,
config.model.seq_length,1024
config.model.variant,dna_gpt0.1b_m
config.model.vocab_size,127
config.output.output_dir,outputs/dna_megabyte_quick_20260407_213527
config.output.run_name,dna_megabyte_quick
config.output.wandb_enabled,False
config.output.wandb_entity,
config.output.wandb_group,
config.output.wandb_mode,online
config.output.wandb_name,
config.output.wandb_project,
config.train.batch_size,32
config.train.device,auto
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,500
config.train.gpu_ids,
config.train.grad_clip_norm,1.0
config.train.init_from,scratch
config.train.learning_rate,0.0003
config.train.log_interval,25
config.train.lr_min_ratio,0.1
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,0
config.train.num_workers,4
config.train.persistent_workers,True
config.train.pin_memory,True
config.train.prefetch_factor,2
config.train.seed,42
config.train.weight_decay,0.01
dataset.alphabet_size,4
dataset.species_count,17
dataset.total_size_bytes,685597124
dataset.total_test_bytes,137119434
dataset.total_train_bytes,411358271
dataset.total_val_bytes,137119419
device,cuda:0
model_parameters,11194751
test.bases,137119416
test.bits_per_base,1.8142559443486057
test.bits_per_token,5.442767833045817
test.elapsed_seconds,32.80275774002075
test.loss_nats_per_base,1.257546392639357
test.loss_nats_per_token,3.7726391779180712
test.tokens,45706472
validation.bases,137119395
validation.bits_per_base,1.811839407502005
validation.bits_per_token,5.4355182225060155
validation.elapsed_seconds,40.144850969314575
validation.loss_nats_per_base,1.2558713769374166
validation.loss_nats_per_token,3.76761413081225
validation.tokens,45706465
