split,mode,species,source_name,sample_bytes,sample_bases,theoretical_bits_per_base,arithmetic_bits_per_base,arithmetic_coding_mode,arithmetic_merge_size,arithmetic_frequency_total,arithmetic_vocab_size,arithmetic_target_uniform_mass,arithmetic_effective_uniform_mass,emitted_arithmetic_symbol_count,core_model_theoretical_bits,tail_base_count,tail_side_info_bits,gpu_prefix_aggregate_seconds,cpu_small_alphabet_quantize_seconds,data_transfer_seconds,arithmetic_encode_seconds,compression_process_seconds,ascii_bytes,two_bit_pack_bytes,gzip_bytes,bz2_bytes,lzma_bytes,arithmetic_vs_2bit_ratio,arithmetic_bytes_ratio_vs_ascii,arithmetic_vs_gzip_ratio
train,windows_nonoverlap,OrSa,,60000,60000,512.963607421875,0.9533333333333334,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.0638047605752945,0.240051731467247,0.0018715709447860718,0.4630894288420677,1.8929301500320435,60000,15000,17639,16438,16512,0.4766666666666667,0.11916666666666667,0.40535177731163896
train,windows_nonoverlap,HoSa,,60000,60000,512.8976212239584,0.8874666666666666,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005497604608535767,0.24037260562181473,0.0010041221976280212,0.38669710606336594,0.42126645892858505,60000,15000,16995,16137,15716,0.4437333333333333,0.11093333333333333,0.39164460135333923
train,windows_nonoverlap,DaRe,,60000,60000,512.9436143229167,0.9333333333333333,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005457401275634766,0.22237682342529297,0.0009560361504554749,0.3720136359333992,0.4063178822398186,60000,15000,14457,15181,12852,0.4666666666666667,0.11666666666666667,0.4841945078508681
train,windows_nonoverlap,ScPo,,60000,60000,512.9678997395833,0.9577333333333333,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005470246076583862,0.24354934692382812,0.0009872838854789734,0.390058696269989,0.4245883375406265,60000,15000,17448,16398,16336,0.47886666666666666,0.11971666666666667,0.411680421824851
train,windows_nonoverlap,EsCo,,60000,60000,513.0151964192709,1.0049333333333332,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005422897636890411,0.23131761699914932,0.0009603574872016907,0.37716175615787506,0.41098957508802414,60000,15000,17715,16300,16612,0.5024666666666666,0.12561666666666665,0.4254586508608524
train,windows_nonoverlap,YeMi,,44213,44213,512.8488715140344,0.8954832289145727,fixed_token_units,2,32768,26,0.01,0.00079345703125,22104,,5,40,0.004123181104660034,0.1686936914920807,0.0007473304867744446,0.2795112356543541,0.30772798508405685,44213,11054,12547,11797,11772,0.44774161445728633,0.11193540361432158,0.3944369171913605
train,windows_nonoverlap,BuEb,,11364,11364,513.5089865405557,0.958113340373108,fixed_token_units,2,32768,26,0.01,0.00079345703125,5682,,0,0,0.0014407038688659668,0.03983873873949051,0.0004731863737106323,0.06509412080049515,0.09512045979499817,11364,2841,3535,3178,3392,0.479056670186554,0.1197641675466385,0.385007072135785
train,windows_nonoverlap,AgPh,,26382,26382,513.3461130428655,0.9864301417633234,fixed_token_units,2,32768,26,0.01,0.00079345703125,13191,,0,0,0.0026863813400268555,0.09721267223358154,0.0008520931005477905,0.1561811864376068,0.17805874347686768,26382,6596,7933,7240,7472,0.4932150708816617,0.12330376772041543,0.41005924618681455
train,windows_nonoverlap,GaGa,,60000,60000,512.9294057291667,0.9192,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.0054032281041145325,0.2201593518257141,0.0014598295092582703,0.3614642098546028,0.39611317217350006,60000,15000,17079,16298,15948,0.4596,0.1149,0.403653609696118
train,windows_nonoverlap,DrMe,,60000,60000,512.9562323567708,0.946,fixed_token_units,2,32768,26,0.01,0.00079345703125,30000,,0,0,0.005419820547103882,0.22336013615131378,0.0009494945406913757,0.36331914365291595,0.3967921659350395,60000,15000,17111,16264,15740,0.473,0.11825,0.41464554964642625
