metric,value
best_val_bits_per_base,0.916308983804732
compression_compare.best_val_bpb,0.916308983804732
compression_compare.checkpoint_step,34000
config.arithmetic.coding_mode,model_symbol
config.arithmetic.frequency_total,
config.arithmetic.merge_size,1
config.arithmetic.target_uniform_mass,0.01
config.data.clean_cache_dir,
config.data.clean_cache_enabled,True
config.data.compression_sample_bytes,100000
config.data.dataset_dir,datasets/DNACorpus
config.data.max_test_bytes_per_species,
config.data.max_train_bytes_per_species,
config.data.max_val_bytes_per_species,
config.data.multi_sequence_mode,separate
config.data.nugget_tokenizer,fixed_kmer
config.data.sequence_source_mode,auto
config.data.test_ratio,0.2
config.data.token_merge_alphabet,ACGTN
config.data.token_merge_size,6
config.data.train_ratio,0.6
config.data.train_samples_per_epoch,1200000
config.data.train_sampling_strategy,proportional
config.data.val_ratio,0.2
config.model.attn_dropout,0.0
config.model.eos_id,15626
config.model.ff_dropout,0.0
config.model.global_dim,64
config.model.global_heads,8
config.model.global_layers,4
config.model.implementation,nugget
config.model.initializer_range,0.02
config.model.input_causal_conv_kernel_size,1
config.model.local_dim,128
config.model.local_heads,4
config.model.local_layers,2
config.model.nugget_backbone,bart
config.model.nugget_bart_activation_dropout,0
config.model.nugget_bart_attention_dropout,0
config.model.nugget_bart_config_path,configs/hf/facebook_bart_base_config.json
config.model.nugget_bart_d_model,768
config.model.nugget_bart_decoder_attention_heads,12
config.model.nugget_bart_decoder_ffn_dim,3072
config.model.nugget_bart_decoder_layers,6
config.model.nugget_bart_dropout,0
config.model.nugget_bart_encoder_attention_heads,12
config.model.nugget_bart_encoder_ffn_dim,3072
config.model.nugget_bart_encoder_layers,6
config.model.nugget_bart_max_position_embeddings,512
config.model.nugget_hidden_mode,runtime_hidden
config.model.nugget_hidden_storage_dtype,runtime
config.model.nugget_ratio,0.25
config.model.nugget_residual_end,-1
config.model.nugget_residual_start,0
config.model.nugget_scorer_layer,3
config.model.nugget_straight_through,True
config.model.nugget_t5_d_ff,2048
config.model.nugget_t5_d_kv,64
config.model.nugget_t5_d_model,512
config.model.nugget_t5_dropout_rate,0.1
config.model.nugget_t5_num_decoder_layers,6
config.model.nugget_t5_num_heads,8
config.model.nugget_t5_num_layers,6
config.model.nugget_value_ffn,True
config.model.pad_id,15625
config.model.patch_size,8
config.model.pretrained_weight_path,
config.model.seq_length,512
config.model.variant,dna_gpt0.1b_m
config.model.vocab_size,15627
config.output.output_dir,outputs/dna_nugget_modified_20260425_145711
config.output.run_name,dna_nugget_modified
config.output.wandb_enabled,True
config.output.wandb_entity,
config.output.wandb_group,
config.output.wandb_mode,online
config.output.wandb_name,dna_nugget_bart_r0.25
config.output.wandb_project,dna-compress
config.train.batch_size,32
config.train.device,cuda
config.train.dtype,bfloat16
config.train.epochs,1
config.train.eval_batch_size,32
config.train.eval_interval,2000
config.train.gpu_ids,
config.train.grad_clip_norm,1.0
config.train.init_from,scratch
config.train.learning_rate,5e-05
config.train.log_interval,25
config.train.lr_min_ratio,0.1
config.train.lr_scheduler,cosine
config.train.lr_warmup_steps,500
config.train.num_workers,4
config.train.persistent_workers,True
config.train.pin_memory,True
config.train.prefetch_factor,2
config.train.seed,42
config.train.weight_decay,0.0
dataset.alphabet_size,4
dataset.species_count,17
dataset.total_size_bytes,685597124
dataset.total_test_bytes,137119434
dataset.total_train_bytes,411358271
dataset.total_val_bytes,137119419
device,cuda:0
model_parameters,146875393
test.bases,137119386
test.bits_per_base,0.9170205842841134
test.bits_per_token,5.50212350570468
test.elapsed_seconds,158.3114562034607
test.loss_nats_per_base,0.6356302325119668
test.loss_nats_per_token,3.8137813950718007
test.tokens,22853231
validation.bases,137119368
validation.bits_per_base,0.916308983804732
validation.bits_per_token,5.497853902828392
validation.elapsed_seconds,157.9998278617859
validation.loss_nats_per_base,0.6351369886459985
validation.loss_nats_per_token,3.8108219318759913
validation.tokens,22853228
