[setup] loading DNACorpus splits
[setup] DNACorpus splits loaded: sources=17 train_bytes=411358271 val_bytes=137119419 test_bytes=137119434 elapsed=7.0s
[setup] tokenizing 17 source(s) with Nugget tokenizer=fixed_kmer
[cache] nugget_tokenized enabled=True dir=datasets/DNACorpus/.dna_cache/nugget_tokens hits=51 created=0 rebuilt=0 disabled=0 load=0.57s build=0.00s write=0.00s elapsed=0.6s
[setup] training dataset ready: tokenized_sources=17 samples_per_epoch=1200000
[setup] validation dataset ready: tokenized_sources=17 windows=44645
[setup] test dataset ready: tokenized_sources=17 windows=44645
[setup] building Nugget model backbone=bart vocab_size=15627
[setup] built Nugget model parameters=146,875,393
[setup] loading checkpoint outputs/dna_nugget_modified_20260425_220128/best.pt
[setup] pretrained weights loaded: scope=decoder tensors=163 missing=158 unexpected=0
[setup] moving model to device=cuda:0
/root/autodl-tmp/DNACompress/dna_compress/nugget_experiment.py:606: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=device.type == "cuda" and config.train.dtype == "float16")
[startup] loaded checkpoint=outputs/dna_nugget_modified_20260425_220128/best.pt init_from=pretrained optimizer_restored=False scheduler_restored=False
[setup] starting training epochs=1 steps_per_epoch=37500
[train] epoch=1 step=25 loss/token=7.7969 decoder_loss=7.7969 bits/base=1.8748 decoder_bpb=1.8748 latent_bpb=2048.0104 total_bpb=2049.8852 grad_norm=0.4979 tokens/s=44014.0 lr=2.6e-06
[train] epoch=1 step=50 loss/token=7.7693 decoder_loss=7.7693 bits/base=1.8681 decoder_bpb=1.8681 latent_bpb=2048.0104 total_bpb=2049.8785 grad_norm=0.4394 tokens/s=50488.1 lr=5.1e-06
[train] epoch=1 step=75 loss/token=7.7436 decoder_loss=7.7436 bits/base=1.8619 decoder_bpb=1.8619 latent_bpb=2048.0104 total_bpb=2049.8723 grad_norm=0.3959 tokens/s=50449.4 lr=7.6e-06
[train] epoch=1 step=100 loss/token=7.8067 decoder_loss=7.8067 bits/base=1.8771 decoder_bpb=1.8771 latent_bpb=2048.0104 total_bpb=2049.8875 grad_norm=0.4123 tokens/s=50436.7 lr=1.01e-05
[train] epoch=1 step=125 loss/token=7.8316 decoder_loss=7.8316 bits/base=1.8831 decoder_bpb=1.8831 latent_bpb=2048.0104 total_bpb=2049.8935 grad_norm=0.3770 tokens/s=50475.8 lr=1.26e-05
[train] epoch=1 step=150 loss/token=7.8233 decoder_loss=7.8233 bits/base=1.8811 decoder_bpb=1.8811 latent_bpb=2048.0104 total_bpb=2049.8915 grad_norm=0.4742 tokens/s=50478.3 lr=1.51e-05
[train] epoch=1 step=175 loss/token=7.6933 decoder_loss=7.6933 bits/base=1.8498 decoder_bpb=1.8498 latent_bpb=2048.0104 total_bpb=2049.8603 grad_norm=0.3870 tokens/s=50469.7 lr=1.76e-05
[train] epoch=1 step=200 loss/token=7.7981 decoder_loss=7.7981 bits/base=1.8750 decoder_bpb=1.8750 latent_bpb=2048.0104 total_bpb=2049.8855 grad_norm=0.4207 tokens/s=50475.0 lr=2.01e-05
[train] epoch=1 step=225 loss/token=7.5517 decoder_loss=7.5517 bits/base=1.8158 decoder_bpb=1.8158 latent_bpb=2048.0104 total_bpb=2049.8262 grad_norm=0.3654 tokens/s=50466.6 lr=2.26e-05
[train] epoch=1 step=250 loss/token=7.7575 decoder_loss=7.7575 bits/base=1.8653 decoder_bpb=1.8653 latent_bpb=2048.0104 total_bpb=2049.8757 grad_norm=0.3995 tokens/s=50473.2 lr=2.51e-05
[train] epoch=1 step=275 loss/token=7.7892 decoder_loss=7.7892 bits/base=1.8729 decoder_bpb=1.8729 latent_bpb=2048.0104 total_bpb=2049.8833 grad_norm=0.3906 tokens/s=50473.7 lr=2.76e-05
[train] epoch=1 step=300 loss/token=7.8004 decoder_loss=7.8004 bits/base=1.8756 decoder_bpb=1.8756 latent_bpb=2048.0104 total_bpb=2049.8860 grad_norm=0.4222 tokens/s=50475.0 lr=3.01e-05
[train] epoch=1 step=325 loss/token=7.7371 decoder_loss=7.7371 bits/base=1.8604 decoder_bpb=1.8604 latent_bpb=2048.0104 total_bpb=2049.8708 grad_norm=0.4616 tokens/s=50452.8 lr=3.26e-05
[train] epoch=1 step=350 loss/token=7.7699 decoder_loss=7.7699 bits/base=1.8683 decoder_bpb=1.8683 latent_bpb=2048.0104 total_bpb=2049.8787 grad_norm=0.3822 tokens/s=50467.8 lr=3.51e-05
[train] epoch=1 step=375 loss/token=7.7925 decoder_loss=7.7925 bits/base=1.8737 decoder_bpb=1.8737 latent_bpb=2048.0104 total_bpb=2049.8841 grad_norm=0.3621 tokens/s=50455.4 lr=3.76e-05
[train] epoch=1 step=400 loss/token=7.6887 decoder_loss=7.6887 bits/base=1.8487 decoder_bpb=1.8487 latent_bpb=2048.0104 total_bpb=2049.8592 grad_norm=0.3949 tokens/s=50400.1 lr=4.01e-05
[train] epoch=1 step=425 loss/token=7.8371 decoder_loss=7.8371 bits/base=1.8844 decoder_bpb=1.8844 latent_bpb=2048.0104 total_bpb=2049.8948 grad_norm=0.4494 tokens/s=50346.9 lr=4.26e-05
[train] epoch=1 step=450 loss/token=7.5861 decoder_loss=7.5861 bits/base=1.8241 decoder_bpb=1.8241 latent_bpb=2048.0104 total_bpb=2049.8345 grad_norm=0.3708 tokens/s=50365.5 lr=4.51e-05
[train] epoch=1 step=475 loss/token=7.6430 decoder_loss=7.6430 bits/base=1.8378 decoder_bpb=1.8378 latent_bpb=2048.0104 total_bpb=2049.8482 grad_norm=0.4671 tokens/s=50391.4 lr=4.76e-05
[train] epoch=1 step=500 loss/token=7.5960 decoder_loss=7.5960 bits/base=1.8265 decoder_bpb=1.8265 latent_bpb=2048.0104 total_bpb=2049.8369 grad_norm=0.4728 tokens/s=50356.4 lr=5e-05
[train] epoch=1 step=525 loss/token=7.8178 decoder_loss=7.8178 bits/base=1.8798 decoder_bpb=1.8798 latent_bpb=2048.0104 total_bpb=2049.8902 grad_norm=0.4046 tokens/s=50374.9 lr=4.99999e-05
[train] epoch=1 step=550 loss/token=7.6505 decoder_loss=7.6505 bits/base=1.8396 decoder_bpb=1.8396 latent_bpb=2048.0104 total_bpb=2049.8500 grad_norm=0.4877 tokens/s=50396.0 lr=4.99998e-05
[train] epoch=1 step=575 loss/token=7.5861 decoder_loss=7.5861 bits/base=1.8241 decoder_bpb=1.8241 latent_bpb=2048.0104 total_bpb=2049.8345 grad_norm=0.4935 tokens/s=50378.0 lr=4.99995e-05
[train] epoch=1 step=600 loss/token=7.7923 decoder_loss=7.7923 bits/base=1.8737 decoder_bpb=1.8737 latent_bpb=2048.0104 total_bpb=2049.8841 grad_norm=0.4158 tokens/s=50397.0 lr=4.99992e-05
[train] epoch=1 step=625 loss/token=7.6828 decoder_loss=7.6828 bits/base=1.8473 decoder_bpb=1.8473 latent_bpb=2048.0104 total_bpb=2049.8577 grad_norm=0.3846 tokens/s=50398.2 lr=4.99987e-05
[train] epoch=1 step=650 loss/token=7.7471 decoder_loss=7.7471 bits/base=1.8628 decoder_bpb=1.8628 latent_bpb=2048.0104 total_bpb=2049.8732 grad_norm=0.4449 tokens/s=50384.4 lr=4.99982e-05
[train] epoch=1 step=675 loss/token=7.3258 decoder_loss=7.3258 bits/base=1.7615 decoder_bpb=1.7615 latent_bpb=2048.0104 total_bpb=2049.7719 grad_norm=0.6273 tokens/s=50370.6 lr=4.99975e-05
[train] epoch=1 step=700 loss/token=7.8137 decoder_loss=7.8137 bits/base=1.8788 decoder_bpb=1.8788 latent_bpb=2048.0104 total_bpb=2049.8892 grad_norm=0.4077 tokens/s=50390.6 lr=4.99968e-05
[train] epoch=1 step=725 loss/token=7.6664 decoder_loss=7.6664 bits/base=1.8434 decoder_bpb=1.8434 latent_bpb=2048.0104 total_bpb=2049.8538 grad_norm=0.4724 tokens/s=50392.6 lr=4.99959e-05
[train] epoch=1 step=750 loss/token=7.7836 decoder_loss=7.7836 bits/base=1.8716 decoder_bpb=1.8716 latent_bpb=2048.0104 total_bpb=2049.8820 grad_norm=0.4363 tokens/s=50410.1 lr=4.99949e-05
[train] epoch=1 step=775 loss/token=7.8093 decoder_loss=7.8093 bits/base=1.8777 decoder_bpb=1.8777 latent_bpb=2048.0104 total_bpb=2049.8882 grad_norm=0.4163 tokens/s=50401.9 lr=4.99939e-05
[train] epoch=1 step=800 loss/token=7.4192 decoder_loss=7.4192 bits/base=1.7839 decoder_bpb=1.7839 latent_bpb=2048.0104 total_bpb=2049.7943 grad_norm=0.5682 tokens/s=50397.2 lr=4.99927e-05
[train] epoch=1 step=825 loss/token=7.3909 decoder_loss=7.3909 bits/base=1.7771 decoder_bpb=1.7771 latent_bpb=2048.0104 total_bpb=2049.7876 grad_norm=0.5408 tokens/s=50383.0 lr=4.99914e-05
[train] epoch=1 step=850 loss/token=7.7870 decoder_loss=7.7870 bits/base=1.8724 decoder_bpb=1.8724 latent_bpb=2048.0104 total_bpb=2049.8828 grad_norm=0.5097 tokens/s=50394.7 lr=4.99901e-05
[train] epoch=1 step=875 loss/token=7.5148 decoder_loss=7.5148 bits/base=1.8069 decoder_bpb=1.8069 latent_bpb=2048.0104 total_bpb=2049.8173 grad_norm=0.4627 tokens/s=50390.7 lr=4.99886e-05
[train] epoch=1 step=900 loss/token=7.6883 decoder_loss=7.6883 bits/base=1.8487 decoder_bpb=1.8487 latent_bpb=2048.0104 total_bpb=2049.8591 grad_norm=0.5829 tokens/s=50385.5 lr=4.9987e-05
[train] epoch=1 step=925 loss/token=7.7149 decoder_loss=7.7149 bits/base=1.8550 decoder_bpb=1.8550 latent_bpb=2048.0104 total_bpb=2049.8655 grad_norm=0.5192 tokens/s=50384.5 lr=4.99854e-05
[train] epoch=1 step=950 loss/token=7.6539 decoder_loss=7.6539 bits/base=1.8404 decoder_bpb=1.8404 latent_bpb=2048.0104 total_bpb=2049.8508 grad_norm=0.5892 tokens/s=50386.6 lr=4.99836e-05
[train] epoch=1 step=975 loss/token=7.6690 decoder_loss=7.6690 bits/base=1.8440 decoder_bpb=1.8440 latent_bpb=2048.0104 total_bpb=2049.8544 grad_norm=0.6966 tokens/s=50392.2 lr=4.99817e-05
[train] epoch=1 step=1000 loss/token=7.7307 decoder_loss=7.7307 bits/base=1.8588 decoder_bpb=1.8588 latent_bpb=2048.0104 total_bpb=2049.8693 grad_norm=0.6710 tokens/s=50391.8 lr=4.99797e-05
[train] epoch=1 step=1025 loss/token=7.6080 decoder_loss=7.6080 bits/base=1.8293 decoder_bpb=1.8293 latent_bpb=2048.0104 total_bpb=2049.8398 grad_norm=0.6737 tokens/s=50401.7 lr=4.99776e-05
[train] epoch=1 step=1050 loss/token=7.5045 decoder_loss=7.5045 bits/base=1.8044 decoder_bpb=1.8044 latent_bpb=2048.0104 total_bpb=2049.8149 grad_norm=0.8016 tokens/s=50397.7 lr=4.99755e-05
[train] epoch=1 step=1075 loss/token=7.7337 decoder_loss=7.7337 bits/base=1.8596 decoder_bpb=1.8596 latent_bpb=2048.0104 total_bpb=2049.8700 grad_norm=0.7567 tokens/s=50396.8 lr=4.99732e-05
[train] epoch=1 step=1100 loss/token=7.6811 decoder_loss=7.6811 bits/base=1.8469 decoder_bpb=1.8469 latent_bpb=2048.0104 total_bpb=2049.8573 grad_norm=0.7794 tokens/s=50392.8 lr=4.99708e-05
[train] epoch=1 step=1125 loss/token=7.4869 decoder_loss=7.4869 bits/base=1.8002 decoder_bpb=1.8002 latent_bpb=2048.0104 total_bpb=2049.8106 grad_norm=1.1971 tokens/s=50403.1 lr=4.99683e-05
[train] epoch=1 step=1150 loss/token=7.5926 decoder_loss=7.5926 bits/base=1.8256 decoder_bpb=1.8256 latent_bpb=2048.0104 total_bpb=2049.8361 grad_norm=1.4515 tokens/s=50402.6 lr=4.99657e-05
[train] epoch=1 step=1175 loss/token=7.3815 decoder_loss=7.3815 bits/base=1.7749 decoder_bpb=1.7749 latent_bpb=2048.0104 total_bpb=2049.7853 grad_norm=1.1018 tokens/s=50387.6 lr=4.99631e-05
[train] epoch=1 step=1200 loss/token=7.3392 decoder_loss=7.3392 bits/base=1.7647 decoder_bpb=1.7647 latent_bpb=2048.0104 total_bpb=2049.7751 grad_norm=1.7932 tokens/s=50387.3 lr=4.99603e-05
[train] epoch=1 step=1225 loss/token=7.2364 decoder_loss=7.2364 bits/base=1.7400 decoder_bpb=1.7400 latent_bpb=2048.0104 total_bpb=2049.7504 grad_norm=4.4538 tokens/s=50397.1 lr=4.99574e-05
[train] epoch=1 step=1250 loss/token=7.0726 decoder_loss=7.0726 bits/base=1.7006 decoder_bpb=1.7006 latent_bpb=2048.0104 total_bpb=2049.7110 grad_norm=4.0747 tokens/s=50391.5 lr=4.99544e-05
[train] epoch=1 step=1275 loss/token=6.6486 decoder_loss=6.6486 bits/base=1.5987 decoder_bpb=1.5987 latent_bpb=2048.0104 total_bpb=2049.6091 grad_norm=5.3706 tokens/s=50383.5 lr=4.99513e-05
[train] epoch=1 step=1300 loss/token=6.5703 decoder_loss=6.5703 bits/base=1.5798 decoder_bpb=1.5798 latent_bpb=2048.0104 total_bpb=2049.5902 grad_norm=11.7925 tokens/s=50388.1 lr=4.99481e-05
[train] epoch=1 step=1325 loss/token=6.3419 decoder_loss=6.3419 bits/base=1.5249 decoder_bpb=1.5249 latent_bpb=2048.0104 total_bpb=2049.5353 grad_norm=16.0399 tokens/s=50390.7 lr=4.99448e-05
[train] epoch=1 step=1350 loss/token=5.9240 decoder_loss=5.9240 bits/base=1.4244 decoder_bpb=1.4244 latent_bpb=2048.0104 total_bpb=2049.4348 grad_norm=14.0339 tokens/s=50387.3 lr=4.99414e-05
[train] epoch=1 step=1375 loss/token=5.8572 decoder_loss=5.8572 bits/base=1.4084 decoder_bpb=1.4084 latent_bpb=2048.0104 total_bpb=2049.4188 grad_norm=21.3507 tokens/s=50380.5 lr=4.99379e-05
[train] epoch=1 step=1400 loss/token=5.8041 decoder_loss=5.8041 bits/base=1.3956 decoder_bpb=1.3956 latent_bpb=2048.0104 total_bpb=2049.4060 grad_norm=30.6263 tokens/s=50373.6 lr=4.99343e-05
[train] epoch=1 step=1425 loss/token=5.3589 decoder_loss=5.3589 bits/base=1.2885 decoder_bpb=1.2885 latent_bpb=2048.0104 total_bpb=2049.2990 grad_norm=26.9446 tokens/s=50379.3 lr=4.99306e-05
[train] epoch=1 step=1450 loss/token=5.3261 decoder_loss=5.3261 bits/base=1.2807 decoder_bpb=1.2807 latent_bpb=2048.0104 total_bpb=2049.2911 grad_norm=35.2317 tokens/s=50380.4 lr=4.99268e-05
[train] epoch=1 step=1475 loss/token=4.8931 decoder_loss=4.8931 bits/base=1.1765 decoder_bpb=1.1765 latent_bpb=2048.0104 total_bpb=2049.1870 grad_norm=27.3772 tokens/s=50388.7 lr=4.99229e-05
[train] epoch=1 step=1500 loss/token=4.6333 decoder_loss=4.6333 bits/base=1.1141 decoder_bpb=1.1141 latent_bpb=2048.0104 total_bpb=2049.1245 grad_norm=34.2629 tokens/s=50378.3 lr=4.99189e-05
[train] epoch=1 step=1525 loss/token=4.3653 decoder_loss=4.3653 bits/base=1.0496 decoder_bpb=1.0496 latent_bpb=2048.0104 total_bpb=2049.0600 grad_norm=34.1262 tokens/s=50384.7 lr=4.99148e-05
[train] epoch=1 step=1550 loss/token=4.0695 decoder_loss=4.0695 bits/base=0.9785 decoder_bpb=0.9785 latent_bpb=2048.0104 total_bpb=2048.9889 grad_norm=35.9222 tokens/s=50378.5 lr=4.99106e-05
[train] epoch=1 step=1575 loss/token=4.1152 decoder_loss=4.1152 bits/base=0.9895 decoder_bpb=0.9895 latent_bpb=2048.0104 total_bpb=2048.9999 grad_norm=42.7394 tokens/s=50389.3 lr=4.99063e-05
[train] epoch=1 step=1600 loss/token=3.8454 decoder_loss=3.8454 bits/base=0.9246 decoder_bpb=0.9246 latent_bpb=2048.0104 total_bpb=2048.9350 grad_norm=42.5870 tokens/s=50383.5 lr=4.99019e-05
