split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,AnCa,AnCa,0,1,20,41.204775174458824,2.0602387587229414
train,windows_nonoverlap,AnCa,AnCa,1,2,20,41.20477517445882,2.060238758722941
train,windows_nonoverlap,AnCa,AnCa,2,3,20,41.20477517445882,2.060238758722941
train,windows_nonoverlap,AnCa,AnCa,3,4,20,39.64148426055908,1.982074213027954
train,windows_nonoverlap,AnCa,AnCa,4,5,20,39.64148426055908,1.982074213027954
train,windows_nonoverlap,AnCa,AnCa,5,6,20,39.64148426055908,1.982074213027954
train,windows_nonoverlap,AnCa,AnCa,6,7,20,38.5670960744222,1.9283548037211102
train,windows_nonoverlap,AnCa,AnCa,7,8,20,38.5670960744222,1.9283548037211102
train,windows_nonoverlap,AnCa,AnCa,8,9,20,38.5670960744222,1.9283548037211102
train,windows_nonoverlap,AnCa,AnCa,9,10,20,38.26276429494222,1.9131382147471112
train,windows_nonoverlap,AnCa,AnCa,10,11,20,38.262764294942215,1.9131382147471108
train,windows_nonoverlap,AnCa,AnCa,11,12,20,38.26276429494222,1.9131382147471112
train,windows_nonoverlap,AnCa,AnCa,12,13,20,38.963420708974205,1.9481710354487103
train,windows_nonoverlap,AnCa,AnCa,13,14,20,38.963420708974205,1.9481710354487103
train,windows_nonoverlap,AnCa,AnCa,14,15,20,38.963420708974205,1.9481710354487103
train,windows_nonoverlap,AnCa,AnCa,15,16,20,40.13821188608806,2.006910594304403
train,windows_nonoverlap,AnCa,AnCa,16,17,20,40.13821188608805,2.0069105943044026
train,windows_nonoverlap,AnCa,AnCa,17,18,20,40.13821188608805,2.0069105943044026
train,windows_nonoverlap,AnCa,AnCa,18,19,20,41.45778306325277,2.0728891531626386
train,windows_nonoverlap,AnCa,AnCa,19,20,20,41.45778306325277,2.0728891531626386
train,windows_nonoverlap,AnCa,AnCa,20,21,20,41.45778306325277,2.0728891531626386
