split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,YeMi,YeMi,0,1,15,28.869380474090576,1.9246253649393716
train,windows_nonoverlap,YeMi,YeMi,1,2,15,28.869380474090576,1.9246253649393716
train,windows_nonoverlap,YeMi,YeMi,2,3,15,28.869380474090576,1.9246253649393716
train,windows_nonoverlap,YeMi,YeMi,3,4,15,29.195446173350014,1.9463630782233343
train,windows_nonoverlap,YeMi,YeMi,4,5,15,29.195446173350014,1.9463630782233343
train,windows_nonoverlap,YeMi,YeMi,5,6,15,29.195446173350017,1.9463630782233345
train,windows_nonoverlap,YeMi,YeMi,6,7,15,29.394161542256676,1.9596107694837783
train,windows_nonoverlap,YeMi,YeMi,7,8,15,29.394161542256672,1.959610769483778
train,windows_nonoverlap,YeMi,YeMi,8,9,15,29.394161542256672,1.959610769483778
train,windows_nonoverlap,YeMi,YeMi,9,10,15,30.709014097849526,2.0472676065233015
train,windows_nonoverlap,YeMi,YeMi,10,11,15,30.709014097849526,2.0472676065233015
train,windows_nonoverlap,YeMi,YeMi,11,12,15,30.709014097849526,2.0472676065233015
train,windows_nonoverlap,YeMi,YeMi,12,13,15,28.554639021555587,1.9036426014370391
train,windows_nonoverlap,YeMi,YeMi,13,14,15,28.554639021555584,1.903642601437039
train,windows_nonoverlap,YeMi,YeMi,14,15,15,28.554639021555584,1.903642601437039
train,windows_nonoverlap,YeMi,YeMi,15,16,15,28.801191806793213,1.9200794537862143
train,windows_nonoverlap,YeMi,YeMi,16,17,15,28.801191806793213,1.9200794537862143
train,windows_nonoverlap,YeMi,YeMi,17,18,15,28.801191806793213,1.9200794537862143
train,windows_nonoverlap,YeMi,YeMi,18,19,15,29.121847947438557,1.9414565298292372
train,windows_nonoverlap,YeMi,YeMi,19,20,15,29.121847947438557,1.9414565298292372
train,windows_nonoverlap,YeMi,YeMi,20,21,15,29.12184794743856,1.9414565298292374
train,windows_nonoverlap,YeMi,YeMi,21,22,15,28.679645538330078,1.9119763692220053
train,windows_nonoverlap,YeMi,YeMi,22,23,15,28.679645538330078,1.9119763692220053
train,windows_nonoverlap,YeMi,YeMi,23,24,15,28.679645538330078,1.9119763692220053
train,windows_nonoverlap,YeMi,YeMi,24,25,15,29.453035831451416,1.963535722096761
train,windows_nonoverlap,YeMi,YeMi,25,26,15,29.453035831451416,1.963535722096761
train,windows_nonoverlap,YeMi,YeMi,26,27,15,29.453035831451416,1.963535722096761
train,windows_nonoverlap,YeMi,YeMi,27,28,15,26.964052041371666,1.7976034694247778
train,windows_nonoverlap,YeMi,YeMi,28,29,15,26.964052041371662,1.7976034694247776
train,windows_nonoverlap,YeMi,YeMi,29,30,15,26.964052041371662,1.7976034694247776
train,windows_nonoverlap,YeMi,YeMi,30,31,15,27.38690408070882,1.825793605380588
train,windows_nonoverlap,YeMi,YeMi,31,32,15,27.38690408070882,1.825793605380588
train,windows_nonoverlap,YeMi,YeMi,32,33,15,27.386904080708824,1.8257936053805883
train,windows_nonoverlap,YeMi,YeMi,33,34,15,28.533948024113975,1.9022632016075984
train,windows_nonoverlap,YeMi,YeMi,34,35,15,28.533948024113972,1.9022632016075982
train,windows_nonoverlap,YeMi,YeMi,35,36,15,28.533948024113972,1.9022632016075982
train,windows_nonoverlap,YeMi,YeMi,36,37,15,32.20672273635864,2.1471148490905763
train,windows_nonoverlap,YeMi,YeMi,37,38,15,32.20672273635864,2.1471148490905763
train,windows_nonoverlap,YeMi,YeMi,38,39,15,32.20672273635864,2.1471148490905763
train,windows_nonoverlap,YeMi,YeMi,39,40,15,27.77342677116394,1.8515617847442627
train,windows_nonoverlap,YeMi,YeMi,40,41,15,27.77342677116394,1.8515617847442627
train,windows_nonoverlap,YeMi,YeMi,41,42,15,27.77342677116394,1.8515617847442627
train,windows_nonoverlap,YeMi,YeMi,42,43,15,30.107505083084106,2.0071670055389403
train,windows_nonoverlap,YeMi,YeMi,43,44,15,30.107505083084106,2.0071670055389403
train,windows_nonoverlap,YeMi,YeMi,44,45,15,30.107505083084106,2.0071670055389403
train,windows_nonoverlap,YeMi,YeMi,45,46,15,25.92800847689311,1.7285338984595406
train,windows_nonoverlap,YeMi,YeMi,46,47,15,25.92800847689311,1.7285338984595406
train,windows_nonoverlap,YeMi,YeMi,47,48,15,25.92800847689311,1.7285338984595406
train,windows_nonoverlap,YeMi,YeMi,48,49,15,28.667113701502483,1.911140913433499
train,windows_nonoverlap,YeMi,YeMi,49,50,15,28.667113701502483,1.911140913433499
train,windows_nonoverlap,YeMi,YeMi,50,51,15,28.667113701502483,1.911140913433499
train,windows_nonoverlap,YeMi,YeMi,51,52,15,29.08985567092895,1.9393237113952635
train,windows_nonoverlap,YeMi,YeMi,52,53,15,29.08985567092895,1.9393237113952635
train,windows_nonoverlap,YeMi,YeMi,53,54,15,29.089855670928955,1.9393237113952637
train,windows_nonoverlap,YeMi,YeMi,54,55,15,26.314722855885826,1.754314857059055
train,windows_nonoverlap,YeMi,YeMi,55,56,15,26.314722855885822,1.7543148570590548
train,windows_nonoverlap,YeMi,YeMi,56,57,15,26.314722855885822,1.7543148570590548
train,windows_nonoverlap,YeMi,YeMi,57,58,15,27.6917937596639,1.8461195839775932
train,windows_nonoverlap,YeMi,YeMi,58,59,15,27.691793759663902,1.8461195839775935
train,windows_nonoverlap,YeMi,YeMi,59,60,15,27.691793759663902,1.8461195839775935
train,windows_nonoverlap,YeMi,YeMi,60,61,15,28.19597800572713,1.8797318670484755
train,windows_nonoverlap,YeMi,YeMi,61,62,15,28.19597800572713,1.8797318670484755
train,windows_nonoverlap,YeMi,YeMi,62,63,15,28.195978005727135,1.8797318670484757
train,windows_nonoverlap,YeMi,YeMi,63,64,15,27.51127775510152,1.8340851836734346
train,windows_nonoverlap,YeMi,YeMi,64,65,15,27.511277755101517,1.8340851836734344
train,windows_nonoverlap,YeMi,YeMi,65,66,15,27.51127775510152,1.8340851836734346
train,windows_nonoverlap,YeMi,YeMi,66,67,15,26.148820559183758,1.743254703945584
train,windows_nonoverlap,YeMi,YeMi,67,68,15,26.148820559183754,1.7432547039455837
train,windows_nonoverlap,YeMi,YeMi,68,69,15,26.148820559183754,1.7432547039455837
train,windows_nonoverlap,YeMi,YeMi,69,70,15,27.04752278327942,1.8031681855519612
train,windows_nonoverlap,YeMi,YeMi,70,71,15,27.04752278327942,1.8031681855519612
train,windows_nonoverlap,YeMi,YeMi,71,72,15,27.04752278327942,1.8031681855519612
train,windows_nonoverlap,YeMi,YeMi,72,73,15,25.972530126571655,1.7315020084381103
train,windows_nonoverlap,YeMi,YeMi,73,74,15,25.972530126571655,1.7315020084381103
train,windows_nonoverlap,YeMi,YeMi,74,75,15,25.97253012657165,1.73150200843811
train,windows_nonoverlap,YeMi,YeMi,75,76,15,27.25132473309835,1.8167549822065567
train,windows_nonoverlap,YeMi,YeMi,76,77,15,27.251324733098347,1.8167549822065565
train,windows_nonoverlap,YeMi,YeMi,77,78,15,27.251324733098347,1.8167549822065565
train,windows_nonoverlap,YeMi,YeMi,78,79,15,25.865230957667034,1.7243487305111356
train,windows_nonoverlap,YeMi,YeMi,79,80,15,25.86523095766703,1.7243487305111354
train,windows_nonoverlap,YeMi,YeMi,80,81,15,25.86523095766703,1.7243487305111354
train,windows_nonoverlap,YeMi,YeMi,81,82,15,27.624084552129112,1.8416056368086076
train,windows_nonoverlap,YeMi,YeMi,82,83,15,27.624084552129112,1.8416056368086076
train,windows_nonoverlap,YeMi,YeMi,83,84,15,27.62408455212911,1.8416056368086073
train,windows_nonoverlap,YeMi,YeMi,84,85,15,27.149263938268028,1.8099509292178686
train,windows_nonoverlap,YeMi,YeMi,85,86,15,27.149263938268028,1.8099509292178686
train,windows_nonoverlap,YeMi,YeMi,86,87,15,27.149263938268025,1.8099509292178684
train,windows_nonoverlap,YeMi,YeMi,87,88,15,30.28082299232483,2.0187215328216555
train,windows_nonoverlap,YeMi,YeMi,88,89,15,30.28082299232483,2.0187215328216555
train,windows_nonoverlap,YeMi,YeMi,89,90,15,30.280822992324833,2.0187215328216555
train,windows_nonoverlap,YeMi,YeMi,90,91,15,26.87695296605428,1.7917968644036186
train,windows_nonoverlap,YeMi,YeMi,91,92,15,26.87695296605428,1.7917968644036186
train,windows_nonoverlap,YeMi,YeMi,92,93,15,26.87695296605428,1.7917968644036186
train,windows_nonoverlap,YeMi,YeMi,93,94,15,28.0189528465271,1.8679301897684732
train,windows_nonoverlap,YeMi,YeMi,94,95,15,28.0189528465271,1.8679301897684732
train,windows_nonoverlap,YeMi,YeMi,95,96,15,28.0189528465271,1.8679301897684732
train,windows_nonoverlap,YeMi,YeMi,96,97,15,27.14608907699585,1.8097392717997234
train,windows_nonoverlap,YeMi,YeMi,97,98,15,27.14608907699585,1.8097392717997234
train,windows_nonoverlap,YeMi,YeMi,98,99,15,27.14608907699585,1.8097392717997234
train,windows_nonoverlap,YeMi,YeMi,99,100,15,27.648274819056194,1.843218321270413
train,windows_nonoverlap,YeMi,YeMi,100,101,15,27.648274819056194,1.843218321270413
train,windows_nonoverlap,YeMi,YeMi,101,102,15,27.648274819056194,1.843218321270413
train,windows_nonoverlap,YeMi,YeMi,102,103,15,26.40000915527344,1.7600006103515626
train,windows_nonoverlap,YeMi,YeMi,103,104,15,26.400009155273438,1.7600006103515624
train,windows_nonoverlap,YeMi,YeMi,104,105,15,26.400009155273438,1.7600006103515624
train,windows_nonoverlap,YeMi,YeMi,105,106,15,27.499448776245117,1.8332965850830079
train,windows_nonoverlap,YeMi,YeMi,106,107,15,27.499448776245117,1.8332965850830079
train,windows_nonoverlap,YeMi,YeMi,107,108,15,27.499448776245117,1.8332965850830079
train,windows_nonoverlap,YeMi,YeMi,108,109,15,26.755542119344078,1.7837028079562718
train,windows_nonoverlap,YeMi,YeMi,109,110,15,26.755542119344074,1.7837028079562716
train,windows_nonoverlap,YeMi,YeMi,110,111,15,26.755542119344074,1.7837028079562716
train,windows_nonoverlap,YeMi,YeMi,111,112,15,26.9897309144338,1.7993153942955866
