split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,HoSa,HoSa,0,1,20,38.79186121622721,1.9395930608113605
train,windows_nonoverlap,HoSa,HoSa,1,2,20,38.79186121622721,1.9395930608113605
train,windows_nonoverlap,HoSa,HoSa,2,3,20,38.79186121622721,1.9395930608113605
train,windows_nonoverlap,HoSa,HoSa,3,4,20,39.802925268809005,1.9901462634404503
train,windows_nonoverlap,HoSa,HoSa,4,5,20,39.802925268809,1.9901462634404499
train,windows_nonoverlap,HoSa,HoSa,5,6,20,39.802925268809,1.9901462634404499
train,windows_nonoverlap,HoSa,HoSa,6,7,20,38.865607102712,1.9432803551356
train,windows_nonoverlap,HoSa,HoSa,7,8,20,38.865607102712,1.9432803551356
train,windows_nonoverlap,HoSa,HoSa,8,9,20,38.86560710271199,1.9432803551355995
train,windows_nonoverlap,HoSa,HoSa,9,10,20,35.357322692871094,1.7678661346435547
train,windows_nonoverlap,HoSa,HoSa,10,11,20,35.357322692871094,1.7678661346435547
train,windows_nonoverlap,HoSa,HoSa,11,12,20,35.357322692871094,1.7678661346435547
train,windows_nonoverlap,HoSa,HoSa,12,13,20,32.58792448043823,1.6293962240219115
train,windows_nonoverlap,HoSa,HoSa,13,14,20,32.58792448043823,1.6293962240219115
train,windows_nonoverlap,HoSa,HoSa,14,15,20,32.58792448043823,1.6293962240219115
train,windows_nonoverlap,HoSa,HoSa,15,16,20,32.09716612100601,1.6048583060503006
train,windows_nonoverlap,HoSa,HoSa,16,17,20,32.09716612100601,1.6048583060503006
train,windows_nonoverlap,HoSa,HoSa,17,18,20,32.09716612100601,1.6048583060503006
train,windows_nonoverlap,HoSa,HoSa,18,19,20,28.57784796257814,1.428892398128907
train,windows_nonoverlap,HoSa,HoSa,19,20,20,28.57784796257814,1.428892398128907
train,windows_nonoverlap,HoSa,HoSa,20,21,20,28.577847962578137,1.4288923981289068
train,windows_nonoverlap,HoSa,HoSa,21,22,20,31.785469979047775,1.5892734989523887
train,windows_nonoverlap,HoSa,HoSa,22,23,20,31.785469979047775,1.5892734989523887
