split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,0,1,33,65.1231385866801,1.973428442020609
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,1,2,33,65.12313858668008,1.9734284420206087
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,2,3,33,65.12313858668008,1.9734284420206087
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,3,4,33,67.75503079096477,2.0531827512413567
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,4,5,33,67.75503079096475,2.0531827512413563
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,5,6,33,67.75503079096477,2.0531827512413567
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,6,7,33,64.88212553660074,1.9661250162606285
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,7,8,33,64.88212553660074,1.9661250162606285
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,8,9,33,64.88212553660074,1.9661250162606285
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,9,10,33,63.914269129435226,1.9367960342253099
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,10,11,33,63.91426912943522,1.9367960342253097
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,11,12,33,63.914269129435226,1.9367960342253099
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,12,13,33,62.51204506556193,1.894304395926119
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,13,14,33,62.512045065561935,1.8943043959261192
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,14,15,33,62.51204506556192,1.8943043959261188
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,15,16,33,64.84355759620667,1.9649562907941414
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,16,17,33,64.84355759620667,1.9649562907941414
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,17,18,33,64.84355759620667,1.9649562907941414
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,18,19,33,64.2031155427297,1.945548955840294
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,19,20,33,64.2031155427297,1.945548955840294
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,20,21,33,64.20311554272969,1.9455489558402936
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,21,22,33,66.99630363782246,2.0301910193279533
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,22,23,33,66.99630363782246,2.0301910193279533
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,23,24,33,66.99630363782246,2.0301910193279533
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,24,25,33,65.49976253509521,1.9848412889422793
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,25,26,33,65.49976253509521,1.9848412889422793
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,26,27,33,65.49976253509521,1.9848412889422793
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,27,28,33,63.34846274058024,1.919650386078189
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,28,29,33,63.34846274058024,1.919650386078189
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,29,30,33,63.348462740580246,1.9196503860781893
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,30,31,33,67.6951235930125,2.0513673816064393
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,31,32,33,67.6951235930125,2.0513673816064393
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,32,33,33,67.6951235930125,2.0513673816064393
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,33,34,33,63.57989001274109,1.926663333719427
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,34,35,33,63.57989001274109,1.926663333719427
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,35,36,33,63.57989001274109,1.926663333719427
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,36,37,33,64.46970111131668,1.9536273064035359
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,37,38,33,64.46970111131668,1.9536273064035359
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,38,39,33,64.46970111131668,1.9536273064035359
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,39,40,33,60.13633664449056,1.8223132316512292
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,40,41,33,60.136336644490555,1.822313231651229
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,41,42,33,60.136336644490555,1.822313231651229
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,42,43,33,61.934583147366844,1.8768055499202074
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,43,44,33,61.93458314736684,1.8768055499202072
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,44,45,33,61.934583147366844,1.8768055499202074
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,45,46,33,62.10647916793823,1.8820145202405525
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,46,47,33,62.10647916793823,1.8820145202405525
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,47,48,33,62.10647916793823,1.8820145202405525
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,48,49,33,64.02504909038544,1.9401530027389526
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,49,50,33,64.02504909038544,1.9401530027389526
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:XV,50,51,33,64.02504909038544,1.9401530027389526
