split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,AgPh,AgPh,0,1,9,18.003437519073486,2.0003819465637207
train,windows_nonoverlap,AgPh,AgPh,1,2,9,18.003437519073486,2.0003819465637207
train,windows_nonoverlap,AgPh,AgPh,2,3,9,18.003437519073486,2.0003819465637207
train,windows_nonoverlap,AgPh,AgPh,3,4,9,18.899478594462078,2.099942066051342
train,windows_nonoverlap,AgPh,AgPh,4,5,9,18.899478594462078,2.099942066051342
train,windows_nonoverlap,AgPh,AgPh,5,6,9,18.899478594462078,2.099942066051342
train,windows_nonoverlap,AgPh,AgPh,6,7,9,18.40696986516317,2.045218873907019
train,windows_nonoverlap,AgPh,AgPh,7,8,9,18.406969865163166,2.0452188739070185
train,windows_nonoverlap,AgPh,AgPh,8,9,9,18.406969865163166,2.0452188739070185
train,windows_nonoverlap,AgPh,AgPh,9,10,9,18.37170108159383,2.0413001201770924
train,windows_nonoverlap,AgPh,AgPh,10,11,9,18.371701081593834,2.041300120177093
train,windows_nonoverlap,AgPh,AgPh,11,12,9,18.371701081593834,2.041300120177093
train,windows_nonoverlap,AgPh,AgPh,12,13,9,20.384032408396404,2.264892489821823
train,windows_nonoverlap,AgPh,AgPh,13,14,9,20.384032408396404,2.264892489821823
train,windows_nonoverlap,AgPh,AgPh,14,15,9,20.384032408396404,2.264892489821823
train,windows_nonoverlap,AgPh,AgPh,15,16,9,19.891570409139,2.2101744899043334
train,windows_nonoverlap,AgPh,AgPh,16,17,9,19.891570409138996,2.210174489904333
train,windows_nonoverlap,AgPh,AgPh,17,18,9,19.891570409138996,2.210174489904333
train,windows_nonoverlap,AgPh,AgPh,18,19,9,18.22621774673462,2.0251353051927357
train,windows_nonoverlap,AgPh,AgPh,19,20,9,18.22621774673462,2.0251353051927357
train,windows_nonoverlap,AgPh,AgPh,20,21,9,18.22621774673462,2.0251353051927357
train,windows_nonoverlap,AgPh,AgPh,21,22,9,18.004191080729164,2.000465675636574
train,windows_nonoverlap,AgPh,AgPh,22,23,9,18.004191080729168,2.0004656756365744
train,windows_nonoverlap,AgPh,AgPh,23,24,9,18.004191080729164,2.000465675636574
train,windows_nonoverlap,AgPh,AgPh,24,25,9,20.5204119682312,2.2800457742479114
train,windows_nonoverlap,AgPh,AgPh,25,26,9,20.5204119682312,2.2800457742479114
train,windows_nonoverlap,AgPh,AgPh,26,27,9,20.5204119682312,2.2800457742479114
train,windows_nonoverlap,AgPh,AgPh,27,28,9,19.057345867156982,2.1174828741285534
train,windows_nonoverlap,AgPh,AgPh,28,29,9,19.057345867156982,2.1174828741285534
train,windows_nonoverlap,AgPh,AgPh,29,30,9,19.057345867156982,2.1174828741285534
train,windows_nonoverlap,AgPh,AgPh,30,31,9,19.590354283650715,2.176706031516746
train,windows_nonoverlap,AgPh,AgPh,31,32,9,19.590354283650715,2.176706031516746
train,windows_nonoverlap,AgPh,AgPh,32,33,9,19.590354283650715,2.176706031516746
train,windows_nonoverlap,AgPh,AgPh,33,34,9,17.781840483347573,1.9757600537052857
train,windows_nonoverlap,AgPh,AgPh,34,35,9,17.781840483347576,1.9757600537052862
train,windows_nonoverlap,AgPh,AgPh,35,36,9,17.781840483347576,1.9757600537052862
train,windows_nonoverlap,AgPh,AgPh,36,37,9,18.275257110595703,2.0305841233995228
train,windows_nonoverlap,AgPh,AgPh,37,38,9,18.275257110595703,2.0305841233995228
train,windows_nonoverlap,AgPh,AgPh,38,39,9,18.275257110595703,2.0305841233995228
train,windows_nonoverlap,AgPh,AgPh,39,40,9,19.49270836512248,2.1658564850136086
train,windows_nonoverlap,AgPh,AgPh,40,41,9,19.49270836512248,2.1658564850136086
train,windows_nonoverlap,AgPh,AgPh,41,42,9,19.49270836512248,2.1658564850136086
train,windows_nonoverlap,AgPh,AgPh,42,43,9,20.299834688504536,2.255537187611615
train,windows_nonoverlap,AgPh,AgPh,43,44,9,20.299834688504536,2.255537187611615
train,windows_nonoverlap,AgPh,AgPh,44,45,9,20.29983468850454,2.2555371876116155
train,windows_nonoverlap,AgPh,AgPh,45,46,9,18.27497911453247,2.0305532349480524
train,windows_nonoverlap,AgPh,AgPh,46,47,9,18.27497911453247,2.0305532349480524
train,windows_nonoverlap,AgPh,AgPh,47,48,9,18.27497911453247,2.0305532349480524
train,windows_nonoverlap,AgPh,AgPh,48,49,9,18.087246894836426,2.0096940994262695
train,windows_nonoverlap,AgPh,AgPh,49,50,9,18.087246894836426,2.0096940994262695
train,windows_nonoverlap,AgPh,AgPh,50,51,9,18.087246894836426,2.0096940994262695
train,windows_nonoverlap,AgPh,AgPh,51,52,9,17.75353240966797,1.97261471218533
train,windows_nonoverlap,AgPh,AgPh,52,53,9,17.75353240966797,1.97261471218533
train,windows_nonoverlap,AgPh,AgPh,53,54,9,17.75353240966797,1.97261471218533
train,windows_nonoverlap,AgPh,AgPh,54,55,9,17.735880533854168,1.970653392650463
train,windows_nonoverlap,AgPh,AgPh,55,56,9,17.735880533854168,1.970653392650463
train,windows_nonoverlap,AgPh,AgPh,56,57,9,17.735880533854168,1.970653392650463
train,windows_nonoverlap,AgPh,AgPh,57,58,9,18.30868371327718,2.0342981903641313
train,windows_nonoverlap,AgPh,AgPh,58,59,9,18.30868371327718,2.0342981903641313
train,windows_nonoverlap,AgPh,AgPh,59,60,9,18.30868371327718,2.0342981903641313
train,windows_nonoverlap,AgPh,AgPh,60,61,9,17.769155343373615,1.9743505937081796
train,windows_nonoverlap,AgPh,AgPh,61,62,9,17.769155343373615,1.9743505937081796
train,windows_nonoverlap,AgPh,AgPh,62,63,9,17.76915534337362,1.9743505937081798
train,windows_nonoverlap,AgPh,AgPh,63,64,9,17.89364465077718,1.9881827389752422
train,windows_nonoverlap,AgPh,AgPh,64,65,9,17.89364465077718,1.9881827389752422
train,windows_nonoverlap,AgPh,AgPh,65,66,9,17.893644650777183,1.9881827389752427
train,windows_nonoverlap,AgPh,AgPh,66,67,9,17.66816250483195,1.96312916720355
train,windows_nonoverlap,AgPh,AgPh,67,68,9,17.66816250483195,1.96312916720355
train,windows_nonoverlap,AgPh,AgPh,68,69,9,17.66816250483195,1.96312916720355
train,windows_nonoverlap,AgPh,AgPh,69,70,9,17.938799540201824,1.9931999489113137
train,windows_nonoverlap,AgPh,AgPh,70,71,9,17.938799540201824,1.9931999489113137
train,windows_nonoverlap,AgPh,AgPh,71,72,9,17.93879954020182,1.9931999489113135
train,windows_nonoverlap,AgPh,AgPh,72,73,9,20.164087613423664,2.240454179269296
train,windows_nonoverlap,AgPh,AgPh,73,74,9,20.164087613423664,2.240454179269296
train,windows_nonoverlap,AgPh,AgPh,74,75,9,20.164087613423664,2.240454179269296
train,windows_nonoverlap,AgPh,AgPh,75,76,9,16.705382029215492,1.8561535588017213
train,windows_nonoverlap,AgPh,AgPh,76,77,9,16.705382029215492,1.8561535588017213
train,windows_nonoverlap,AgPh,AgPh,77,78,9,16.705382029215496,1.8561535588017217
train,windows_nonoverlap,AgPh,AgPh,78,79,9,17.68521944681803,1.9650243829797813
train,windows_nonoverlap,AgPh,AgPh,79,80,9,17.685219446818035,1.9650243829797818
train,windows_nonoverlap,AgPh,AgPh,80,81,9,17.685219446818035,1.9650243829797818
train,windows_nonoverlap,AgPh,AgPh,81,82,9,18.33237965901693,2.0369310732241033
train,windows_nonoverlap,AgPh,AgPh,82,83,9,18.332379659016926,2.036931073224103
train,windows_nonoverlap,AgPh,AgPh,83,84,9,18.332379659016926,2.036931073224103
train,windows_nonoverlap,AgPh,AgPh,84,85,9,17.459076563517254,1.9398973959463615
train,windows_nonoverlap,AgPh,AgPh,85,86,9,17.459076563517254,1.9398973959463615
train,windows_nonoverlap,AgPh,AgPh,86,87,9,17.459076563517254,1.9398973959463615
train,windows_nonoverlap,AgPh,AgPh,87,88,9,19.217108408610024,2.135234267623336
train,windows_nonoverlap,AgPh,AgPh,88,89,9,19.217108408610027,2.1352342676233365
train,windows_nonoverlap,AgPh,AgPh,89,90,9,19.217108408610027,2.1352342676233365
train,windows_nonoverlap,AgPh,AgPh,90,91,9,19.25128746032715,2.1390319400363498
train,windows_nonoverlap,AgPh,AgPh,91,92,9,19.25128746032715,2.1390319400363498
train,windows_nonoverlap,AgPh,AgPh,92,93,9,19.25128746032715,2.1390319400363498
train,windows_nonoverlap,AgPh,AgPh,93,94,9,18.57730722427368,2.06414524714152
train,windows_nonoverlap,AgPh,AgPh,94,95,9,18.57730722427368,2.06414524714152
train,windows_nonoverlap,AgPh,AgPh,95,96,9,18.57730722427368,2.06414524714152
train,windows_nonoverlap,AgPh,AgPh,96,97,9,17.491477648417156,1.943497516490795
train,windows_nonoverlap,AgPh,AgPh,97,98,9,17.491477648417153,1.9434975164907948
train,windows_nonoverlap,AgPh,AgPh,98,99,9,17.491477648417153,1.9434975164907948
train,windows_nonoverlap,AgPh,AgPh,99,100,9,17.00018914540609,1.888909905045121
train,windows_nonoverlap,AgPh,AgPh,100,101,9,17.000189145406086,1.8889099050451206
train,windows_nonoverlap,AgPh,AgPh,101,102,9,17.00018914540609,1.888909905045121
train,windows_nonoverlap,AgPh,AgPh,102,103,9,19.10406732559204,2.1226741472880044
train,windows_nonoverlap,AgPh,AgPh,103,104,9,19.10406732559204,2.1226741472880044
train,windows_nonoverlap,AgPh,AgPh,104,105,9,19.10406732559204,2.1226741472880044
train,windows_nonoverlap,AgPh,AgPh,105,106,9,17.78095293045044,1.9756614367167156
train,windows_nonoverlap,AgPh,AgPh,106,107,9,17.78095293045044,1.9756614367167156
train,windows_nonoverlap,AgPh,AgPh,107,108,9,17.78095293045044,1.9756614367167156
train,windows_nonoverlap,AgPh,AgPh,108,109,9,17.915435791015625,1.9906039767795138
train,windows_nonoverlap,AgPh,AgPh,109,110,9,17.915435791015625,1.9906039767795138
