split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,PlFa,PlFa,0,1,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,PlFa,PlFa,1,2,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,PlFa,PlFa,2,3,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,PlFa,PlFa,3,4,1,1.915816307067871,1.915816307067871
train,windows_overlap,PlFa,PlFa,4,5,1,1.915816307067871,1.915816307067871
train,windows_overlap,PlFa,PlFa,5,6,1,1.915816307067871,1.915816307067871
train,windows_overlap,PlFa,PlFa,6,7,1,1.941030502319336,1.941030502319336
train,windows_overlap,PlFa,PlFa,7,8,1,1.941030502319336,1.941030502319336
train,windows_overlap,PlFa,PlFa,8,9,1,1.941030502319336,1.941030502319336
train,windows_overlap,PlFa,PlFa,9,10,1,1.4329185485839844,1.4329185485839844
train,windows_overlap,PlFa,PlFa,10,11,1,1.4329185485839844,1.4329185485839844
train,windows_overlap,PlFa,PlFa,11,12,1,1.4329185485839844,1.4329185485839844
train,windows_overlap,PlFa,PlFa,12,13,1,1.6305116017659504,1.6305116017659504
train,windows_overlap,PlFa,PlFa,13,14,1,1.6305116017659504,1.6305116017659504
train,windows_overlap,PlFa,PlFa,14,15,1,1.6305116017659504,1.6305116017659504
train,windows_overlap,PlFa,PlFa,15,16,1,1.5926151275634766,1.5926151275634766
train,windows_overlap,PlFa,PlFa,16,17,1,1.5926151275634766,1.5926151275634766
train,windows_overlap,PlFa,PlFa,17,18,1,1.5926151275634766,1.5926151275634766
train,windows_overlap,PlFa,PlFa,18,19,1,1.5624634424845378,1.5624634424845378
train,windows_overlap,PlFa,PlFa,19,20,1,1.5624634424845378,1.5624634424845378
train,windows_overlap,PlFa,PlFa,20,21,1,1.5624634424845378,1.5624634424845378
train,windows_overlap,PlFa,PlFa,21,22,1,1.550610065460205,1.550610065460205
train,windows_overlap,PlFa,PlFa,22,23,1,1.550610065460205,1.550610065460205
train,windows_overlap,PlFa,PlFa,23,24,1,1.550610065460205,1.550610065460205
train,windows_overlap,PlFa,PlFa,24,25,1,3.6372251510620117,3.6372251510620117
train,windows_overlap,PlFa,PlFa,25,26,1,3.6372251510620117,3.6372251510620117
train,windows_overlap,PlFa,PlFa,26,27,1,3.6372251510620117,3.6372251510620117
train,windows_overlap,PlFa,PlFa,27,28,1,2.522202650705973,2.522202650705973
train,windows_overlap,PlFa,PlFa,28,29,1,2.522202650705973,2.522202650705973
train,windows_overlap,PlFa,PlFa,29,30,1,2.522202650705973,2.522202650705973
train,windows_overlap,PlFa,PlFa,30,31,1,2.2750794092814126,2.2750794092814126
train,windows_overlap,PlFa,PlFa,31,32,1,2.2750794092814126,2.2750794092814126
train,windows_overlap,PlFa,PlFa,32,33,1,2.2750794092814126,2.2750794092814126
train,windows_overlap,PlFa,PlFa,33,34,1,1.9623344739278157,1.9623344739278157
train,windows_overlap,PlFa,PlFa,34,35,1,1.9623344739278157,1.9623344739278157
train,windows_overlap,PlFa,PlFa,35,36,1,1.9623344739278157,1.9623344739278157
train,windows_overlap,PlFa,PlFa,36,37,1,2.007922808329264,2.007922808329264
train,windows_overlap,PlFa,PlFa,37,38,1,2.007922808329264,2.007922808329264
train,windows_overlap,PlFa,PlFa,38,39,1,2.007922808329264,2.007922808329264
train,windows_overlap,PlFa,PlFa,39,40,1,1.0765910943349202,1.0765910943349202
train,windows_overlap,PlFa,PlFa,40,41,1,1.0765910943349202,1.0765910943349202
train,windows_overlap,PlFa,PlFa,41,42,1,1.0765910943349202,1.0765910943349202
train,windows_overlap,PlFa,PlFa,42,43,1,1.8969998359680176,1.8969998359680176
train,windows_overlap,PlFa,PlFa,43,44,1,1.8969998359680176,1.8969998359680176
train,windows_overlap,PlFa,PlFa,44,45,1,1.8969998359680176,1.8969998359680176
train,windows_overlap,PlFa,PlFa,45,46,1,1.1432708104451497,1.1432708104451497
train,windows_overlap,PlFa,PlFa,46,47,1,1.1432708104451497,1.1432708104451497
train,windows_overlap,PlFa,PlFa,47,48,1,1.1432708104451497,1.1432708104451497
train,windows_overlap,PlFa,PlFa,48,49,1,2.11260716120402,2.11260716120402
train,windows_overlap,PlFa,PlFa,49,50,1,2.11260716120402,2.11260716120402
train,windows_overlap,PlFa,PlFa,50,51,1,2.11260716120402,2.11260716120402
train,windows_overlap,PlFa,PlFa,51,52,1,1.5405707359313965,1.5405707359313965
train,windows_overlap,PlFa,PlFa,52,53,1,1.5405707359313965,1.5405707359313965
train,windows_overlap,PlFa,PlFa,53,54,1,1.5405707359313965,1.5405707359313965
train,windows_overlap,PlFa,PlFa,54,55,1,1.8431779543558757,1.8431779543558757
train,windows_overlap,PlFa,PlFa,55,56,1,1.8431779543558757,1.8431779543558757
train,windows_overlap,PlFa,PlFa,56,57,1,1.8431779543558757,1.8431779543558757
train,windows_overlap,PlFa,PlFa,57,58,1,2.0908958117167153,2.0908958117167153
train,windows_overlap,PlFa,PlFa,58,59,1,2.0908958117167153,2.0908958117167153
