split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,0,1,33,65.72426144282022,1.9916442861460673
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,1,2,33,65.72426144282022,1.9916442861460673
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,2,3,33,65.72426144282024,1.9916442861460677
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,3,4,33,63.940301736195885,1.937584901096845
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,4,5,33,63.940301736195885,1.937584901096845
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,5,6,33,63.940301736195885,1.937584901096845
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,6,7,33,66.43006761868794,2.013032352081453
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,7,8,33,66.43006761868794,2.013032352081453
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,8,9,33,66.43006761868794,2.013032352081453
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,9,10,33,65.98754771550496,1.999622658045605
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,10,11,33,65.98754771550496,1.999622658045605
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,11,12,33,65.98754771550496,1.999622658045605
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,12,13,33,65.80750409762064,1.994166790836989
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,13,14,33,65.80750409762065,1.9941667908369893
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,14,15,33,65.80750409762064,1.994166790836989
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,15,16,33,59.482986529668175,1.802514743323278
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,16,17,33,59.48298652966817,1.8025147433232778
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,17,18,33,59.482986529668175,1.802514743323278
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,18,19,33,61.29507368803024,1.857426475394856
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,19,20,33,61.29507368803024,1.857426475394856
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,20,21,33,61.29507368803024,1.857426475394856
train,windows_nonoverlap,saccharomyces_cerevisiae,saccharomyces_cerevisiae:III,21,22,33,61.4747048219045,1.8628698430880153
