split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,AeCa,AeCa,0,1,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,AeCa,AeCa,1,2,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,AeCa,AeCa,2,3,1,2.3006879488627114,2.3006879488627114
train,windows_overlap,AeCa,AeCa,3,4,1,2.596357822418213,2.596357822418213
train,windows_overlap,AeCa,AeCa,4,5,1,2.596357822418213,2.596357822418213
train,windows_overlap,AeCa,AeCa,5,6,1,2.596357822418213,2.596357822418213
train,windows_overlap,AeCa,AeCa,6,7,1,1.634796937306722,1.634796937306722
train,windows_overlap,AeCa,AeCa,7,8,1,1.634796937306722,1.634796937306722
train,windows_overlap,AeCa,AeCa,8,9,1,1.634796937306722,1.634796937306722
train,windows_overlap,AeCa,AeCa,9,10,1,2.0433198610941568,2.0433198610941568
train,windows_overlap,AeCa,AeCa,10,11,1,2.0433198610941568,2.0433198610941568
train,windows_overlap,AeCa,AeCa,11,12,1,2.0433198610941568,2.0433198610941568
train,windows_overlap,AeCa,AeCa,12,13,1,1.8249675432840984,1.8249675432840984
train,windows_overlap,AeCa,AeCa,13,14,1,1.8249675432840984,1.8249675432840984
train,windows_overlap,AeCa,AeCa,14,15,1,1.8249675432840984,1.8249675432840984
train,windows_overlap,AeCa,AeCa,15,16,1,1.9918708801269531,1.9918708801269531
train,windows_overlap,AeCa,AeCa,16,17,1,1.9918708801269531,1.9918708801269531
train,windows_overlap,AeCa,AeCa,17,18,1,1.9918708801269531,1.9918708801269531
train,windows_overlap,AeCa,AeCa,18,19,1,2.9627418518066406,2.9627418518066406
train,windows_overlap,AeCa,AeCa,19,20,1,2.9627418518066406,2.9627418518066406
train,windows_overlap,AeCa,AeCa,20,21,1,2.9627418518066406,2.9627418518066406
train,windows_overlap,AeCa,AeCa,21,22,1,1.7882529894510906,1.7882529894510906
train,windows_overlap,AeCa,AeCa,22,23,1,1.7882529894510906,1.7882529894510906
train,windows_overlap,AeCa,AeCa,23,24,1,1.7882529894510906,1.7882529894510906
train,windows_overlap,AeCa,AeCa,24,25,1,2.0354086558024087,2.0354086558024087
train,windows_overlap,AeCa,AeCa,25,26,1,2.0354086558024087,2.0354086558024087
train,windows_overlap,AeCa,AeCa,26,27,1,2.0354086558024087,2.0354086558024087
train,windows_overlap,AeCa,AeCa,27,28,1,2.3172410329182944,2.3172410329182944
train,windows_overlap,AeCa,AeCa,28,29,1,2.3172410329182944,2.3172410329182944
train,windows_overlap,AeCa,AeCa,29,30,1,2.3172410329182944,2.3172410329182944
train,windows_overlap,AeCa,AeCa,30,31,1,2.284424146016439,2.284424146016439
train,windows_overlap,AeCa,AeCa,31,32,1,2.284424146016439,2.284424146016439
train,windows_overlap,AeCa,AeCa,32,33,1,2.284424146016439,2.284424146016439
train,windows_overlap,AeCa,AeCa,33,34,1,2.2287281354268393,2.2287281354268393
train,windows_overlap,AeCa,AeCa,34,35,1,2.2287281354268393,2.2287281354268393
train,windows_overlap,AeCa,AeCa,35,36,1,2.2287281354268393,2.2287281354268393
train,windows_overlap,AeCa,AeCa,36,37,1,2.397664229075114,2.397664229075114
train,windows_overlap,AeCa,AeCa,37,38,1,2.397664229075114,2.397664229075114
train,windows_overlap,AeCa,AeCa,38,39,1,2.397664229075114,2.397664229075114
train,windows_overlap,AeCa,AeCa,39,40,1,1.706701119740804,1.706701119740804
train,windows_overlap,AeCa,AeCa,40,41,1,1.706701119740804,1.706701119740804
train,windows_overlap,AeCa,AeCa,41,42,1,1.706701119740804,1.706701119740804
train,windows_overlap,AeCa,AeCa,42,43,1,1.7459472020467122,1.7459472020467122
train,windows_overlap,AeCa,AeCa,43,44,1,1.7459472020467122,1.7459472020467122
train,windows_overlap,AeCa,AeCa,44,45,1,1.7459472020467122,1.7459472020467122
train,windows_overlap,AeCa,AeCa,45,46,1,1.8343532880147297,1.8343532880147297
train,windows_overlap,AeCa,AeCa,46,47,1,1.8343532880147297,1.8343532880147297
train,windows_overlap,AeCa,AeCa,47,48,1,1.8343532880147297,1.8343532880147297
train,windows_overlap,AeCa,AeCa,48,49,1,2.056907812754313,2.056907812754313
train,windows_overlap,AeCa,AeCa,49,50,1,2.056907812754313,2.056907812754313
train,windows_overlap,AeCa,AeCa,50,51,1,2.056907812754313,2.056907812754313
train,windows_overlap,AeCa,AeCa,51,52,1,1.854190985361735,1.854190985361735
train,windows_overlap,AeCa,AeCa,52,53,1,1.854190985361735,1.854190985361735
train,windows_overlap,AeCa,AeCa,53,54,1,1.854190985361735,1.854190985361735
train,windows_overlap,AeCa,AeCa,54,55,1,1.6193653742472331,1.6193653742472331
train,windows_overlap,AeCa,AeCa,55,56,1,1.6193653742472331,1.6193653742472331
train,windows_overlap,AeCa,AeCa,56,57,1,1.6193653742472331,1.6193653742472331
train,windows_overlap,AeCa,AeCa,57,58,1,1.9423921902974446,1.9423921902974446
train,windows_overlap,AeCa,AeCa,58,59,1,1.9423921902974446,1.9423921902974446
train,windows_overlap,AeCa,AeCa,59,60,1,1.9423921902974446,1.9423921902974446
train,windows_overlap,AeCa,AeCa,60,61,1,1.704858620961507,1.704858620961507
train,windows_overlap,AeCa,AeCa,61,62,1,1.704858620961507,1.704858620961507
train,windows_overlap,AeCa,AeCa,62,63,1,1.704858620961507,1.704858620961507
