split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,AnCa,AnCa,0,1,20,40.47500467300415,2.0237502336502073
train,windows_nonoverlap,AnCa,AnCa,1,2,20,40.47500467300415,2.0237502336502073
train,windows_nonoverlap,AnCa,AnCa,2,3,20,40.47500467300415,2.0237502336502073
train,windows_nonoverlap,AnCa,AnCa,3,4,20,39.29267565409342,1.9646337827046711
train,windows_nonoverlap,AnCa,AnCa,4,5,20,39.29267565409342,1.9646337827046711
train,windows_nonoverlap,AnCa,AnCa,5,6,20,39.29267565409342,1.9646337827046711
train,windows_nonoverlap,AnCa,AnCa,6,7,20,37.62574927012126,1.881287463506063
train,windows_nonoverlap,AnCa,AnCa,7,8,20,37.62574927012126,1.881287463506063
train,windows_nonoverlap,AnCa,AnCa,8,9,20,37.625749270121254,1.8812874635060628
train,windows_nonoverlap,AnCa,AnCa,9,10,20,37.81853628158569,1.8909268140792848
train,windows_nonoverlap,AnCa,AnCa,10,11,20,37.81853628158569,1.8909268140792848
train,windows_nonoverlap,AnCa,AnCa,11,12,20,37.81853628158569,1.8909268140792848
train,windows_nonoverlap,AnCa,AnCa,12,13,20,40.13417037328084,2.006708518664042
train,windows_nonoverlap,AnCa,AnCa,13,14,20,40.13417037328084,2.006708518664042
train,windows_nonoverlap,AnCa,AnCa,14,15,20,40.13417037328084,2.006708518664042
train,windows_nonoverlap,AnCa,AnCa,15,16,20,38.781720320383705,1.9390860160191852
train,windows_nonoverlap,AnCa,AnCa,16,17,20,38.78172032038371,1.9390860160191856
train,windows_nonoverlap,AnCa,AnCa,17,18,20,38.781720320383705,1.9390860160191852
train,windows_nonoverlap,AnCa,AnCa,18,19,20,42.42916695276896,2.121458347638448
train,windows_nonoverlap,AnCa,AnCa,19,20,20,42.429166952768966,2.1214583476384483
train,windows_nonoverlap,AnCa,AnCa,20,21,20,42.429166952768966,2.1214583476384483
train,windows_nonoverlap,AnCa,AnCa,21,22,20,39.67931890487671,1.9839659452438354
train,windows_nonoverlap,AnCa,AnCa,22,23,20,39.67931890487671,1.9839659452438354
train,windows_nonoverlap,AnCa,AnCa,23,24,20,39.67931890487671,1.9839659452438354
train,windows_nonoverlap,AnCa,AnCa,24,25,20,38.54547882080078,1.927273941040039
train,windows_nonoverlap,AnCa,AnCa,25,26,20,38.54547882080078,1.927273941040039
train,windows_nonoverlap,AnCa,AnCa,26,27,20,38.54547882080078,1.927273941040039
train,windows_nonoverlap,AnCa,AnCa,27,28,20,36.99568112691244,1.8497840563456218
train,windows_nonoverlap,AnCa,AnCa,28,29,20,36.99568112691244,1.8497840563456218
train,windows_nonoverlap,AnCa,AnCa,29,30,20,36.99568112691244,1.8497840563456218
train,windows_nonoverlap,AnCa,AnCa,30,31,20,37.926574309666954,1.8963287154833477
train,windows_nonoverlap,AnCa,AnCa,31,32,20,37.926574309666954,1.8963287154833477
train,windows_nonoverlap,AnCa,AnCa,32,33,20,37.926574309666954,1.8963287154833477
train,windows_nonoverlap,AnCa,AnCa,33,34,20,38.090600649515785,1.9045300324757892
train,windows_nonoverlap,AnCa,AnCa,34,35,20,38.090600649515785,1.9045300324757892
train,windows_nonoverlap,AnCa,AnCa,35,36,20,38.090600649515785,1.9045300324757892
train,windows_nonoverlap,AnCa,AnCa,36,37,20,38.18697174390157,1.9093485871950786
train,windows_nonoverlap,AnCa,AnCa,37,38,20,38.18697174390157,1.9093485871950786
train,windows_nonoverlap,AnCa,AnCa,38,39,20,38.186971743901566,1.9093485871950784
train,windows_nonoverlap,AnCa,AnCa,39,40,20,39.39456955591837,1.9697284777959188
train,windows_nonoverlap,AnCa,AnCa,40,41,20,39.39456955591837,1.9697284777959188
train,windows_nonoverlap,AnCa,AnCa,41,42,20,39.39456955591837,1.9697284777959188
train,windows_nonoverlap,AnCa,AnCa,42,43,20,38.32614715894063,1.9163073579470313
train,windows_nonoverlap,AnCa,AnCa,43,44,20,38.326147158940636,1.9163073579470318
train,windows_nonoverlap,AnCa,AnCa,44,45,20,38.32614715894063,1.9163073579470313
train,windows_nonoverlap,AnCa,AnCa,45,46,20,37.069233417510986,1.8534616708755494
train,windows_nonoverlap,AnCa,AnCa,46,47,20,37.069233417510986,1.8534616708755494
train,windows_nonoverlap,AnCa,AnCa,47,48,20,37.069233417510986,1.8534616708755494
train,windows_nonoverlap,AnCa,AnCa,48,49,20,36.597048600514725,1.8298524300257362
train,windows_nonoverlap,AnCa,AnCa,49,50,20,36.597048600514725,1.8298524300257362
train,windows_nonoverlap,AnCa,AnCa,50,51,20,36.597048600514725,1.8298524300257362
train,windows_nonoverlap,AnCa,AnCa,51,52,20,39.60079916318258,1.980039958159129
train,windows_nonoverlap,AnCa,AnCa,52,53,20,39.60079916318257,1.9800399581591286
train,windows_nonoverlap,AnCa,AnCa,53,54,20,39.60079916318258,1.980039958159129
train,windows_nonoverlap,AnCa,AnCa,54,55,20,39.68134514490763,1.9840672572453815
train,windows_nonoverlap,AnCa,AnCa,55,56,20,39.68134514490764,1.984067257245382
train,windows_nonoverlap,AnCa,AnCa,56,57,20,39.68134514490763,1.9840672572453815
train,windows_nonoverlap,AnCa,AnCa,57,58,20,39.08634503682454,1.954317251841227
train,windows_nonoverlap,AnCa,AnCa,58,59,20,39.08634503682455,1.9543172518412273
train,windows_nonoverlap,AnCa,AnCa,59,60,20,39.08634503682455,1.9543172518412273
train,windows_nonoverlap,AnCa,AnCa,60,61,20,40.41716512044271,2.0208582560221355
train,windows_nonoverlap,AnCa,AnCa,61,62,20,40.41716512044271,2.0208582560221355
train,windows_nonoverlap,AnCa,AnCa,62,63,20,40.41716512044271,2.0208582560221355
train,windows_nonoverlap,AnCa,AnCa,63,64,20,40.78830226262411,2.0394151131312053
train,windows_nonoverlap,AnCa,AnCa,64,65,20,40.78830226262411,2.0394151131312053
train,windows_nonoverlap,AnCa,AnCa,65,66,20,40.7883022626241,2.039415113131205
train,windows_nonoverlap,AnCa,AnCa,66,67,20,38.685423056284584,1.9342711528142291
train,windows_nonoverlap,AnCa,AnCa,67,68,20,38.685423056284584,1.9342711528142291
train,windows_nonoverlap,AnCa,AnCa,68,69,20,38.685423056284584,1.9342711528142291
train,windows_nonoverlap,AnCa,AnCa,69,70,20,38.31334845225016,1.915667422612508
train,windows_nonoverlap,AnCa,AnCa,70,71,20,38.31334845225016,1.915667422612508
train,windows_nonoverlap,AnCa,AnCa,71,72,20,38.31334845225016,1.915667422612508
train,windows_nonoverlap,AnCa,AnCa,72,73,20,40.82356444994608,2.041178222497304
train,windows_nonoverlap,AnCa,AnCa,73,74,20,40.82356444994608,2.041178222497304
train,windows_nonoverlap,AnCa,AnCa,74,75,20,40.82356444994609,2.0411782224973045
train,windows_nonoverlap,AnCa,AnCa,75,76,20,39.46629079182943,1.9733145395914715
train,windows_nonoverlap,AnCa,AnCa,76,77,20,39.46629079182943,1.9733145395914715
train,windows_nonoverlap,AnCa,AnCa,77,78,20,39.46629079182943,1.9733145395914715
train,windows_nonoverlap,AnCa,AnCa,78,79,20,38.242828369140625,1.9121414184570313
train,windows_nonoverlap,AnCa,AnCa,79,80,20,38.242828369140625,1.9121414184570313
train,windows_nonoverlap,AnCa,AnCa,80,81,20,38.242828369140625,1.9121414184570313
train,windows_nonoverlap,AnCa,AnCa,81,82,20,37.72411489486694,1.8862057447433471
train,windows_nonoverlap,AnCa,AnCa,82,83,20,37.72411489486694,1.8862057447433471
train,windows_nonoverlap,AnCa,AnCa,83,84,20,37.72411489486694,1.8862057447433471
train,windows_nonoverlap,AnCa,AnCa,84,85,20,38.81545162200928,1.940772581100464
train,windows_nonoverlap,AnCa,AnCa,85,86,20,38.81545162200928,1.940772581100464
train,windows_nonoverlap,AnCa,AnCa,86,87,20,38.81545162200928,1.940772581100464
train,windows_nonoverlap,AnCa,AnCa,87,88,20,37.63046932220459,1.8815234661102296
train,windows_nonoverlap,AnCa,AnCa,88,89,20,37.63046932220459,1.8815234661102296
train,windows_nonoverlap,AnCa,AnCa,89,90,20,37.63046932220459,1.8815234661102296
train,windows_nonoverlap,AnCa,AnCa,90,91,20,37.61134274800618,1.880567137400309
train,windows_nonoverlap,AnCa,AnCa,91,92,20,37.61134274800619,1.8805671374003095
train,windows_nonoverlap,AnCa,AnCa,92,93,20,37.61134274800618,1.880567137400309
train,windows_nonoverlap,AnCa,AnCa,93,94,20,39.03419303894043,1.9517096519470214
train,windows_nonoverlap,AnCa,AnCa,94,95,20,39.03419303894043,1.9517096519470214
train,windows_nonoverlap,AnCa,AnCa,95,96,20,39.03419303894043,1.9517096519470214
train,windows_nonoverlap,AnCa,AnCa,96,97,20,38.85865990320841,1.9429329951604206
train,windows_nonoverlap,AnCa,AnCa,97,98,20,38.85865990320841,1.9429329951604206
train,windows_nonoverlap,AnCa,AnCa,98,99,20,38.85865990320841,1.9429329951604206
train,windows_nonoverlap,AnCa,AnCa,99,100,20,36.41603525479634,1.820801762739817
train,windows_nonoverlap,AnCa,AnCa,100,101,20,36.41603525479635,1.8208017627398174
train,windows_nonoverlap,AnCa,AnCa,101,102,20,36.41603525479635,1.8208017627398174
train,windows_nonoverlap,AnCa,AnCa,102,103,20,37.384351332982384,1.869217566649119
train,windows_nonoverlap,AnCa,AnCa,103,104,20,37.38435133298238,1.8692175666491189
train,windows_nonoverlap,AnCa,AnCa,104,105,20,37.38435133298238,1.8692175666491189
train,windows_nonoverlap,AnCa,AnCa,105,106,20,36.58467941482862,1.8292339707414311
train,windows_nonoverlap,AnCa,AnCa,106,107,20,36.584679414828614,1.8292339707414307
train,windows_nonoverlap,AnCa,AnCa,107,108,20,36.58467941482862,1.8292339707414311
train,windows_nonoverlap,AnCa,AnCa,108,109,20,38.960890134175614,1.9480445067087806
train,windows_nonoverlap,AnCa,AnCa,109,110,20,38.96089013417562,1.948044506708781
train,windows_nonoverlap,AnCa,AnCa,110,111,20,38.96089013417562,1.948044506708781
train,windows_nonoverlap,AnCa,AnCa,111,112,20,39.39776945114136,1.9698884725570678
train,windows_nonoverlap,AnCa,AnCa,112,113,20,39.39776945114136,1.9698884725570678
train,windows_nonoverlap,AnCa,AnCa,113,114,20,39.39776945114136,1.9698884725570678
train,windows_nonoverlap,AnCa,AnCa,114,115,20,39.99145221710205,1.9995726108551026
train,windows_nonoverlap,AnCa,AnCa,115,116,20,39.99145221710205,1.9995726108551026
train,windows_nonoverlap,AnCa,AnCa,116,117,20,39.99145221710205,1.9995726108551026
train,windows_nonoverlap,AnCa,AnCa,117,118,20,39.73223876953125,1.9866119384765626
