split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,EnIn,EnIn,0,1,1,1.3388911883036296,1.3388911883036296
train,windows_overlap,EnIn,EnIn,1,2,1,1.3388911883036296,1.3388911883036296
train,windows_overlap,EnIn,EnIn,2,3,1,1.3388911883036296,1.3388911883036296
train,windows_overlap,EnIn,EnIn,3,4,1,1.2356278896331787,1.2356278896331787
train,windows_overlap,EnIn,EnIn,4,5,1,1.2356278896331787,1.2356278896331787
train,windows_overlap,EnIn,EnIn,5,6,1,1.2356278896331787,1.2356278896331787
train,windows_overlap,EnIn,EnIn,6,7,1,2.726589838663737,2.726589838663737
train,windows_overlap,EnIn,EnIn,7,8,1,2.726589838663737,2.726589838663737
train,windows_overlap,EnIn,EnIn,8,9,1,2.726589838663737,2.726589838663737
train,windows_overlap,EnIn,EnIn,9,10,1,2.358109633127848,2.358109633127848
train,windows_overlap,EnIn,EnIn,10,11,1,2.358109633127848,2.358109633127848
train,windows_overlap,EnIn,EnIn,11,12,1,2.358109633127848,2.358109633127848
train,windows_overlap,EnIn,EnIn,12,13,1,2.5643328030904136,2.5643328030904136
train,windows_overlap,EnIn,EnIn,13,14,1,2.5643328030904136,2.5643328030904136
train,windows_overlap,EnIn,EnIn,14,15,1,2.5643328030904136,2.5643328030904136
train,windows_overlap,EnIn,EnIn,15,16,1,1.978683312733968,1.978683312733968
train,windows_overlap,EnIn,EnIn,16,17,1,1.978683312733968,1.978683312733968
train,windows_overlap,EnIn,EnIn,17,18,1,1.978683312733968,1.978683312733968
train,windows_overlap,EnIn,EnIn,18,19,1,1.8237196604410808,1.8237196604410808
train,windows_overlap,EnIn,EnIn,19,20,1,1.8237196604410808,1.8237196604410808
train,windows_overlap,EnIn,EnIn,20,21,1,1.8237196604410808,1.8237196604410808
train,windows_overlap,EnIn,EnIn,21,22,1,1.5164780616760254,1.5164780616760254
train,windows_overlap,EnIn,EnIn,22,23,1,1.5164780616760254,1.5164780616760254
train,windows_overlap,EnIn,EnIn,23,24,1,1.5164780616760254,1.5164780616760254
train,windows_overlap,EnIn,EnIn,24,25,1,1.509578545888265,1.509578545888265
train,windows_overlap,EnIn,EnIn,25,26,1,1.509578545888265,1.509578545888265
train,windows_overlap,EnIn,EnIn,26,27,1,1.509578545888265,1.509578545888265
train,windows_overlap,EnIn,EnIn,27,28,1,1.8774776458740234,1.8774776458740234
