split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,HePy,HePy,0,1,20,41.20477517445882,2.060238758722941
train,windows_nonoverlap,HePy,HePy,1,2,20,41.20477517445882,2.060238758722941
train,windows_nonoverlap,HePy,HePy,2,3,20,41.20477517445882,2.060238758722941
train,windows_nonoverlap,HePy,HePy,3,4,20,39.51808349291483,1.9759041746457418
train,windows_nonoverlap,HePy,HePy,4,5,20,39.51808349291484,1.975904174645742
train,windows_nonoverlap,HePy,HePy,5,6,20,39.51808349291483,1.9759041746457418
train,windows_nonoverlap,HePy,HePy,6,7,20,39.98076184590657,1.9990380922953286
train,windows_nonoverlap,HePy,HePy,7,8,20,39.98076184590658,1.9990380922953288
train,windows_nonoverlap,HePy,HePy,8,9,20,39.98076184590658,1.9990380922953288
train,windows_nonoverlap,HePy,HePy,9,10,20,46.24892584482829,2.3124462922414146
train,windows_nonoverlap,HePy,HePy,10,11,20,46.24892584482829,2.3124462922414146
train,windows_nonoverlap,HePy,HePy,11,12,20,46.248925844828285,2.312446292241414
train,windows_nonoverlap,HePy,HePy,12,13,20,37.0233314037323,1.851166570186615
train,windows_nonoverlap,HePy,HePy,13,14,20,37.0233314037323,1.851166570186615
train,windows_nonoverlap,HePy,HePy,14,15,20,37.0233314037323,1.851166570186615
train,windows_nonoverlap,HePy,HePy,15,16,20,40.28651245435079,2.0143256227175397
train,windows_nonoverlap,HePy,HePy,16,17,20,40.28651245435079,2.0143256227175397
train,windows_nonoverlap,HePy,HePy,17,18,20,40.28651245435079,2.0143256227175397
train,windows_nonoverlap,HePy,HePy,18,19,20,36.391858657201134,1.8195929328600566
train,windows_nonoverlap,HePy,HePy,19,20,20,36.39185865720113,1.8195929328600564
train,windows_nonoverlap,HePy,HePy,20,21,20,36.391858657201134,1.8195929328600566
train,windows_nonoverlap,HePy,HePy,21,22,20,40.507288694381714,2.025364434719086
train,windows_nonoverlap,HePy,HePy,22,23,20,40.507288694381714,2.025364434719086
train,windows_nonoverlap,HePy,HePy,23,24,20,40.507288694381714,2.025364434719086
train,windows_nonoverlap,HePy,HePy,24,25,20,39.138181845347084,1.9569090922673542
train,windows_nonoverlap,HePy,HePy,25,26,20,39.13818184534709,1.9569090922673547
train,windows_nonoverlap,HePy,HePy,26,27,20,39.138181845347084,1.9569090922673542
train,windows_nonoverlap,HePy,HePy,27,28,20,36.810052951176964,1.8405026475588482
train,windows_nonoverlap,HePy,HePy,28,29,20,36.810052951176964,1.8405026475588482
train,windows_nonoverlap,HePy,HePy,29,30,20,36.810052951176964,1.8405026475588482
train,windows_nonoverlap,HePy,HePy,30,31,20,39.46770977973938,1.973385488986969
train,windows_nonoverlap,HePy,HePy,31,32,20,39.46770977973938,1.973385488986969
train,windows_nonoverlap,HePy,HePy,32,33,20,39.46770977973938,1.973385488986969
