split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,0,1,7,13.327063878377277,1.903866268339611
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,1,2,7,13.327063878377277,1.903866268339611
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,2,3,7,13.327063878377277,1.903866268339611
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,3,4,7,11.660252888997395,1.6657504127139136
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,4,5,7,11.660252888997395,1.6657504127139136
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,5,6,7,11.660252888997395,1.6657504127139136
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,6,7,7,12.62262733777364,1.8032324768248056
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,7,8,7,12.62262733777364,1.8032324768248056
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,8,9,7,12.62262733777364,1.8032324768248056
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,9,10,7,12.944841384887695,1.8492630549839564
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,10,11,7,12.944841384887695,1.8492630549839564
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,11,12,7,12.944841384887695,1.8492630549839564
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,12,13,7,13.28498379389445,1.897854827699207
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,13,14,7,13.28498379389445,1.897854827699207
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,14,15,7,13.28498379389445,1.897854827699207
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,15,16,7,12.828641255696615,1.8326630365280878
train,windows_nonoverlap,drosophila_melanogaster,drosophila_melanogaster:mitochondrion_genome,16,17,7,12.828641255696615,1.8326630365280878
