split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,OrSa,OrSa,0,1,20,40.76605987548828,2.038302993774414
train,windows_nonoverlap,OrSa,OrSa,1,2,20,40.76605987548828,2.038302993774414
train,windows_nonoverlap,OrSa,OrSa,2,3,20,40.76605987548828,2.038302993774414
train,windows_nonoverlap,OrSa,OrSa,3,4,20,39.369758447011314,1.9684879223505658
train,windows_nonoverlap,OrSa,OrSa,4,5,20,39.369758447011314,1.9684879223505658
train,windows_nonoverlap,OrSa,OrSa,5,6,20,39.369758447011314,1.9684879223505658
train,windows_nonoverlap,OrSa,OrSa,6,7,20,38.94205490748087,1.9471027453740437
train,windows_nonoverlap,OrSa,OrSa,7,8,20,38.94205490748087,1.9471027453740437
train,windows_nonoverlap,OrSa,OrSa,8,9,20,38.94205490748087,1.9471027453740437
train,windows_nonoverlap,OrSa,OrSa,9,10,20,38.64320055643718,1.932160027821859
train,windows_nonoverlap,OrSa,OrSa,10,11,20,38.64320055643717,1.9321600278218587
train,windows_nonoverlap,OrSa,OrSa,11,12,20,38.64320055643717,1.9321600278218587
train,windows_nonoverlap,OrSa,OrSa,12,13,20,38.567305644353226,1.9283652822176613
train,windows_nonoverlap,OrSa,OrSa,13,14,20,38.56730564435323,1.9283652822176616
train,windows_nonoverlap,OrSa,OrSa,14,15,20,38.56730564435323,1.9283652822176616
train,windows_nonoverlap,OrSa,OrSa,15,16,20,39.690181016922,1.9845090508460999
train,windows_nonoverlap,OrSa,OrSa,16,17,20,39.690181016922,1.9845090508460999
train,windows_nonoverlap,OrSa,OrSa,17,18,20,39.690181016922,1.9845090508460999
train,windows_nonoverlap,OrSa,OrSa,18,19,20,36.325399557749435,1.8162699778874718
train,windows_nonoverlap,OrSa,OrSa,19,20,20,36.32539955774943,1.8162699778874714
train,windows_nonoverlap,OrSa,OrSa,20,21,20,36.325399557749435,1.8162699778874718
train,windows_nonoverlap,OrSa,OrSa,21,22,20,39.09721295038859,1.9548606475194295
train,windows_nonoverlap,OrSa,OrSa,22,23,20,39.09721295038859,1.9548606475194295
train,windows_nonoverlap,OrSa,OrSa,23,24,20,39.097212950388595,1.9548606475194297
train,windows_nonoverlap,OrSa,OrSa,24,25,20,37.314642667770386,1.8657321333885193
train,windows_nonoverlap,OrSa,OrSa,25,26,20,37.314642667770386,1.8657321333885193
train,windows_nonoverlap,OrSa,OrSa,26,27,20,37.314642667770386,1.8657321333885193
train,windows_nonoverlap,OrSa,OrSa,27,28,20,36.974690556526184,1.8487345278263092
train,windows_nonoverlap,OrSa,OrSa,28,29,20,36.974690556526184,1.8487345278263092
train,windows_nonoverlap,OrSa,OrSa,29,30,20,36.974690556526184,1.8487345278263092
train,windows_nonoverlap,OrSa,OrSa,30,31,20,36.77118515968323,1.8385592579841614
train,windows_nonoverlap,OrSa,OrSa,31,32,20,36.77118515968323,1.8385592579841614
train,windows_nonoverlap,OrSa,OrSa,32,33,20,36.77118515968323,1.8385592579841614
train,windows_nonoverlap,OrSa,OrSa,33,34,20,34.971634685993195,1.7485817342996597
train,windows_nonoverlap,OrSa,OrSa,34,35,20,34.971634685993195,1.7485817342996597
train,windows_nonoverlap,OrSa,OrSa,35,36,20,34.971634685993195,1.7485817342996597
train,windows_nonoverlap,OrSa,OrSa,36,37,20,36.239292204380035,1.8119646102190017
train,windows_nonoverlap,OrSa,OrSa,37,38,20,36.239292204380035,1.8119646102190017
train,windows_nonoverlap,OrSa,OrSa,38,39,20,36.239292204380035,1.8119646102190017
train,windows_nonoverlap,OrSa,OrSa,39,40,20,34.01761174201965,1.7008805871009827
train,windows_nonoverlap,OrSa,OrSa,40,41,20,34.01761174201965,1.7008805871009827
train,windows_nonoverlap,OrSa,OrSa,41,42,20,34.01761174201965,1.7008805871009827
train,windows_nonoverlap,OrSa,OrSa,42,43,20,39.938676595687866,1.9969338297843933
train,windows_nonoverlap,OrSa,OrSa,43,44,20,39.938676595687866,1.9969338297843933
train,windows_nonoverlap,OrSa,OrSa,44,45,20,39.938676595687866,1.9969338297843933
train,windows_nonoverlap,OrSa,OrSa,45,46,20,37.10821135838827,1.8554105679194133
train,windows_nonoverlap,OrSa,OrSa,46,47,20,37.10821135838827,1.8554105679194133
train,windows_nonoverlap,OrSa,OrSa,47,48,20,37.10821135838826,1.855410567919413
train,windows_nonoverlap,OrSa,OrSa,48,49,20,33.9886329472065,1.6994316473603248
train,windows_nonoverlap,OrSa,OrSa,49,50,20,33.9886329472065,1.6994316473603248
train,windows_nonoverlap,OrSa,OrSa,50,51,20,33.9886329472065,1.6994316473603248
train,windows_nonoverlap,OrSa,OrSa,51,52,20,33.096054961284004,1.6548027480642002
train,windows_nonoverlap,OrSa,OrSa,52,53,20,33.096054961284004,1.6548027480642002
train,windows_nonoverlap,OrSa,OrSa,53,54,20,33.096054961284004,1.6548027480642002
train,windows_nonoverlap,OrSa,OrSa,54,55,20,33.58984136581421,1.6794920682907104
train,windows_nonoverlap,OrSa,OrSa,55,56,20,33.58984136581421,1.6794920682907104
train,windows_nonoverlap,OrSa,OrSa,56,57,20,33.58984136581421,1.6794920682907104
train,windows_nonoverlap,OrSa,OrSa,57,58,20,36.84586332241694,1.842293166120847
train,windows_nonoverlap,OrSa,OrSa,58,59,20,36.84586332241694,1.842293166120847
train,windows_nonoverlap,OrSa,OrSa,59,60,20,36.84586332241694,1.842293166120847
train,windows_nonoverlap,OrSa,OrSa,60,61,20,35.404961585998535,1.7702480792999267
train,windows_nonoverlap,OrSa,OrSa,61,62,20,35.404961585998535,1.7702480792999267
train,windows_nonoverlap,OrSa,OrSa,62,63,20,35.404961585998535,1.7702480792999267
train,windows_nonoverlap,OrSa,OrSa,63,64,20,37.1877059340477,1.859385296702385
train,windows_nonoverlap,OrSa,OrSa,64,65,20,37.1877059340477,1.859385296702385
train,windows_nonoverlap,OrSa,OrSa,65,66,20,37.1877059340477,1.859385296702385
train,windows_nonoverlap,OrSa,OrSa,66,67,20,39.31514501571655,1.9657572507858276
train,windows_nonoverlap,OrSa,OrSa,67,68,20,39.31514501571655,1.9657572507858276
train,windows_nonoverlap,OrSa,OrSa,68,69,20,39.31514501571655,1.9657572507858276
train,windows_nonoverlap,OrSa,OrSa,69,70,20,37.521815061569214,1.8760907530784607
train,windows_nonoverlap,OrSa,OrSa,70,71,20,37.521815061569214,1.8760907530784607
train,windows_nonoverlap,OrSa,OrSa,71,72,20,37.521815061569214,1.8760907530784607
train,windows_nonoverlap,OrSa,OrSa,72,73,20,36.43616209427516,1.821808104713758
train,windows_nonoverlap,OrSa,OrSa,73,74,20,36.436162094275154,1.8218081047137578
train,windows_nonoverlap,OrSa,OrSa,74,75,20,36.436162094275154,1.8218081047137578
train,windows_nonoverlap,OrSa,OrSa,75,76,20,36.54678114255269,1.8273390571276344
train,windows_nonoverlap,OrSa,OrSa,76,77,20,36.546781142552696,1.827339057127635
train,windows_nonoverlap,OrSa,OrSa,77,78,20,36.54678114255269,1.8273390571276344
train,windows_nonoverlap,OrSa,OrSa,78,79,20,38.10091257095337,1.9050456285476685
train,windows_nonoverlap,OrSa,OrSa,79,80,20,38.10091257095337,1.9050456285476685
train,windows_nonoverlap,OrSa,OrSa,80,81,20,38.10091257095337,1.9050456285476685
train,windows_nonoverlap,OrSa,OrSa,81,82,20,35.454719523588814,1.7727359761794408
train,windows_nonoverlap,OrSa,OrSa,82,83,20,35.454719523588814,1.7727359761794408
train,windows_nonoverlap,OrSa,OrSa,83,84,20,35.45471952358882,1.772735976179441
train,windows_nonoverlap,OrSa,OrSa,84,85,20,34.089927196502686,1.7044963598251344
train,windows_nonoverlap,OrSa,OrSa,85,86,20,34.089927196502686,1.7044963598251344
train,windows_nonoverlap,OrSa,OrSa,86,87,20,34.089927196502686,1.7044963598251344
train,windows_nonoverlap,OrSa,OrSa,87,88,20,35.01553304990133,1.7507766524950665
train,windows_nonoverlap,OrSa,OrSa,88,89,20,35.01553304990132,1.750776652495066
train,windows_nonoverlap,OrSa,OrSa,89,90,20,35.01553304990132,1.750776652495066
train,windows_nonoverlap,OrSa,OrSa,90,91,20,34.420525486270584,1.7210262743135292
train,windows_nonoverlap,OrSa,OrSa,91,92,20,34.420525486270584,1.7210262743135292
train,windows_nonoverlap,OrSa,OrSa,92,93,20,34.420525486270584,1.7210262743135292
train,windows_nonoverlap,OrSa,OrSa,93,94,20,34.608952045440674,1.7304476022720336
train,windows_nonoverlap,OrSa,OrSa,94,95,20,34.608952045440674,1.7304476022720336
train,windows_nonoverlap,OrSa,OrSa,95,96,20,34.608952045440674,1.7304476022720336
train,windows_nonoverlap,OrSa,OrSa,96,97,20,37.75873875617981,1.8879369378089905
train,windows_nonoverlap,OrSa,OrSa,97,98,20,37.75873875617981,1.8879369378089905
train,windows_nonoverlap,OrSa,OrSa,98,99,20,37.75873875617981,1.8879369378089905
train,windows_nonoverlap,OrSa,OrSa,99,100,20,37.790169874827065,1.8895084937413533
train,windows_nonoverlap,OrSa,OrSa,100,101,20,37.790169874827065,1.8895084937413533
train,windows_nonoverlap,OrSa,OrSa,101,102,20,37.79016987482707,1.8895084937413535
train,windows_nonoverlap,OrSa,OrSa,102,103,20,35.45669510960579,1.7728347554802895
train,windows_nonoverlap,OrSa,OrSa,103,104,20,35.45669510960579,1.7728347554802895
train,windows_nonoverlap,OrSa,OrSa,104,105,20,35.45669510960579,1.7728347554802895
train,windows_nonoverlap,OrSa,OrSa,105,106,20,36.42441534996033,1.8212207674980163
train,windows_nonoverlap,OrSa,OrSa,106,107,20,36.42441534996033,1.8212207674980163
train,windows_nonoverlap,OrSa,OrSa,107,108,20,36.42441534996033,1.8212207674980163
train,windows_nonoverlap,OrSa,OrSa,108,109,20,33.48958468437195,1.6744792342185975
train,windows_nonoverlap,OrSa,OrSa,109,110,20,33.48958468437195,1.6744792342185975
train,windows_nonoverlap,OrSa,OrSa,110,111,20,33.48958468437195,1.6744792342185975
train,windows_nonoverlap,OrSa,OrSa,111,112,20,36.80087959766388,1.840043979883194
train,windows_nonoverlap,OrSa,OrSa,112,113,20,36.80087959766388,1.840043979883194
train,windows_nonoverlap,OrSa,OrSa,113,114,20,36.80087959766388,1.840043979883194
train,windows_nonoverlap,OrSa,OrSa,114,115,20,37.17627551158269,1.8588137755791343
train,windows_nonoverlap,OrSa,OrSa,115,116,20,37.17627551158269,1.8588137755791343
train,windows_nonoverlap,OrSa,OrSa,116,117,20,37.17627551158269,1.8588137755791343
train,windows_nonoverlap,OrSa,OrSa,117,118,20,35.980484088261925,1.7990242044130962
train,windows_nonoverlap,OrSa,OrSa,118,119,20,35.980484088261925,1.7990242044130962
train,windows_nonoverlap,OrSa,OrSa,119,120,20,35.980484088261925,1.7990242044130962
train,windows_nonoverlap,OrSa,OrSa,120,121,20,34.317066947619125,1.7158533473809563
train,windows_nonoverlap,OrSa,OrSa,121,122,20,34.31706694761912,1.7158533473809559
train,windows_nonoverlap,OrSa,OrSa,122,123,20,34.31706694761912,1.7158533473809559
train,windows_nonoverlap,OrSa,OrSa,123,124,20,39.775789737701416,1.9887894868850708
train,windows_nonoverlap,OrSa,OrSa,124,125,20,39.775789737701416,1.9887894868850708
train,windows_nonoverlap,OrSa,OrSa,125,126,20,39.775789737701416,1.9887894868850708
train,windows_nonoverlap,OrSa,OrSa,126,127,20,35.237895369529724,1.7618947684764863
train,windows_nonoverlap,OrSa,OrSa,127,128,20,35.237895369529724,1.7618947684764863
train,windows_nonoverlap,OrSa,OrSa,128,129,20,35.237895369529724,1.7618947684764863
train,windows_nonoverlap,OrSa,OrSa,129,130,20,37.19971203804016,1.859985601902008
train,windows_nonoverlap,OrSa,OrSa,130,131,20,37.19971203804016,1.859985601902008
train,windows_nonoverlap,OrSa,OrSa,131,132,20,37.19971203804016,1.859985601902008
train,windows_nonoverlap,OrSa,OrSa,132,133,20,38.089012900988266,1.9044506450494132
train,windows_nonoverlap,OrSa,OrSa,133,134,20,38.08901290098826,1.904450645049413
train,windows_nonoverlap,OrSa,OrSa,134,135,20,38.08901290098826,1.904450645049413
train,windows_nonoverlap,OrSa,OrSa,135,136,20,34.49406703623632,1.7247033518118162
train,windows_nonoverlap,OrSa,OrSa,136,137,20,34.49406703623632,1.7247033518118162
train,windows_nonoverlap,OrSa,OrSa,137,138,20,34.49406703623632,1.7247033518118162
train,windows_nonoverlap,OrSa,OrSa,138,139,20,39.428838551044464,1.9714419275522232
train,windows_nonoverlap,OrSa,OrSa,139,140,20,39.428838551044464,1.9714419275522232
train,windows_nonoverlap,OrSa,OrSa,140,141,20,39.428838551044464,1.9714419275522232
train,windows_nonoverlap,OrSa,OrSa,141,142,20,37.086140520870686,1.8543070260435344
train,windows_nonoverlap,OrSa,OrSa,142,143,20,37.086140520870686,1.8543070260435344
train,windows_nonoverlap,OrSa,OrSa,143,144,20,37.086140520870686,1.8543070260435344
train,windows_nonoverlap,OrSa,OrSa,144,145,20,38.24656208356222,1.9123281041781108
train,windows_nonoverlap,OrSa,OrSa,145,146,20,38.24656208356222,1.9123281041781108
train,windows_nonoverlap,OrSa,OrSa,146,147,20,38.24656208356222,1.9123281041781108
train,windows_nonoverlap,OrSa,OrSa,147,148,20,36.8816455329458,1.8440822766472897
train,windows_nonoverlap,OrSa,OrSa,148,149,20,36.8816455329458,1.8440822766472897
