split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,GaGa,GaGa,0,1,20,40.723876794179276,2.0361938397089636
train,windows_nonoverlap,GaGa,GaGa,1,2,20,40.723876794179276,2.0361938397089636
train,windows_nonoverlap,GaGa,GaGa,2,3,20,40.723876794179276,2.0361938397089636
train,windows_nonoverlap,GaGa,GaGa,3,4,20,39.25137869517008,1.962568934758504
train,windows_nonoverlap,GaGa,GaGa,4,5,20,39.25137869517008,1.962568934758504
train,windows_nonoverlap,GaGa,GaGa,5,6,20,39.25137869517008,1.962568934758504
train,windows_nonoverlap,GaGa,GaGa,6,7,20,41.55063517888387,2.0775317589441937
train,windows_nonoverlap,GaGa,GaGa,7,8,20,41.55063517888387,2.0775317589441937
train,windows_nonoverlap,GaGa,GaGa,8,9,20,41.55063517888387,2.0775317589441937
train,windows_nonoverlap,GaGa,GaGa,9,10,20,37.36351760228475,1.8681758801142376
train,windows_nonoverlap,GaGa,GaGa,10,11,20,37.36351760228475,1.8681758801142376
train,windows_nonoverlap,GaGa,GaGa,11,12,20,37.363517602284745,1.8681758801142372
train,windows_nonoverlap,GaGa,GaGa,12,13,20,38.71205488840739,1.9356027444203694
train,windows_nonoverlap,GaGa,GaGa,13,14,20,38.71205488840739,1.9356027444203694
train,windows_nonoverlap,GaGa,GaGa,14,15,20,38.712054888407394,1.9356027444203696
train,windows_nonoverlap,GaGa,GaGa,15,16,20,37.01188405354818,1.850594202677409
train,windows_nonoverlap,GaGa,GaGa,16,17,20,37.01188405354818,1.850594202677409
train,windows_nonoverlap,GaGa,GaGa,17,18,20,37.01188405354817,1.8505942026774087
train,windows_nonoverlap,GaGa,GaGa,18,19,20,42.13542620340983,2.1067713101704912
train,windows_nonoverlap,GaGa,GaGa,19,20,20,42.13542620340983,2.1067713101704912
train,windows_nonoverlap,GaGa,GaGa,20,21,20,42.13542620340983,2.1067713101704912
train,windows_nonoverlap,GaGa,GaGa,21,22,20,38.054412206014,1.9027206103007
train,windows_nonoverlap,GaGa,GaGa,22,23,20,38.054412206014,1.9027206103007
train,windows_nonoverlap,GaGa,GaGa,23,24,20,38.05441220601399,1.9027206103006997
train,windows_nonoverlap,GaGa,GaGa,24,25,20,40.780307133992515,2.039015356699626
train,windows_nonoverlap,GaGa,GaGa,25,26,20,40.780307133992515,2.039015356699626
train,windows_nonoverlap,GaGa,GaGa,26,27,20,40.780307133992515,2.039015356699626
train,windows_nonoverlap,GaGa,GaGa,27,28,20,39.075566132863365,1.9537783066431682
train,windows_nonoverlap,GaGa,GaGa,28,29,20,39.075566132863365,1.9537783066431682
train,windows_nonoverlap,GaGa,GaGa,29,30,20,39.075566132863365,1.9537783066431682
train,windows_nonoverlap,GaGa,GaGa,30,31,20,39.97456963857015,1.9987284819285076
train,windows_nonoverlap,GaGa,GaGa,31,32,20,39.97456963857015,1.9987284819285076
train,windows_nonoverlap,GaGa,GaGa,32,33,20,39.97456963857015,1.9987284819285076
train,windows_nonoverlap,GaGa,GaGa,33,34,20,37.36312643686931,1.8681563218434654
train,windows_nonoverlap,GaGa,GaGa,34,35,20,37.3631264368693,1.8681563218434651
train,windows_nonoverlap,GaGa,GaGa,35,36,20,37.36312643686931,1.8681563218434654
train,windows_nonoverlap,GaGa,GaGa,36,37,20,40.56109046936035,2.0280545234680174
train,windows_nonoverlap,GaGa,GaGa,37,38,20,40.56109046936035,2.0280545234680174
train,windows_nonoverlap,GaGa,GaGa,38,39,20,40.56109046936035,2.0280545234680174
train,windows_nonoverlap,GaGa,GaGa,39,40,20,37.73879909515381,1.8869399547576904
train,windows_nonoverlap,GaGa,GaGa,40,41,20,37.73879909515381,1.8869399547576904
train,windows_nonoverlap,GaGa,GaGa,41,42,20,37.73879909515381,1.8869399547576904
train,windows_nonoverlap,GaGa,GaGa,42,43,20,39.42618910471598,1.971309455235799
