split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_overlap,EsCo,EsCo,0,1,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,EsCo,EsCo,1,2,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,EsCo,EsCo,2,3,1,1.8197895685831706,1.8197895685831706
train,windows_overlap,EsCo,EsCo,3,4,1,1.542714277903239,1.542714277903239
train,windows_overlap,EsCo,EsCo,4,5,1,1.542714277903239,1.542714277903239
train,windows_overlap,EsCo,EsCo,5,6,1,1.542714277903239,1.542714277903239
train,windows_overlap,EsCo,EsCo,6,7,1,1.92789888381958,1.92789888381958
train,windows_overlap,EsCo,EsCo,7,8,1,1.92789888381958,1.92789888381958
train,windows_overlap,EsCo,EsCo,8,9,1,1.92789888381958,1.92789888381958
train,windows_overlap,EsCo,EsCo,9,10,1,1.736019452412923,1.736019452412923
train,windows_overlap,EsCo,EsCo,10,11,1,1.736019452412923,1.736019452412923
train,windows_overlap,EsCo,EsCo,11,12,1,1.736019452412923,1.736019452412923
train,windows_overlap,EsCo,EsCo,12,13,1,1.671884536743164,1.671884536743164
train,windows_overlap,EsCo,EsCo,13,14,1,1.671884536743164,1.671884536743164
train,windows_overlap,EsCo,EsCo,14,15,1,1.671884536743164,1.671884536743164
train,windows_overlap,EsCo,EsCo,15,16,1,1.9629454612731934,1.9629454612731934
train,windows_overlap,EsCo,EsCo,16,17,1,1.9629454612731934,1.9629454612731934
train,windows_overlap,EsCo,EsCo,17,18,1,1.9629454612731934,1.9629454612731934
train,windows_overlap,EsCo,EsCo,18,19,1,1.9087808926900227,1.9087808926900227
train,windows_overlap,EsCo,EsCo,19,20,1,1.9087808926900227,1.9087808926900227
train,windows_overlap,EsCo,EsCo,20,21,1,1.9087808926900227,1.9087808926900227
train,windows_overlap,EsCo,EsCo,21,22,1,3.3511311213175454,3.3511311213175454
train,windows_overlap,EsCo,EsCo,22,23,1,3.3511311213175454,3.3511311213175454
train,windows_overlap,EsCo,EsCo,23,24,1,3.3511311213175454,3.3511311213175454
train,windows_overlap,EsCo,EsCo,24,25,1,2.1909186045328775,2.1909186045328775
train,windows_overlap,EsCo,EsCo,25,26,1,2.1909186045328775,2.1909186045328775
train,windows_overlap,EsCo,EsCo,26,27,1,2.1909186045328775,2.1909186045328775
train,windows_overlap,EsCo,EsCo,27,28,1,2.1014087994893393,2.1014087994893393
train,windows_overlap,EsCo,EsCo,28,29,1,2.1014087994893393,2.1014087994893393
train,windows_overlap,EsCo,EsCo,29,30,1,2.1014087994893393,2.1014087994893393
train,windows_overlap,EsCo,EsCo,30,31,1,2.014310836791992,2.014310836791992
train,windows_overlap,EsCo,EsCo,31,32,1,2.014310836791992,2.014310836791992
train,windows_overlap,EsCo,EsCo,32,33,1,2.014310836791992,2.014310836791992
train,windows_overlap,EsCo,EsCo,33,34,1,2.224608898162842,2.224608898162842
train,windows_overlap,EsCo,EsCo,34,35,1,2.224608898162842,2.224608898162842
train,windows_overlap,EsCo,EsCo,35,36,1,2.224608898162842,2.224608898162842
train,windows_overlap,EsCo,EsCo,36,37,1,1.5980542500813801,1.5980542500813801
train,windows_overlap,EsCo,EsCo,37,38,1,1.5980542500813801,1.5980542500813801
train,windows_overlap,EsCo,EsCo,38,39,1,1.5980542500813801,1.5980542500813801
train,windows_overlap,EsCo,EsCo,39,40,1,1.6112634340922039,1.6112634340922039
train,windows_overlap,EsCo,EsCo,40,41,1,1.6112634340922039,1.6112634340922039
train,windows_overlap,EsCo,EsCo,41,42,1,1.6112634340922039,1.6112634340922039
train,windows_overlap,EsCo,EsCo,42,43,1,2.0643677711486816,2.0643677711486816
train,windows_overlap,EsCo,EsCo,43,44,1,2.0643677711486816,2.0643677711486816
train,windows_overlap,EsCo,EsCo,44,45,1,2.0643677711486816,2.0643677711486816
train,windows_overlap,EsCo,EsCo,45,46,1,2.2174970308939614,2.2174970308939614
train,windows_overlap,EsCo,EsCo,46,47,1,2.2174970308939614,2.2174970308939614
train,windows_overlap,EsCo,EsCo,47,48,1,2.2174970308939614,2.2174970308939614
train,windows_overlap,EsCo,EsCo,48,49,1,1.5179470380147297,1.5179470380147297
train,windows_overlap,EsCo,EsCo,49,50,1,1.5179470380147297,1.5179470380147297
train,windows_overlap,EsCo,EsCo,50,51,1,1.5179470380147297,1.5179470380147297
train,windows_overlap,EsCo,EsCo,51,52,1,1.808451493581136,1.808451493581136
train,windows_overlap,EsCo,EsCo,52,53,1,1.808451493581136,1.808451493581136
train,windows_overlap,EsCo,EsCo,53,54,1,1.808451493581136,1.808451493581136
train,windows_overlap,EsCo,EsCo,54,55,1,1.9798674583435059,1.9798674583435059
train,windows_overlap,EsCo,EsCo,55,56,1,1.9798674583435059,1.9798674583435059
train,windows_overlap,EsCo,EsCo,56,57,1,1.9798674583435059,1.9798674583435059
train,windows_overlap,EsCo,EsCo,57,58,1,2.0846125284830728,2.0846125284830728
train,windows_overlap,EsCo,EsCo,58,59,1,2.0846125284830728,2.0846125284830728
train,windows_overlap,EsCo,EsCo,59,60,1,2.0846125284830728,2.0846125284830728
train,windows_overlap,EsCo,EsCo,60,61,1,1.5371348063151042,1.5371348063151042
train,windows_overlap,EsCo,EsCo,61,62,1,1.5371348063151042,1.5371348063151042
train,windows_overlap,EsCo,EsCo,62,63,1,1.5371348063151042,1.5371348063151042
train,windows_overlap,EsCo,EsCo,63,64,1,2.29811954498291,2.29811954498291
train,windows_overlap,EsCo,EsCo,64,65,1,2.29811954498291,2.29811954498291
train,windows_overlap,EsCo,EsCo,65,66,1,2.29811954498291,2.29811954498291
train,windows_overlap,EsCo,EsCo,66,67,1,1.9218200047810872,1.9218200047810872
train,windows_overlap,EsCo,EsCo,67,68,1,1.9218200047810872,1.9218200047810872
train,windows_overlap,EsCo,EsCo,68,69,1,1.9218200047810872,1.9218200047810872
train,windows_overlap,EsCo,EsCo,69,70,1,1.736174742380778,1.736174742380778
train,windows_overlap,EsCo,EsCo,70,71,1,1.736174742380778,1.736174742380778
train,windows_overlap,EsCo,EsCo,71,72,1,1.736174742380778,1.736174742380778
train,windows_overlap,EsCo,EsCo,72,73,1,1.859766165415446,1.859766165415446
train,windows_overlap,EsCo,EsCo,73,74,1,1.859766165415446,1.859766165415446
train,windows_overlap,EsCo,EsCo,74,75,1,1.859766165415446,1.859766165415446
train,windows_overlap,EsCo,EsCo,75,76,1,2.122185548146566,2.122185548146566
train,windows_overlap,EsCo,EsCo,76,77,1,2.122185548146566,2.122185548146566
train,windows_overlap,EsCo,EsCo,77,78,1,2.122185548146566,2.122185548146566
train,windows_overlap,EsCo,EsCo,78,79,1,2.0051282246907554,2.0051282246907554
train,windows_overlap,EsCo,EsCo,79,80,1,2.0051282246907554,2.0051282246907554
train,windows_overlap,EsCo,EsCo,80,81,1,2.0051282246907554,2.0051282246907554
train,windows_overlap,EsCo,EsCo,81,82,1,1.9776692390441895,1.9776692390441895
train,windows_overlap,EsCo,EsCo,82,83,1,1.9776692390441895,1.9776692390441895
train,windows_overlap,EsCo,EsCo,83,84,1,1.9776692390441895,1.9776692390441895
train,windows_overlap,EsCo,EsCo,84,85,1,2.281137466430664,2.281137466430664
train,windows_overlap,EsCo,EsCo,85,86,1,2.281137466430664,2.281137466430664
train,windows_overlap,EsCo,EsCo,86,87,1,2.281137466430664,2.281137466430664
train,windows_overlap,EsCo,EsCo,87,88,1,2.1241372426350913,2.1241372426350913
train,windows_overlap,EsCo,EsCo,88,89,1,2.1241372426350913,2.1241372426350913
train,windows_overlap,EsCo,EsCo,89,90,1,2.1241372426350913,2.1241372426350913
