split,mode,species,source_name,window_position_zero_based,window_position_one_based,count,sum_bits_per_base,mean_bits_per_base
train,windows_nonoverlap,EsCo,EsCo,0,1,20,42.20875438054403,2.1104377190272015
train,windows_nonoverlap,EsCo,EsCo,1,2,20,42.20875438054403,2.1104377190272015
train,windows_nonoverlap,EsCo,EsCo,2,3,20,42.20875438054402,2.110437719027201
train,windows_nonoverlap,EsCo,EsCo,3,4,20,42.950790882110596,2.1475395441055296
train,windows_nonoverlap,EsCo,EsCo,4,5,20,42.950790882110596,2.1475395441055296
train,windows_nonoverlap,EsCo,EsCo,5,6,20,42.950790882110596,2.1475395441055296
train,windows_nonoverlap,EsCo,EsCo,6,7,20,39.76619307200114,1.9883096536000568
train,windows_nonoverlap,EsCo,EsCo,7,8,20,39.76619307200114,1.9883096536000568
train,windows_nonoverlap,EsCo,EsCo,8,9,20,39.766193072001144,1.9883096536000573
train,windows_nonoverlap,EsCo,EsCo,9,10,20,38.85496473312378,1.942748236656189
train,windows_nonoverlap,EsCo,EsCo,10,11,20,38.85496473312378,1.942748236656189
train,windows_nonoverlap,EsCo,EsCo,11,12,20,38.85496473312378,1.942748236656189
train,windows_nonoverlap,EsCo,EsCo,12,13,20,42.75277249018352,2.137638624509176
train,windows_nonoverlap,EsCo,EsCo,13,14,20,42.75277249018352,2.137638624509176
train,windows_nonoverlap,EsCo,EsCo,14,15,20,42.75277249018352,2.137638624509176
train,windows_nonoverlap,EsCo,EsCo,15,16,20,41.30862124760945,2.0654310623804726
train,windows_nonoverlap,EsCo,EsCo,16,17,20,41.30862124760946,2.065431062380473
train,windows_nonoverlap,EsCo,EsCo,17,18,20,41.30862124760945,2.0654310623804726
train,windows_nonoverlap,EsCo,EsCo,18,19,20,40.338885148366295,2.0169442574183147
train,windows_nonoverlap,EsCo,EsCo,19,20,20,40.33888514836629,2.0169442574183143
train,windows_nonoverlap,EsCo,EsCo,20,21,20,40.33888514836629,2.0169442574183143
